Age,Ba138Ca,BaCa,BCa,CaCa,MgCa,SrCa,UCa,Distance
1982.64,0.002684643,0.002813173,0.407579133,1021.734051,2.284364883,9.222527947,0.001506782,81.77188329
1982.71,0.002827015,0.002709252,0.409278862,1012.738577,2.481789063,9.143613349,0.001448915,81.54907162
1982.77,0.00298117,0.002907017,0.400204942,1010.907411,2.132765656,9.102888769,0.001525165,81.32625995
1982.84,0.002946753,0.002954921,0.418362444,988.8650428,2.273038187,9.276687384,0.001491745,81.10344828
1982.91,0.002634332,0.002645087,0.433827617,998.7904499,2.363497725,9.036265304,0.001316817,80.8806366
1982.97,0.00274892,0.002613299,0.395728054,984.6610015,2.569212183,8.760420787,0.001386112,80.65782493
1983.04,0.002932981,0.002871986,0.407349383,1004.711634,2.647870743,9.071775685,0.001292499,80.43501326
1983.11,0.002987396,0.002891526,0.449342653,992.2710866,3.237832619,8.775639725,0.00112327,80.21220159
1983.18,0.003205128,0.003161723,0.483404066,997.3170564,3.738293314,8.776966838,0.001018731,79.98938992
1983.33,0.002419655,0.002579095,0.425705029,1010.794052,2.981383764,8.862908081,0.001189335,79.76657825
1983.48,0.002764421,0.002873897,0.479458629,1012.961027,3.237196815,9.034531407,0.00126651,79.54376658
1983.64,0.002459916,0.002560444,0.451314366,1009.747063,2.287154127,9.256562197,0.001601497,79.32095491
1983.68,0.003107895,0.002844365,0.459801601,994.0622771,2.05988539,9.082921467,0.001451423,79.09814324
1983.72,0.002748917,0.002841271,0.508252453,1003.096373,2.486731503,9.017152026,0.0012147,78.87533156
1983.76,0.003142143,0.003237868,0.509505301,1012.753933,2.946096442,9.058413434,0.001204798,78.65251989
1983.8,0.003540057,0.003524279,0.49850353,1008.704661,3.161980482,9.052356091,0.00111943,78.42970822
1983.85,0.002748701,0.002830725,0.49359578,1009.543563,2.665253667,9.274216827,0.00128809,78.20689655
1983.89,0.002895506,0.002870301,0.489251884,1004.987576,2.736090244,9.039224471,0.001246634,77.98408488
