Age,LuminRange
-4094,0.163
-4093,0.136
-4092,0.066
-4091,0.14
-4090,0.114
-4089,0.174
-4088,0.084
-4087,0.134
-4086,0.089
-4085,0.195
-4084,0.067
-4083,0.209
-4082,0.15
-4081,0.182
-4080,0.1
-4079,0.152
-4078,0.191
-4077,0.154
-4076,0.209
-4075,0.073
-4074,0.174
-4073,0.167
-4072,0.093
-4071,0.193
-4070,0.192
-4069,0.093
-4068,0.18
-4067,0.22
-4066,0.137
-4065,0.087
-4064,0.123
-4063,0.195
-4062,0.06
-4061,0.106
-4060,0.121
-4059,0.189
-4058,0.28
-4057,0.097
-4056,0.129
-4055,0.224
-4054,0.15
-4053,0.112
-4052,0.127
-4051,0.165
-4050,0.132
-4049,0.088
-4048,0.196
-4047,0.143
-4046,0.187
-4045,0.123
-4044,0.088
-4043,0.193
-4042,0.212
-4041,0.147
-4040,0.153
-4039,0.166
-4038,0.124
-4037,0.145
-4036,0.127
-4035,0.136
-4034,0.156
-4033,0.117
-4032,0.116
-4031,0.099
-4030,0.172
-4029,0.164
-4028,0.185
-4027,0.175
-4026,0.291
-4025,0.094
-4024,0.15
-4023,0.155
-4022,0.142
-4021,0.225
-4020,0.158
-4019,0.174
-4018,0.086
-4017,0.244
-4016,0.203
-4015,0.119
-4014,0.089
-4013,0.14
-4012,0.134
-4011,0.119
-4010,0.207
-4009,0.107
-4008,0.094
-4007,0.143
-4006,0.191
-4005,0.152
-4004,0.168
-4003,0.133
-4002,0.226
-4001,0.187
-4000,0.114
-3999,0.153
-3998,0.134
-3997,0.125
-3996,0.161
-3995,0.212
-3994,0.221
-3993,0.154
-3992,0.062
-3991,0.114
-3990,0.255
-3989,0.116
-3988,0.137
