Age,LuminRange
-3928,0.157
-3927,0.067
-3926,0.29
-3925,0.054
-3924,0.25
-3923,0.164
-3922,0.058
-3921,0.155
-3920,0.235
-3919,0.194
-3918,0.069
-3917,0.089
-3916,0.123
-3915,0.122
-3914,0.209
-3913,0.055
-3912,0.256
-3911,0.138
-3910,0.13
-3909,0.215
-3908,0.037
-3907,0.203
-3906,0.199
-3905,0.141
-3904,0.115
-3903,0.204
-3902,0.101
-3901,0.239
-3900,0.195
-3899,0.224
-3898,0.115
-3897,0.173
-3896,0.122
-3895,0.052
-3894,0.035
-3893,0.136
-3892,0.163
-3891,0.211
-3890,0.164
-3889,0.242
-3888,0.148
-3887,0.049
-3886,0.109
-3885,0.128
-3884,0.137
-3883,0.143
-3882,0.138
-3881,0.157
-3880,0.273
-3879,0.103
-3878,0.146
-3877,0.153
-3876,0.286
-3875,0.311
-3874,NA
-3873,NA
-3872,NA
-3871,NA
-3870,NA
-3869,NA
-3868,NA
-3867,0.199
-3866,0.278
-3865,0.128
-3864,0.346
-3863,0.179
-3862,0.207
-3861,0.31
-3860,0.094
-3859,0.216
-3858,0.138
-3857,0.295
-3856,0.256
-3855,0.159
-3854,0.207
-3853,0.141
-3852,0.13
-3851,0.154
-3850,0.164
-3849,0.178
-3848,0.219
-3847,0.092
-3846,0.254
-3845,0.124
-3844,0.303
-3843,0.23
-3842,0.104
-3841,0.062
-3840,0.095
-3839,0.224
-3838,0.286
-3837,0.189
-3836,0.209
-3835,0.12
-3834,0.143
-3833,0.136
-3832,0.226
-3831,0.216
-3830,0.079
-3829,0.258
-3828,0.137
-3827,0.184
-3826,0.065
-3825,0.185
-3824,0.164
-3823,0.123
-3822,0.263
-3821,0.163
-3820,0.089
-3819,0.179
-3818,0.269
-3817,0.134
-3816,0.373
-3815,0.073
-3814,0.162
-3813,0.15
-3812,0.173
-3811,0.109
-3810,0.188
-3809,0.07
-3808,0.055
-3807,0.127
-3806,0.118
-3805,0.068
-3804,0.366
-3803,0.168
-3802,0.098
-3801,0.291
-3800,0.175
