Age,BaCa,Mn,P,Distance
1988.789617,0.0039,0.518360579,29.56107679,150.441
1988.803279,0.00391,0.564029391,29.12339351,150.17
1988.81694,0.00398,0.594464031,38.79112677,149.899
1988.833333,0.00405,0.495155114,29.04634433,149.628
1988.846995,0.00401,0.470712863,35.23893346,149.357
1988.860656,0.00388,0.428496276,39.85662738,149.086
1988.877049,0.00389,0.393933232,39.99610432,148.815
1988.89071,0.00384,0.358474257,52.90451137,148.544
1988.907104,0.00379,0.35027222,51.14037263,148.273
1988.920765,0.0038,0.34613889,57.17323342,148.002
1988.934426,0.00385,0.342686877,51.43123994,147.731
1988.95082,0.00382,0.364041824,47.11025798,147.46
1988.964481,0.00393,0.394927362,39.2582425,147.189
1988.978142,0.00391,0.403228527,41.51786947,146.918
1988.994536,0.00394,0.460787051,40.20753209,146.647
1989.008219,0.00395,0.476728755,40.51271644,146.376
1989.024658,0.00414,0.437730514,35.57917666,146.105
1989.041096,0.00445,0.438453703,35.53839143,145.834
1989.060274,0.00485,0.384805772,39.01345179,145.563
1989.079452,0.00504,0.350756236,34.48721006,145.292
1989.093151,0.00526,0.41301268,30.27181602,145.021
1989.109589,0.00526,0.425721171,37.17718505,144.75
1989.126027,0.005,0.394440355,32.7789517,144.479
1989.139726,0.00488,0.345869135,35.85530907,144.208
1989.156164,0.00498,0.303664549,33.77315035,143.937
1989.172603,0.00508,0.274253284,34.37187085,143.666
1989.189041,0.00523,0.266788938,37.26428985,143.395
1989.20274,0.00545,0.325011195,41.22254435,143.124
1989.219178,0.00555,0.351433629,41.75326731,142.853
1989.235616,0.00557,0.382952822,41.71391452,142.582
1989.249315,0.00562,0.416337085,40.49877229,142.311
1989.265753,0.00598,0.342098218,31.18428841,142.04
1989.282192,0.00662,0.262206396,38.18322097,141.769
1989.29863,0.00839,0.325933958,36.62808401,141.498
1989.320548,0.00926,0.32959437,21.33476599,141.227
1989.342466,0.00772,0.368918526,20.8413128,140.956
1989.364384,0.00665,0.322469488,28.42617877,140.685
1989.386301,0.00619,0.25112614,25.2879475,140.414
1989.408219,0.00576,0.206794376,26.61963273,140.143
1989.430137,0.00545,0.20970142,28.60048668,139.872
1989.452055,0.00526,0.243532401,31.62620364,139.601
1989.473973,0.0053,0.274861049,31.96613393,139.33
1989.49589,0.00517,0.231503629,28.04760692,139.059
1989.517808,0.00529,0.284334105,28.70711781,138.788
1989.539726,0.0052,0.236293226,29.28505107,138.517
1989.564384,0.00551,0.245150529,28.98772273,138.246
1989.608219,0.00558,0.257815701,26.78412028,137.975
1989.652055,0.00544,0.277064114,22.72034784,137.704
1989.69589,0.00531,0.323506782,33.21082556,137.433
1989.739726,0.00483,0.329597159,31.73189712,137.162
1989.783562,0.00469,0.358471972,34.69298402,136.891
1989.827397,0.00433,0.369757753,40.03630299,136.62
1989.871233,0.00421,0.373844223,43.97857348,136.349
1989.879452,0.00423,0.362027339,35.66489634,136.078
1989.887671,0.00434,0.452894342,41.44423586,135.807
1989.89589,0.0041,0.448644402,44.78925228,135.536
1989.906849,0.00411,0.44209829,35.93051738,135.265
1989.915068,0.00407,0.393732763,37.08707615,134.994
1989.923288,0.004,0.410844221,35.49864416,134.723
1989.931507,0.0042,0.444038203,49.03719469,134.452
1989.942466,0.00425,0.424309199,40.14163536,134.181
1989.950685,0.00428,0.418055441,37.64647277,133.91
1989.958904,0.00437,0.360902883,39.20206841,133.639
1989.967123,0.00443,0.333498414,36.6787178,133.368
1989.978082,0.00447,0.395852463,37.96717873,133.097
1989.986301,0.00445,0.410416547,39.93938425,132.826
1989.994521,0.00432,0.350619946,30.71990331,132.555
1990.00274,0.00434,0.372376217,36.01051448,132.284
1990.013699,0.00421,0.453096725,27.14303227,132.013
1990.021918,0.00427,0.586299288,21.56213758,131.742
