"Age","LuminRange"
1648,0.26
1649,0.11
1650,0.25
1651,0.26
1652,0.17
1653,0.21
1654,0.12
1655,0.17
1656,0.15
1657,0.12
1658,0.11
1659,0.13
1660,0.15
1661,0.14
1662,0.31
1663,0.4
1664,0.25
1665,0.09
1666,0.19
1667,0.12
1668,0.13
1669,0.21
1670,0.21
1671,0.13
1672,0.26
1673,0.24
1674,0.12
1675,0.13
1676,0.29
1677,0.12
1678,0.07
1679,0.23
1680,0.15
1681,0.11
1682,0.12
1683,0.17
1684,0.18
1685,0.24
1686,0.32
1687,0.26
1688,0.08
1689,0.08
1690,0.11
1691,0.17
1692,0.19
1693,0.14
1694,0.38
1695,0.19
1696,0.19
1697,0.14
1698,0.13
1699,0.27
1700,0.27
1701,0.27
1702,0.11
1703,0.06
1704,0.24
1705,0.12
1706,0.33
1707,0.08
1708,0.33
1709,0.17
1710,0.08
1711,0.28
1712,0.26
1713,0.26
1714,0.12
1715,0.22
1716,0.2
1717,0.28
1718,0.26
1719,0.13
1720,0.17
1721,0.07
1722,0.08
1723,0.1
1724,0.05
1725,0.29
1726,0.34
1727,0.24
1728,0.13
1729,0.27
1730,0.24
1731,0.43
1732,0.23
1733,0.2
1734,0.12
1735,0.07
1736,0.15
1737,0.22
1738,0.28
1739,0.06
1740,0.12
1741,0.34
1742,0.18
1743,0.26
1744,0.11
1745,0.16
1746,0.17
1747,0.08
1748,0.25
1749,0.36
1750,0.1
1751,0.15
1752,0.21
1753,0.17
1754,0.16
1755,0.16
1756,0.09
1757,0.25
1758,0.21
1759,0.17
1760,0.35
1761,0.13
1762,0.24
1763,0.11
1764,0.41
1765,0.08
1766,0.04
1767,0.15
1768,0.28
1769,0.06
1770,0.2
1771,0.06
1772,0.13
1773,0.12
1774,0.1
1775,0.15
1776,0.15
1777,0.18
1778,0.26
1779,0.19
1780,0.05
1781,0.21
1782,0.08
1783,0.1
1784,0.06
1785,0.2
1786,0.17
1787,0.26
1788,0.16
1789,0.27
1790,0.19
1791,0.11
1792,0.05
1793,0.06
1794,0.24
1795,0.16
1796,0.13
1797,0.11
1798,0.07
1799,0.08
1800,0.38
1801,0.22
1802,0.1
1803,0.13
1804,0.07
1805,0.13
1806,0.18
1807,0.17
1808,0.14
1809,0.2
1810,0.24
1811,0.07
1812,0.05
1813,0.23
1814,0.14
1815,0.16
1816,0.31
1817,0.07
1818,0.07
1819,0.25
1820,0.12
1821,0.11
1822,0.2
1823,0.1
1824,0.09
1825,0.19
1826,0.23
1827,0.1
1828,0.12
1829,0.14
1830,0.17
1831,0.34
1832,0.09
1833,0.13
1834,0.09
1835,0.14
1836,0.16
1837,0.16
1838,0.11
1839,0.09
1840,0.13
1841,0.09
1842,0.08
1843,0.14
1844,0.09
1845,0.07
1846,0.17
1847,0.26
1848,0.23
1849,0.13
1850,0.15
1851,0.09
1852,0.21
1853,0.06
1854,0.09
1855,0.05
1856,0.11
1857,0.27
1858,0.06
1859,0.27
1860,0.33
1861,0.2
1862,0.12
1863,0.24
1864,0.39
1865,0.16
1866,0.16
1867,0.17
1868,0.16
1869,0.13
1870,0.51
1871,0.19
1872,0.13
1873,0.29
1874,0.18
1875,0.36
1876,0.26
1877,0.22
1878,0.28
1879,0.29
1880,0.26
1881,0.31
1882,0.47
1883,0.13
1884,0.15
1885,0.08
1886,0.21
1887,0.35
1888,0.16
1889,0.16
1890,0.46
1891,0.28
1892,0.09
1893,0.08
1894,0.25
1895,0.24
1896,0.33
1897,0.05
1898,0.24
1899,0.23
1900,0.09
1901,0.15
1902,0.06
1903,0.21
1904,0.14
1905,0.1
1906,0.37
1907,0.11
1908,0.21
1909,0.09
1910,0.37
1911,0.33
1912,0.13
1913,0.24
1914,0.18
1915,0.07
1916,0.19
1917,0.26
1918,0.41
1919,0.17
1920,0.12
1921,0.15
1922,0.3
1923,0.14
1924,0.32
1925,0.29
1926,0.14
1927,0.39
1928,0.19
1929,0.24
1930,0.29
1931,0.16
1932,0.18
1933,0.23
1934,0.34
1935,0.22
1936,0.11
1937,0.21
1938,0.06
1939,0.14
1940,0.4
1941,0.13
1942,0.06
1943,0.13
1944,0.27
1945,0.13
1946,0.21
1947,0.27
1948,0.08
1949,0.22
1950,0.45
1951,0.24
1952,0.11
1953,0.23
1954,0.32
1955,0.4
1956,0.21
1957,0.15
1958,0.38
1959,0.25
1960,0.15
1961,0.06
1962,0.09
1963,0.24
1964,0.08
1965,0.15
1966,0.09
1967,0.18
1968,0.27
1969,0.05
1970,0.2
1971,0.25
1972,0.34
1973,0.17
1974,0.49
1975,0.2
1976,0.24
1977,0.26
1978,0.09
1979,0.34
1980,0.11
1981,0.43
1982,0.11
1983,0.2
1984,0.18
1985,0.11
