Age,Ba138Ca,BaCa,BCa,Cd,CdCa,Ce,CeCa,Eu,EuCa,Gd,GdCa,La,LaCa,LiCa,Lu,LuCa,MgCa,Mn,MnCa,P,PbCa,PCa,Pr,PrCa,Sm,SmCa,SrCa,UCa,Y,Yb,YbCa,YCa,ZnCa,Distance
1978.104396,0.00335804,0.003391144,0.358028806,0.008751543,7.79E-06,23.18474035,1.66E-05,2.533931529,1.67E-06,9.994031882,6.36E-06,31.46092092,2.27E-05,0.005439063,5.158506979,2.95E-06,3.740700134,0.386374457,0.000703884,7.456478923,0.000860216,0.024093608,6.246734234,4.44E-06,6.381098334,4.25E-06,8.784706517,0.001333687,176.1853,14.49879467,8.39E-06,0.000198337,0.004428988,366.5780354
1978.130567,0.004225524,0.004142664,0.36982856,0.013737511,1.22E-05,25.1745332,1.80E-05,2.621769481,1.73E-06,13.15014727,8.37E-06,31.18540153,2.25E-05,0.005664445,3.36632675,1.93E-06,4.086433052,0.419912645,0.000764982,8.246278653,0.001026624,0.026645633,7.440107233,5.28E-06,8.88110329,5.91E-06,9.081985019,0.00130156,162.872905,20.98224583,1.21E-05,0.000183351,0.004512275,366.2870137
1978.156738,0.00368173,0.003648832,0.374256313,0.008525872,7.59E-06,21.85359403,1.56E-05,0.759151075,5.00E-07,10.75160639,6.84E-06,32.69073933,2.36E-05,0.005431903,3.150457438,1.80E-06,3.777990322,0.327316411,0.000596294,5.870179155,0.000796386,0.018967906,6.142838916,4.36E-06,6.478069982,4.31E-06,8.811072382,0.001265351,179.882798,13.88495077,8.03E-06,0.000202499,0.003271664,365.9959921
1978.182909,0.004135336,0.004342184,0.387488587,0.004535096,4.04E-06,15.84161657,1.13E-05,0.824689016,5.43E-07,7.683385495,4.89E-06,20.36498338,1.47E-05,0.005832482,1.837769156,1.05E-06,4.188128387,0.4131053,0.000752581,6.587951295,0.001065251,0.021287194,2.121734674,1.51E-06,3.374207305,2.25E-06,8.86687205,0.001285529,108.110693,8.829148806,5.11E-06,0.000121703,0.005015603,365.7049704
1978.20908,0.003477432,0.003454047,0.394998968,0.015559568,1.39E-05,13.44488137,9.60E-06,1.751445666,1.15E-06,7.091980731,4.51E-06,21.83180348,1.57E-05,0.005423245,2.095908812,1.20E-06,3.5355072,0.348443452,0.000634782,4.588012723,0.000658112,0.01482493,3.972246644,2.82E-06,2.949812414,1.96E-06,8.960812163,0.001250532,105.290641,9.258490098,5.35E-06,0.000118529,0.003336396,365.4139487
1978.235251,0.003660498,0.003741047,0.397255029,0.012046083,1.07E-05,19.29655825,1.38E-05,2.444144246,1.61E-06,12.0560773,7.67E-06,26.52447498,1.91E-05,0.005354982,3.46627985,1.98E-06,3.125166215,0.380030341,0.000692326,6.227481507,0.000706151,0.020122433,5.259531111,3.74E-06,6.875512748,4.58E-06,9.024672519,0.001527874,147.018374,12.25218107,7.09E-06,0.000165503,0.002367343,365.122927
1978.261423,0.003709037,0.003478007,0.421221941,0.002250604,2.00E-06,10.77969885,7.70E-06,1.309899783,8.63E-07,5.014361415,3.19E-06,14.38199542,1.04E-05,0.005642986,1.943471931,1.11E-06,3.781281501,0.321009935,0.000584805,4.451724143,0.000769741,0.01438455,2.412125817,1.71E-06,3.773086152,2.51E-06,8.847862038,0.00133425,88.683262,9.576693147,5.54E-06,9.98E-05,0.003631121,364.8319054
1978.287594,0.003234983,0.003430466,0.402913844,0.002979469,2.65E-06,15.73893271,1.12E-05,1.38021816,9.09E-07,8.444146911,5.37E-06,20.62540317,1.49E-05,0.005412334,2.564973484,1.47E-06,3.877854185,0.398298981,0.000725607,9.753506207,0.000764584,0.031515834,4.331424754,3.08E-06,2.05297708,1.37E-06,8.742650538,0.001209577,103.74494,9.842499107,5.69E-06,0.000116789,0.004678519,364.5408837
1978.313765,0.004266757,0.004201406,0.380968007,0.011591463,1.03E-05,30.47450068,2.18E-05,3.528844481,2.32E-06,19.11583747,1.22E-05,41.88413338,3.02E-05,0.005408713,3.966639395,2.27E-06,3.414211723,0.339400308,0.000618308,7.624174951,0.000652219,0.024635472,7.842522734,5.57E-06,10.46956816,6.97E-06,9.034050093,0.00145797,224.578721,19.37934626,1.12E-05,0.000252815,0.003539376,364.249862
1978.339936,0.004415546,0.004571123,0.403853363,0.00255542,2.28E-06,29.75959529,2.13E-05,1.433449446,9.44E-07,17.86351546,1.14E-05,44.07244254,3.18E-05,0.005873779,3.732102932,2.13E-06,3.151991339,0.345574956,0.000629557,9.122097204,0.000830366,0.029475606,8.638636788,6.14E-06,8.500224185,5.66E-06,9.244714611,0.001501516,201.193563,18.90269036,1.09E-05,0.00022649,0.003747782,363.9588404
1978.366107,0.005211984,0.005191744,0.407803825,0.006579122,5.86E-06,29.76034976,2.13E-05,3.556574846,2.34E-06,19.53524057,1.24E-05,39.60779307,2.85E-05,0.005624564,3.360437749,1.92E-06,2.873899787,0.305303844,0.000556192,6.691840391,0.000823494,0.021622884,6.392180541,4.54E-06,10.31067,6.86E-06,9.349248382,0.001648167,181.387512,12.95193145,7.49E-06,0.000204193,0.003744984,363.6678187
1978.392278,0.003748119,0.004180288,0.446378195,0.011708685,1.04E-05,30.00491634,2.14E-05,3.574179673,2.35E-06,11.88506734,7.56E-06,40.54169863,2.92E-05,0.005237793,4.62685076,2.65E-06,2.651871821,0.255886918,0.000466166,3.664251804,0.000609644,0.011840045,8.076536146,5.74E-06,4.900113546,3.26E-06,9.390788038,0.001604354,186.279325,12.18529422,7.05E-06,0.0002097,0.002428984,363.376797
1978.41845,0.004092596,0.004144152,0.454630996,0.002723423,2.42E-06,20.21392921,1.44E-05,1.71161775,1.13E-06,7.367907024,4.69E-06,25.13429402,1.81E-05,0.005902931,2.093290782,1.20E-06,3.291531465,0.341771257,0.000622627,4.432621024,0.000812079,0.014322824,5.622056447,3.99E-06,5.76092876,3.83E-06,9.14635755,0.001497753,122.171799,11.08093922,6.41E-06,0.000137532,0.006034232,363.0857753
1978.444621,0.004959967,0.004868324,0.457164621,0.009189001,8.18E-06,18.16719567,1.30E-05,3.08068243,2.03E-06,8.308756297,5.29E-06,24.61595829,1.77E-05,0.006236071,1.076887056,6.16E-07,3.641237287,0.403924208,0.000735855,5.873484299,0.001000278,0.018978586,2.635479197,1.87E-06,7.057852845,4.70E-06,9.005801945,0.001247647,109.72012,6.671698142,3.86E-06,0.000123515,0.009359698,362.7947537
1978.470792,0.004377592,0.004478638,0.426638413,0.002804835,2.50E-06,28.53665106,2.04E-05,2.323188086,1.53E-06,6.453852644,4.11E-06,37.6608457,2.71E-05,0.005777124,2.621860965,1.50E-06,3.320366296,0.342124922,0.000623271,7.046929041,0.000861994,0.022770257,7.259328585,5.16E-06,12.44150414,8.28E-06,9.051957612,0.001273613,157.63501,10.74156662,6.21E-06,0.000177454,0.003665405,362.503732
1978.496963,0.003664424,0.003817068,0.472753951,0.002754066,2.45E-06,32.8872023,2.35E-05,1.926935245,1.27E-06,18.54984002,1.18E-05,36.2385552,2.61E-05,0.005466027,2.104573972,1.20E-06,2.852415802,0.231124097,0.000421054,3.733670158,0.000808527,0.012064352,7.924355431,5.63E-06,4.28663922,2.85E-06,9.108090813,0.001468205,159.451983,6.90757472,4.00E-06,0.0001795,0.002219943,362.2127103
1978.523134,0.004204828,0.004259393,0.500008131,-0.001612286,-1.44E-06,23.54063311,1.68E-05,1.789615606,1.18E-06,8.098228646,5.15E-06,27.79833856,2.00E-05,0.006238105,1.643353733,9.40E-07,3.178447805,0.298925346,0.000544572,6.080889347,0.001303502,0.01964876,5.914488352,4.20E-06,4.818504138,3.21E-06,8.965060154,0.001361476,132.189241,10.32852563,5.97E-06,0.000148809,0.003491155,361.9216887
1978.549305,0.004624298,0.00468501,0.48621943,0.002629257,2.34E-06,24.35944348,1.74E-05,1.815803613,1.20E-06,9.496987131,6.04E-06,32.40170551,2.33E-05,0.005925161,2.073214505,1.19E-06,2.73065897,0.404517904,0.000736937,7.275945294,0.00087399,0.023510262,5.55008276,3.94E-06,9.227462992,6.14E-06,9.235626049,0.001554661,153.251972,10.7215501,6.20E-06,0.00017252,0.005081119,361.630667
1978.575477,0.004822452,0.00456327,0.501509533,0.002859824,2.55E-06,30.94619863,2.21E-05,3.393230463,2.23E-06,20.88197485,1.33E-05,33.98164463,2.45E-05,0.005582003,3.380088574,1.93E-06,2.422174765,0.270944521,0.000493597,5.47478707,0.000788502,0.017690303,7.619596813,5.41E-06,9.05288608,6.03E-06,9.575068265,0.001674817,184.920889,18.4884734,1.07E-05,0.000208171,0.002960579,361.3396453
1978.601648,0.004505073,0.004620507,0.454701409,0.007291779,6.49E-06,27.46623416,1.96E-05,2.04254913,1.35E-06,11.64167217,7.41E-06,33.69886328,2.43E-05,0.005195983,3.56619714,2.04E-06,2.090942142,0.276954844,0.000504547,5.138602973,0.000646811,0.016604015,6.752029056,4.80E-06,4.705097432,3.13E-06,9.627567613,0.001887628,183.323464,14.63453015,8.46E-06,0.000206373,0.002770679,361.0486236
1978.651923,0.004457829,0.004314117,0.484851748,0.00561303,5.00E-06,26.38442718,1.88E-05,2.15551884,1.42E-06,10.77063315,6.86E-06,36.32840769,2.62E-05,0.005541712,2.987827038,1.71E-06,2.412204476,0.232487411,0.000423538,4.963856568,0.000733725,0.016039368,6.640875072,4.72E-06,5.812552159,3.87E-06,9.270434871,0.001714293,180.35777,16.9566228,9.81E-06,0.000203034,0.002030502,360.757602
1978.702197,0.00456924,0.00448632,0.509515965,0.006326032,5.63E-06,18.29667578,1.31E-05,1.442353231,9.50E-07,6.958381207,4.43E-06,22.36443782,1.61E-05,0.006196333,2.497875119,1.43E-06,2.856883115,0.384873571,0.000701149,5.603275374,0.000986541,0.018105479,3.328643056,2.36E-06,2.382825243,1.59E-06,9.294027979,0.001495943,125.971699,12.25740126,7.09E-06,0.00014181,0.008407775,360.4665803
1978.752472,0.005076318,0.005027636,0.497901054,0.000113204,1.01E-07,23.04170289,1.65E-05,1.989691948,1.31E-06,10.86724997,6.92E-06,30.71906207,2.21E-05,0.005885026,2.635563296,1.51E-06,3.033610152,0.667485522,0.001216002,5.36149722,0.001095487,0.017324237,5.596732302,3.98E-06,9.718562424,6.47E-06,9.224009202,0.001530778,167.670125,17.17342002,9.93E-06,0.000188751,0.006977316,360.1755586
1978.802747,0.004420121,0.004748441,0.482826291,0.008849779,7.88E-06,27.9416626,2.00E-05,3.873062442,2.55E-06,15.73321239,1.00E-05,42.02754909,3.03E-05,0.005666513,4.635583187,2.65E-06,3.236521592,0.36936136,0.00067289,4.533063689,0.001104978,0.014647377,7.384545042,5.25E-06,6.022185844,4.01E-06,9.158936381,0.001466847,222.793661,25.77890921,1.49E-05,0.000250806,0.004514491,359.8845369
1978.853022,0.003575063,0.003761684,0.447522925,0.019914754,1.77E-05,33.6054349,2.40E-05,4.060707962,2.67E-06,24.37994007,1.55E-05,50.48189278,3.64E-05,0.005481237,6.306122463,3.61E-06,2.717758258,0.361628066,0.000658802,6.136486949,0.001075343,0.019828408,10.20077027,7.25E-06,11.60197461,7.72E-06,9.059737888,0.00152628,276.406563,28.46691814,1.65E-05,0.000311159,0.0027634,359.5935153
1978.903296,0.004401018,0.00459651,0.453603033,0.010292836,9.16E-06,28.82398937,2.06E-05,2.693828072,1.77E-06,13.016342,8.28E-06,42.10718079,3.03E-05,0.005628098,3.815709722,2.18E-06,3.258033823,0.368366307,0.000671077,4.237923114,0.001083171,0.01369371,7.174595076,5.10E-06,9.111128631,6.06E-06,9.273466866,0.001508588,228.075056,22.17015405,1.28E-05,0.000256751,0.003992366,359.3024936
1978.953571,0.00484727,0.004834066,0.42539442,0.000601766,5.36E-07,23.42068705,1.67E-05,1.137195524,7.49E-07,16.76718375,1.07E-05,32.16070286,2.32E-05,0.005704174,3.931898277,2.25E-06,2.836781748,0.529679102,0.000964951,7.055503925,0.000912173,0.022797965,8.405181524,5.97E-06,12.04137165,8.02E-06,9.184588655,0.001597516,191.910097,19.82210711,1.15E-05,0.000216039,0.003339798,359.0114719
1979.003846,0.005350698,0.004910345,0.43800577,0.013470404,1.20E-05,15.06849116,1.08E-05,1.196947792,7.88E-07,7.079080776,4.51E-06,25.06144986,1.81E-05,0.006291518,3.627667189,2.08E-06,3.7465328,0.396264837,0.000721902,3.939353048,0.000970546,0.012728961,4.828884108,3.43E-06,1.751086358,1.17E-06,9.051010493,0.001388157,138.137236,13.61112532,7.87E-06,0.000155505,0.005564858,358.7204503
1979.054121,0.005108199,0.004877396,0.426396859,0.002397041,2.13E-06,18.37252226,1.31E-05,1.726536779,1.14E-06,11.17911326,7.12E-06,27.13812919,1.96E-05,0.006071805,2.940055454,1.68E-06,4.144542079,0.395043775,0.000719677,4.465517943,0.001247848,0.014429121,4.761135863,3.38E-06,8.973278375,5.97E-06,8.771783659,0.001214549,143.187338,11.74725817,6.79E-06,0.00016119,0.004363135,358.4294286
1979.104396,0.004126753,0.004420543,0.412185922,0.004871225,4.34E-06,16.41049125,1.17E-05,1.619701474,1.07E-06,11.77071815,7.49E-06,26.63785099,1.92E-05,0.005761704,1.365975085,7.81E-07,4.103876437,0.430609403,0.000784469,4.674179376,0.001426996,0.015103354,5.604791362,3.98E-06,7.987155148,5.32E-06,8.883890694,0.001176288,148.86222,17.00152422,9.83E-06,0.000167579,0.004755272,358.1384069
1979.123521,0.003896993,0.004046178,0.398064608,0.004749084,4.23E-06,16.49890285,1.18E-05,2.86894204,1.89E-06,8.04312769,5.12E-06,22.83491602,1.65E-05,0.005402795,2.860513472,1.64E-06,3.796392936,0.379218333,0.000690847,2.711006914,0.001112917,0.00875989,4.566721949,3.24E-06,2.362778859,1.57E-06,8.958105849,0.001256661,149.959522,13.31320878,7.70E-06,0.000168814,0.003767189,357.8473852
