Age,d18O,SrCa
2007.5,-3.86700121,9.45625812
2007.583334,-4.2054999,9.33132489
2007.666667,-4.1590003,9.41126707
2007.75,-4.29750029,9.10509337
2007.833334,-4.36799999,9.12318945
2007.916667,-4.30749964,9.18013595
2008,-4.0170011,9.09918286
2008.083334,-4.42350028,9.12473843
2008.166667,-4.12799976,9.27066797
2008.25,-4.09750031,9.23781788
2008.333333,-4.05449973,9.3811018
2008.416667,-4.05500054,9.28210134
2008.5,-4.25440028,9.25322734
2008.583333,-4.28979965,9.32709323
2008.666667,-4.08879965,9.41475779
2008.75,-4.04030043,9.30207885
2008.833333,-4.19980154,9.17700708
2008.916667,-4.80242496,9.19158641
2009,-4.77429961,9.25112722
2009.083334,-5.03830194,9.23872801
2009.166667,-4.95579989,8.9777492
2009.25,-4.87879988,9.10870495
2009.333333,-4.7947999,9.19476444
2009.416667,-4.68929985,9.25273652
2009.5,-4.51113311,9.2249366
2009.583333,-4.35579987,9.24522272
2009.666667,-4.10680014,9.34708098
2009.75,-4.30946704,9.32867894
2009.833333,-4.56746684,9.31815661
2009.916667,-4.4818001,9.22176285
2010,-4.568,9.20796011
2010.083334,-4.568,9.19088306
2010.166667,-4.25499992,9.0563702
2010.25,-4.16799983,9.265761
2010.333333,-4.06399998,9.27059403
2010.416667,-4.03600002,9.29896892
2010.5,-4.06176925,9.20371917
2010.583333,-4.08753848,9.41014292
2010.666667,-4.06433326,9.38060472
2010.75,-4.09700022,9.36526037
2010.833333,-4.17099979,9.303979
2010.916667,-4.08700015,9.32191436
2011,-3.98533356,9.36057766
2011.083334,-4.18428175,9.16675802
2011.166667,-4.11471414,9.17239242
2011.25,-3.8195714,9.25735298
2011.333333,-3.91357154,9.34889406
2011.416667,-4.0292857,9.33016107
2011.5,-3.79899991,9.32311948
2011.583333,-3.68092855,9.42623069
2011.666667,-3.50999994,9.47720498
2011.75,-3.49691674,9.34018629
2011.833333,-3.89150005,9.3688063
2011.916667,-4.03300001,9.22854123
2012,-4.13833334,9.10974187
2012.083333,-4.28354167,8.93819016
2012.166667,-4.388,8.860901
2012.25,-4.33700002,8.95167001
2012.333333,-3.622,9.0881395
