Age,d11B,d13C,Arag,Extn,Calcn,pH_d11B
1703,NA,NA,NA,1.23,1.58,NA
1708,24.79,-0.07,4.38,0.9,1.13,8.15
1713,24.97,0.04,4.64,1.2,1.51,8.17
1718,24.52,0.08,3.84,0.99,1.19,8.11
1723,23.82,-0.14,3.46,1.13,1.31,8.03
1728,24.08,0.09,3.7,1.14,1.3,8.06
1733,24.2,0.09,3.67,1.18,1.4,8.08
1738,23.33,-0.21,3.08,1.02,1.25,7.96
1743,23.77,-0.28,3.45,0.91,1.16,8.02
1748,23.49,-0.25,3.29,1.04,1.25,7.98
1753,23.78,-0.07,3.46,0.84,0.98,8.02
1758,24.1,-0.01,3.72,1.08,1.25,8.06
1763,24.06,-0.59,3.7,1.4,1.66,8.06
1768,24.08,-0.1,3.69,1.43,1.78,8.06
1773,24.24,0.18,3.76,1.24,1.52,8.08
1778,24.47,0,4.02,1.04,1.26,8.11
1783,23.84,-0.26,3.46,1.34,1.65,8.03
1788,23.75,-0.26,3.29,1.16,1.44,8.02
1793,23.94,-0.03,3.47,1.39,1.68,8.04
1798,23.39,-0.26,3.06,1.35,1.69,7.97
1803,23.67,-0.1,3.34,1.3,1.53,8.01
1808,24.28,0.01,3.72,1.05,1.27,8.09
1813,24.51,-0.09,3.95,1.26,1.49,8.11
1818,24.21,-0.09,3.78,1.17,1.4,8.08
1823,24.44,0.11,3.83,1.52,1.82,8.1
1828,23.73,-0.1,3.26,1.52,1.83,8.01
1833,23.35,-0.21,2.98,1.11,1.29,7.96
1838,23.29,-0.08,2.98,1.56,1.86,7.95
1843,23.36,-0.08,2.9,1.16,1.34,7.96
1848,23.61,-0.19,3.25,1.17,1.43,8
1853,23.79,-0.13,3.31,1.04,1.29,8.02
1858,24.38,-0.03,3.86,1.1,1.4,8.1
1863,24.05,-0.14,3.63,1.13,1.45,8.06
1868,23.77,-0.11,3.43,0.99,1.22,8.02
1873,23.88,-0.19,3.5,1.49,1.83,8.03
1878,24.23,-0.33,3.84,1.17,1.49,8.08
1883,23.4,-0.21,3.06,1.16,1.41,7.97
1888,23.85,-0.13,3.54,1.76,2.2,8.03
1893,23.2,-0.25,2.93,1.28,1.6,7.94
1898,23.78,-0.12,3.41,1.45,1.84,8.02
1903,23.92,-0.07,3.6,1.18,1.48,8.04
1908,23.36,-0.23,3.04,1.12,1.38,7.96
1913,23.66,-0.24,3.31,1.17,1.37,8
1918,24.39,-0.26,3.94,1.3,1.57,8.1
1923,23.95,-0.33,3.46,1.18,1.42,8.04
1928,23.92,-0.25,3.5,1.45,1.81,8.04
1933,23.53,-0.38,3.29,1.24,1.49,7.99
1938,23.45,-0.42,3.19,1.1,1.37,7.98
1943,23.51,-0.3,3.22,1.09,1.38,7.98
1948,23.97,-0.46,3.64,1.41,1.71,8.05
1953,24.89,-0.32,4.34,1.32,1.62,8.16
1958,23.77,-0.54,3.43,1.17,1.44,8.02
1963,24.83,-0.29,4.27,1.1,1.41,8.15
1968,24.57,-0.23,4.01,1.32,1.66,8.12
1973,23.64,-0.94,3.29,1.1,1.36,8
1978,23.43,-0.67,3.25,0.9,1.1,7.97
1983,24.17,-1.19,3.82,1.22,1.47,8.07
1988,22.99,-1.06,2.92,1.46,1.76,7.91
