Age,Ba138Ca,BaCa,SrCa,UCa
1813.602,0.0019537,0.0018796,9.83933,3419.501513
1813.614,0.00183307,0.00180201,9.56729,3333.669832
1813.626,0.00146159,0.00166241,9.69439,3216.66082
1813.639,0.00156432,0.00148053,9.54574,3148.22107
1813.651,0.00133558,0.00131295,10.00143,3558.313165
1813.663,0.00134453,0.00155967,9.79505,3599.256857
1813.675,0.00151134,0.00142038,9.72624,3423.244467
1813.688,0.00117978,0.00134794,9.70108,3600.86234
1813.7,0.00163725,0.00179427,9.83335,3607.372008
1813.712,0.00356039,0.00347116,9.84717,3449.963678
1813.724,0.00239166,0.00227682,9.57933,3156.038422
1813.737,0.00143252,0.00148277,9.49277,3228.118986
1813.749,0.00111886,0.00121081,9.28729,3219.126146
1813.761,0.00130622,0.00133622,9.33791,3223.374617
1813.773,0.00149089,0.00151486,9.72097,3137.851781
1813.786,0.00135293,0.00163701,9.64424,3202.333896
1813.798,0.00163846,0.00167788,9.47329,3326.732555
1813.81,0.00170175,0.00163283,9.46681,3205.390218
1813.822,0.00227078,0.00197221,9.52331,3040.857344
1813.835,0.00197802,0.00187182,9.35601,3184.471964
1813.847,0.00128172,0.00138389,9.42917,3125.613478
1813.859,0.0014056,0.00134671,9.37868,2983.552467
1813.871,0.00128927,0.00153548,9.18487,3095.983008
1813.884,0.00285085,0.00270008,9.50474,3255.729492
1813.896,0.00231649,0.00249846,9.61883,3545.327863
1813.908,0.00219837,0.00231594,9.49569,3269.447197
1813.92,0.0022899,0.00215231,9.35527,2990.6666
1813.933,0.00280377,0.00295885,9.4696,2966.620424
1813.945,0.00257857,0.00255986,9.56451,3134.96548
1813.957,0.00280919,0.0029434,9.43368,3271.697528
1813.969,0.00332387,0.00309407,9.81886,3218.667328
1813.982,0.00187758,0.00210726,9.28361,2913.186035
1813.994,0.00152265,0.00147509,9.21057,2927.40187
1814.006,0.00181656,0.0018937,9.38301,3024.719438
1814.018,0.00178319,0.00208083,9.6296,2924.890234
1814.031,0.00139445,0.00158331,9.35118,3113.939196
1814.043,0.00165232,0.00188889,9.00155,2669.181873
1814.055,0.00158865,0.00155891,9.50799,3290.893713
1814.067,0.00139741,0.00146681,9.44264,3040.454574
1814.08,0.00128551,0.00135845,9.23355,2927.627863
1814.092,0.00164436,0.00176913,9.68334,3115.666186
1814.104,0.00180343,0.00170392,9.08642,2715.671061
1814.135,0.00197895,0.00203764,9.02886,2745.479728
1814.166,0.0025112,0.00264467,9.13228,2770.503731
1814.197,0.00183559,0.00191822,9.17365,2840.101234
1814.228,0.00182321,0.00182359,9.3283,2955.598977
1814.26,0.00175031,0.00187703,9.40898,3032.751306
1814.291,0.00229161,0.00193957,9.45524,2925.894016
1814.322,0.00173347,0.00178808,9.60791,3105.853171
1814.353,0.00186543,0.00186584,9.33072,2972.524971
1814.384,0.00248404,0.00273443,9.47629,3088.419765
1814.415,0.002464,0.00228333,9.15441,2843.226912
1814.446,0.00222814,0.00238547,9.18767,2842.772183
