Age,SrCa,Dist
1993.546575,9.115341001,83.5
1993.576712,9.096438227,83
1993.609589,9.073391642,82.5
1993.642466,9.0618432,82
1993.664384,9.017399159,81.5
1993.689041,8.972130278,81
1993.713699,8.962031,80.5
1993.738356,8.957609958,80
1993.760274,8.918852275,79.5
1993.782192,8.87696642,79
1993.80411,8.858969567,78.5
1993.826027,8.859266356,78
1993.847945,8.837499255,77.5
1993.872603,8.832488231,77
1993.891781,8.836379677,76.5
1993.910959,8.837681557,76
1993.941096,8.817449495,75.5
1993.971233,8.778024013,75
1994.00411,8.773769767,74.5
1994.034247,8.723195097,74
1994.064384,8.723401901,73.5
1994.09726,8.743527204,73
1994.127397,8.705806352,72.5
1994.160274,8.668896,72
1994.187671,8.683081692,71.5
1994.217808,8.73143854,71
1994.245205,8.817014624,70.5
1994.275342,8.889554452,70
1994.313699,8.932244136,69.5
1994.352055,8.999737484,69
1994.390411,9.044106468,68.5
1994.467123,9.06684641,68
1994.49726,9.089007604,67.5
1994.527397,9.107224909,67
1994.557534,9.128395323,66.5
1994.587671,9.170572714,66
1994.620548,9.181973129,65.5
1994.658904,9.17031783,65
1994.689041,9.099772677,64.5
1994.721918,8.97034818,64
1994.754795,8.870436382,63.5
1994.779452,8.893269933,63
1994.80411,8.882308553,62.5
1994.831507,8.890973394,62
1994.856164,8.878212738,61.5
1994.880822,8.847860466,61
1994.908219,8.802937815,60.5
1994.946575,8.794557278,60
1994.984932,8.820677157,59.5
1995.009589,8.857692868,59
1995.034247,8.850009364,58.5
1995.061644,8.840349558,58
1995.1,8.745535,57.5
1995.138356,8.700929503,57
1995.168493,8.716262941,56.5
1995.20137,8.731647044,56
1995.234247,8.705708048,55.5
1995.253425,8.708020726,55
1995.305479,8.757553898,54.5
1995.357534,8.846078442,54
1995.409589,8.95971352,53.5
1995.464384,9.060429328,53
1995.483562,9.107399498,52.5
1995.50274,9.171485504,52
1995.541096,9.170718798,51.5
1995.579452,9.130361186,51
1995.617808,9.156847257,50.5
1995.667123,9.112971359,50
1995.719178,8.996956693,49.5
1995.771233,8.92743439,49
1995.790411,8.910210851,48.5
1995.809589,NA,48
1995.828767,8.89125193,47.5
1995.847945,8.852445357,47
1995.867123,8.831599237,46.5
1995.886301,8.793724662,46
1995.905479,8.735755188,45.5
1995.921918,8.744220096,45
1995.938356,8.737443263,44.5
1995.954795,8.726800915,44
1995.973973,8.763919069,43.5
1995.990411,8.775503927,43
1996.006831,8.800467497,42.5
1996.025956,8.767381296,42
1996.04235,8.7632465,41.5
1996.058743,8.757281877,41
1996.077869,8.741341909,40.5
1996.11612,8.778248535,40
1996.154372,8.83057425,39.5
1996.192623,8.852398609,39
1996.230874,8.855287801,38.5
1996.260929,8.838194472,38
1996.293716,8.838384259,37.5
1996.326503,8.830809647,37
1996.345628,8.870690031,36.5
1996.364754,8.899588305,36
1996.38388,8.921182556,35.5
1996.403005,8.953821617,35
1996.422131,9.004602629,34.5
1996.441257,9.031033016,34
1996.504098,9.015425388,33.5
1996.56694,9.024662083,33
1996.632514,9.055327045,32.5
1996.654372,9.02037344,32
1996.678962,9.023298071,31.5
1996.703552,8.987293665,31
1996.728142,8.986682234,30.5
1996.75,8.919995282,30
1996.77459,8.884893495,29.5
1996.79918,8.883132968,29
1996.82377,8.886473288,28.5
1996.845628,8.866259518,28
1996.867486,8.827670475,27.5
1996.889344,8.806171792,27
1996.911202,8.842485321,26.7
1996.93306,8.776447687,26.4
1996.95765,8.777335528,26.1
1996.965847,8.813552754,25.8
1996.976776,8.842318732,25.5
1996.987705,8.790414464,25.2
1996.995902,8.798168769,24.9
1997.006849,8.792110581,24.6
1997.017808,8.767227258,24.3
1997.026027,8.769856795,24
1997.036986,8.762055131,23.7
1997.047945,8.780828765,23.4
1997.056164,8.738499806,23.1
1997.067123,8.755811908,22.8
1997.078082,8.769749587,22.5
1997.086301,8.82279065,22.2
1997.09726,8.813076424,21.9
1997.108219,8.790197284,21.6
1997.116438,8.764392001,21.3
1997.127397,8.76696301,21
1997.138356,8.757581938,20.7
1997.149315,8.714983367,20.4
1997.160274,8.736350883,20.1
1997.171233,8.778078693,19.8
1997.182192,8.748324802,19.5
1997.193151,8.761511474,19.2
1997.20411,8.765563712,18.9
1997.215068,8.809140043,18.6
1997.226027,8.833281307,18.3
