Age,d18O,SrCa,d18Osw
1970.897,-4.769,9.075,-0.28
1970.93,-4.895,9.017,-0.25
1970.963,-4.957,8.952,-0.13
1970.997,-4.974,8.931,-0.08
1971.03,-4.981,8.939,-0.11
1971.063,-4.979,8.924,-0.07
1971.097,-4.983,8.931,-0.09
1971.13,-5.018,8.955,-0.2
1971.163,-5.084,8.958,-0.27
1971.197,-5.129,8.981,-0.38
1971.23,-5.057,9.019,-0.41
1971.263,-4.9,9.064,-0.38
1971.297,-4.783,9.103,-0.37
1971.33,-4.745,9.129,-0.41
1971.363,-4.691,9.136,-0.37
1971.397,-4.646,9.107,-0.25
1971.43,-4.604,9.098,-0.18
1971.463,-4.494,9.137,-0.18
1971.497,-4.297,9.186,-0.12
1971.53,-4.065,9.272,-0.13
1971.563,-3.926,9.33,-0.15
1971.6,-4.062,9.279,-0.15
1971.639,-4.288,9.212,-0.18
1971.678,-4.46,9.19,-0.29
1971.717,-4.603,9.155,-0.34
1971.757,-4.675,9.088,-0.23
1971.796,-4.685,9.063,-0.16
1971.835,-4.733,9.08,-0.26
1971.874,-4.782,9.09,-0.34
1971.913,-4.782,9.089,-0.33
1971.953,-4.844,9.047,-0.28
1971.992,-5.006,8.986,-0.27
1972.031,-5.201,8.969,-0.42
1972.07,-5.499,8.961,-0.69
1972.109,-5.511,8.967,-0.72
1972.149,-5.376,9,-0.68
1972.188,-5.185,9.028,-0.57
1972.227,-5.353,9.024,-0.72
1972.266,-5.608,9.029,-0.99
1972.305,-5.223,9.045,-0.65
1972.345,-4.869,9.11,-0.48
1972.384,-4.443,9.223,-0.37
1972.423,-4.098,9.312,-0.27
1972.462,-3.872,9.366,-0.2
1972.502,-3.768,9.394,-0.18
1972.541,-3.843,9.37,-0.18
1972.58,-3.948,9.311,-0.12
1972.623,-4.091,9.297,-0.23
1972.665,-4.219,9.312,-0.4
1972.708,-4.31,9.317,-0.5
1972.75,-4.433,9.273,-0.5
1972.793,-4.548,9.192,-0.39
1972.835,-4.651,9.131,-0.32
1972.878,-4.755,9.084,-0.29
1972.921,-4.766,9.047,-0.2
1972.963,-4.807,9.019,-0.16
1973.006,-4.862,9.02,-0.22
1973.048,-4.861,9.041,-0.28
1973.091,-4.886,9.049,-0.33
1973.133,-4.917,9.017,-0.27
1973.176,-4.937,8.966,-0.14
1973.218,-4.815,8.982,-0.07
1973.261,-4.67,9.051,-0.12
1973.304,-4.616,9.099,-0.2
1973.346,-4.476,9.104,-0.07
1973.389,-4.354,9.135,-0.03
1973.431,-4.306,9.141,0
1973.474,-4.226,9.155,0.04
1973.516,-4.08,9.216,0.01
1973.559,-4.036,9.244,-0.02
1973.598,-4.076,9.227,-0.01
1973.634,-4.067,9.196,0.08
1973.669,-4.114,9.191,0.05
1973.705,-4.169,9.183,0.02
1973.741,-4.228,9.163,0.01
1973.777,-4.31,9.128,0.03
1973.812,-4.403,9.081,0.07
1973.848,-4.476,9.051,0.08
1973.884,-4.521,9.06,0.01
1973.919,-4.672,9.059,-0.14
1973.955,-4.885,9.005,-0.2
1973.991,-5.28,8.958,-0.47
1974.027,-5.637,8.941,-0.78
1974.062,-5.77,8.931,-0.88
1974.098,-6.176,8.924,-1.27
1974.134,-6.03,8.92,-1.11
1974.169,-5.691,8.936,-0.81
1974.205,-5.5,8.979,-0.74
1974.241,-5.404,8.965,-0.61
1974.277,-5.291,8.946,-0.44
1974.312,-5.216,8.988,-0.49
1974.348,-5.056,9.013,-0.39
1974.384,-4.856,9.03,-0.24
1974.419,-4.669,9.103,-0.26
1974.455,-4.458,9.172,-0.24
1974.491,-4.285,9.236,-0.25
1974.527,-4.13,9.3,-0.27
1974.562,-4.071,9.295,-0.2
1974.601,-4.144,9.281,-0.23
1974.644,-4.308,9.238,-0.28
1974.687,-4.449,9.17,-0.23
1974.729,-4.534,9.139,-0.23
1974.772,-4.612,9.087,-0.16
1974.814,-4.634,9.087,-0.18
1974.857,-4.654,9.115,-0.28
1974.899,-4.735,9.111,-0.35
1974.942,-4.807,9.077,-0.33
1974.984,-4.857,9.035,-0.26
1975.027,-4.896,9.03,-0.28
1975.069,-4.911,9.047,-0.35
1975.112,-4.926,9.037,-0.33
1975.155,-4.946,8.994,-0.23
1975.197,-4.974,8.971,-0.2
1975.24,-4.921,8.964,-0.12
1975.282,-4.816,8.996,-0.11
1975.325,-4.67,9.044,-0.1
1975.367,-4.489,9.045,0.08
1975.41,-4.2,9.133,0.13
1975.452,-3.95,9.262,0.01
1975.495,-3.907,9.274,0.02
1975.538,-4.012,9.253,-0.02
1975.58,-4.117,9.249,-0.12
1975.616,-4.145,9.239,-0.12
1975.653,-4.203,9.22,-0.12
1975.689,-4.275,9.21,-0.17
1975.726,-4.428,9.142,-0.13
1975.762,-4.54,9.092,-0.1
1975.798,-4.596,9.108,-0.2
1975.835,-4.699,9.087,-0.25
1975.871,-4.857,9.049,-0.3
1975.907,-5.016,9.022,-0.38
1975.944,-5.126,9.02,-0.48
1975.98,-5.227,8.993,-0.51
1976.016,-5.309,8.952,-0.48
1976.053,-5.374,8.927,-0.47
1976.089,-5.496,8.907,-0.54
1976.126,-5.541,8.89,-0.54
1976.162,-5.545,8.877,-0.5
1976.198,-5.573,8.869,-0.51
1976.235,-5.495,8.887,-0.48
1976.271,-5.311,8.981,-0.56
1976.307,-5.021,9.065,-0.51
1976.344,-4.784,9.098,-0.36
1976.38,-4.676,9.144,-0.38
1976.416,-4.538,9.185,-0.36
1976.453,-4.349,9.26,-0.38
1976.489,-4.133,9.352,-0.42
1976.526,-3.958,9.36,-0.27
1976.562,-3.94,9.318,-0.13
1976.602,-4.015,9.298,-0.15
1976.647,-4.154,9.278,-0.23
1976.691,-4.353,9.213,-0.25
1976.736,-4.461,9.175,-0.25
1976.78,-4.539,9.179,-0.34
1976.825,-4.671,9.143,-0.37
1976.869,-4.811,9.073,-0.32
1976.913,-4.905,9.008,-0.23
1976.958,-4.906,9.019,-0.26
1977.002,-4.881,9.079,-0.41
1977.047,-4.946,9.063,-0.43
1977.091,-5.116,8.985,-0.38
1977.136,-5.289,8.956,-0.47
1977.18,-5.313,8.981,-0.56
1977.225,-5.146,9.02,-0.5
1977.269,-4.91,9.055,-0.37
1977.313,-4.718,9.094,-0.28
1977.358,-4.592,9.13,-0.26
1977.402,-4.427,9.191,-0.26
1977.447,-4.175,9.298,-0.31
1977.491,-3.991,9.372,-0.33
1977.536,-3.856,9.405,-0.29
1977.58,-3.803,9.358,-0.11
1977.617,-3.881,9.296,-0.01
1977.654,-4.034,9.288,-0.14
1977.691,-4.255,9.236,-0.22
1977.728,-4.393,9.182,-0.21
1977.765,-4.478,9.149,-0.2
1977.802,-4.546,9.117,-0.18
1988.674,-4.227,9.166,0.01
1988.712,-4.449,9.075,0.04
1988.75,-4.619,9.031,-0.01
1988.788,-4.692,9.029,-0.08
1988.825,-4.692,9.021,-0.05
1988.863,-4.705,9.036,-0.11
1988.901,-4.79,9.043,-0.21
1988.939,-4.943,9.004,-0.26
1988.976,-5.043,8.961,-0.24
1989.014,-5.076,8.953,-0.25
1989.052,-5.071,8.952,-0.24
1989.09,-5.086,8.954,-0.26
1989.127,-5.106,8.946,-0.26
1989.165,-5.089,8.947,-0.24
1989.203,-5.029,8.973,-0.26
1989.241,-5.03,8.977,-0.27
1989.278,-5.055,8.972,-0.28
1989.316,-5.04,8.984,-0.3
1989.354,-4.95,9.001,-0.26
1989.391,-4.771,9.037,-0.18
1989.429,-4.551,9.099,-0.13
1989.467,-4.329,9.183,-0.14
1989.505,-4.205,9.242,-0.19
1989.542,-4.078,9.259,-0.11
1989.58,-3.947,9.266,0.01
1989.621,-4.002,9.253,-0.01
1989.662,-4.202,9.216,-0.11
1989.703,-4.432,9.162,-0.19
1989.743,-4.637,9.091,-0.2
1989.784,-4.684,9.019,-0.04
1989.825,-4.709,9.029,-0.09
1989.866,-4.807,9.04,-0.22
1989.907,-4.837,9.047,-0.27
1989.947,-4.886,9.028,-0.27
1989.988,-4.986,8.957,-0.17
1990.029,-5.034,8.935,-0.15
1990.07,-4.999,8.934,-0.12
1990.111,-4.974,8.908,-0.02
1990.152,-4.969,8.885,0.05
1990.192,-4.95,8.911,0
1990.233,-4.995,8.946,-0.15
1990.274,-4.937,8.973,-0.16
1990.315,-4.867,9.011,-0.2
1990.356,-4.79,9.063,-0.27
1990.396,-4.559,9.136,-0.24
1990.437,-4.357,9.158,-0.1
1990.478,-4.193,9.203,-0.06
1990.519,-4.072,9.26,-0.1
1990.56,-4.079,9.253,-0.09
1990.601,-4.116,9.214,-0.02
1990.644,-4.121,9.206,0
1990.687,-4.211,9.232,-0.16
1990.729,-4.394,9.2,-0.26
1990.772,-4.568,9.141,-0.27
1990.814,-4.678,9.087,-0.22
1990.857,-4.729,9.038,-0.14
1990.899,-4.784,9.02,-0.14
1990.942,-4.926,9.034,-0.32
1990.984,-5.361,9.016,-0.71
1991.027,-5.925,8.951,-1.09
1991.07,-6.052,8.888,-1.04
1991.112,-5.884,8.884,-0.86
1991.155,-5.602,8.921,-0.68
1991.197,-5.284,8.931,-0.39
1991.24,-5.104,8.942,-0.24
1991.282,-4.932,8.998,-0.23
1991.325,-4.752,9.062,-0.23
1991.367,-4.535,9.119,-0.17
1991.41,-4.338,9.164,-0.1
1991.452,-4.226,9.192,-0.07
1991.495,-4.069,9.266,-0.12
1991.538,-3.95,9.325,-0.16
1991.58,-3.999,9.291,-0.12
1991.619,-4.144,9.237,-0.11
1991.657,-4.283,9.184,-0.1
1991.696,-4.426,9.129,-0.09
1991.734,-4.516,9.084,-0.06
1991.772,-4.506,9.067,0
1991.811,-4.532,9.051,0.02
1991.849,-4.644,9.05,-0.09
1991.888,-4.769,9.031,-0.16
1991.926,-4.831,8.984,-0.09
1991.965,-4.856,8.961,-0.05
1992.003,-4.84,8.953,-0.01
1992.042,-4.835,8.961,-0.03
1992.08,-4.837,8.956,-0.02
1992.119,-4.872,8.939,-0.01
1992.157,-4.867,8.93,0.03
1992.196,-4.837,8.926,0.07
1992.234,-4.811,8.949,0.03
1992.272,-4.678,8.999,0.02
1992.311,-4.605,9.03,0.01
1992.349,-4.579,9.043,0
1992.388,-4.495,9.073,0
1992.426,-4.371,9.121,-0.01
1992.465,-4.233,9.184,-0.05
1992.503,-4.081,9.236,-0.04
1992.542,-4.028,9.24,0
1992.58,-4.088,9.223,-0.02
1992.621,-4.205,9.19,-0.04
1992.662,-4.268,9.165,-0.03
1992.703,-4.313,9.148,-0.03
1992.743,-4.394,9.108,0
1992.784,-4.433,9.104,-0.03
1992.825,-4.457,9.1,-0.04
1992.866,-4.691,9.023,-0.06
