Age,d11B
1966,25.756
1967,26.208
1968,24.8
1969,24.848
1970,25.097
1971,25.836
1972,25.874
1973,25.882
1974,26.267
1975,25.375
1976,25.28
1977,25.28
1978,24.834
1979,24.756
1980,24.385
1981,25.301
1982,25.801
1983,25.534
1984,25.4
1985,24.468
1986,25.224
1987,24.503
1988,24.641
1989,25.41
1990,25.427
1991,25.758
1992,24.67
1993,24.225
1994,24.32
1995,25.248
1996,24.69
1997,24.623
1998,25.772
1999,25.772
2000,26.271
2001,25.136
2002,24.887
2003,25.257
2004,24.948
2005,25.313
