Age,BaCa,BCa,MgCa,SrCa,UCa,Dist
1995.962,0.003687124,0.433054956,4.151475079,8.723351202,1.162605359,46.09
1995.9682,0.003856317,0.441865486,4.052612731,8.687380313,1.194991702,45.82
1995.9744,0.003806357,0.435844714,3.792080457,8.817258839,1.204906628,45.56
1995.9806,0.003821041,0.44011166,3.933326608,8.839986884,1.199275961,45.29
1995.9869,0.004026758,0.417733842,3.397224656,8.809437961,1.331212119,45.03
1995.9931,0.004306699,0.394306942,3.480434645,8.827883941,1.264840433,44.76
1995.9993,0.004422432,0.390375472,3.583251261,8.76592064,1.156613963,44.5
1996.0055,0.004508991,0.383081267,3.549820925,8.749753339,1.168657111,44.23
1996.0117,0.004444547,0.395506538,3.618552559,8.767113993,1.218245078,43.97
1996.0179,0.004494678,0.391183625,3.489885496,8.708795729,1.254395419,43.7
1996.0242,0.004494501,0.385290837,3.522639631,8.730444997,1.254668078,43.44
1996.0304,0.004509674,0.383292395,3.5475494,8.750845759,1.259359037,43.18
1996.0366,0.00455671,0.380501817,3.55976357,8.769954451,1.259100405,42.91
1996.0428,0.00460454,0.379812475,3.526888521,8.772859629,1.260801002,42.65
1996.049,0.004658454,0.381036471,3.485380299,8.800880011,1.26245152,42.38
1996.0552,0.004668628,0.381627433,3.456808801,8.807148895,1.277226126,42.12
1996.0615,0.0047277,0.377637305,3.422072801,8.829851318,1.284744374,41.85
1996.0677,0.0048424,0.378396643,3.380614056,8.811647604,1.29363987,41.59
1996.0739,0.004901742,0.376486475,3.344193795,8.829710862,1.293948697,41.32
1996.0801,0.004966158,0.377412067,3.319461555,8.783876302,1.282493985,41.06
1996.0863,0.004987475,0.381816571,3.316208482,8.752586611,1.27848178,40.79
1996.0925,0.004994548,0.385602664,3.32760666,8.716479432,1.267556129,40.53
1996.0988,0.005013028,0.387189892,3.370423295,8.699390066,1.238360867,40.26
1996.105,0.005018457,0.383451858,3.438574452,8.719068718,1.23057125,40
1996.1112,0.005033763,0.384160361,3.531857359,8.70005944,1.207317962,39.73
