Age,Ba138Ca,BaCa,SrCa,UCa
1938.602,0.00363324,0.00379866,9.44,0.001607
1938.617,0.00421257,0.00398314,9.22729,0.00148945
1938.633,0.00438371,0.00417104,9.95815,0.00181107
1938.649,0.00405371,0.00384316,9.34868,0.00149157
1938.664,0.00403747,0.0040672,9.15817,0.00151572
1938.68,0.00426338,0.00442635,9.48011,0.00160046
1938.696,0.0042577,0.00421188,9.42557,0.00170784
1938.712,0.00438416,0.0043512,9.54806,0.0017181
1938.727,0.00474838,0.00428259,9.47334,0.00158574
1938.743,0.003955,0.0041446,9.52394,0.00171452
1938.759,0.00399747,0.00384986,9.45809,0.00167745
1938.774,0.00406794,0.00401468,9.25478,0.00142473
1938.79,0.00417936,0.00406219,9.32204,0.00150549
1938.806,0.00424064,0.00408529,9.26184,0.00141077
1938.822,0.00414462,0.00388619,9.2234,0.00150879
1938.837,0.00394861,0.00396596,9.39918,0.00150529
1938.853,0.00384558,0.00382225,9.52944,0.00169937
1938.869,0.004048,0.00405227,9.13075,0.00149302
1938.884,0.00408419,0.00400086,9.52505,0.00164626
1938.9,0.00410327,0.00391803,9.07117,0.00136444
1938.916,0.0036036,0.00385696,9.18543,0.00153189
1938.932,0.00391302,0.00401063,9.26431,0.00144801
1938.947,0.0038804,0.00395049,9.32625,0.00146573
1938.963,0.00391922,0.00394528,9.31918,0.00161262
1938.979,0.00380363,0.00404644,9.01473,0.00144693
1938.994,0.00403974,0.0041443,9.06895,0.00136923
1939.01,0.00431193,0.00398386,8.93167,0.00136166
1939.026,0.00450866,0.00429234,9.05283,0.00131627
1939.042,0.00385269,0.00399924,9.08253,0.00144236
1939.057,0.00422128,0.00414984,9.07215,0.00146633
1939.073,0.00405916,0.0040077,9.08162,0.00141292
1939.089,0.00405133,0.00396303,9.33635,0.00161143
1939.104,0.00407766,0.00397058,9.42201,0.00160451
1939.125,0.00432506,0.00419243,9.26224,0.00158065
1939.146,0.00372859,0.00385968,8.95842,0.00151031
1939.167,0.00384232,0.00395603,9.16266,0.00156756
1939.187,0.00426507,0.00432807,9.22117,0.00138238
1939.208,0.00434846,0.00426857,9.05986,0.00142556
1939.229,0.00425539,0.0040534,9.24355,0.0015943
1939.249,0.00440983,0.00428678,9.14131,0.00137935
1939.27,0.00457281,0.00444461,9.00073,0.00137022
1939.291,0.00424149,0.00411291,9.33262,0.00165927
1939.312,0.00452546,0.00417635,9.49388,0.00173111
1939.332,0.00395541,0.00415373,9.39719,0.00171383
1939.353,0.00414687,0.00401589,9.37524,0.0016489
1939.374,0.00392043,0.00395958,9.42839,0.00178662
1939.394,0.00430233,0.00416912,9.43878,0.00172037
1939.415,0.00408004,0.00400363,9.23214,0.00150012
1939.436,0.00428596,0.0043238,9.11073,0.00135454
1939.457,0.00422188,0.00402121,9.36425,0.0016573
1939.477,0.00414899,0.00394747,9.3169,0.00158062
1939.498,0.0044288,0.00398597,9.64457,0.00185343
1939.519,0.0042335,0.00406568,9.60316,0.00171458
1939.539,0.00399741,0.0039125,9.48124,0.00188229
1939.56,0.00382875,0.00410762,9.31687,0.00156904
1939.581,0.00443374,0.00431001,9.18623,0.00143868
1939.602,0.0046476,0.00455683,9.46662,0.00153419
1939.618,0.00432554,0.00428522,9.31727,0.00164424
1939.635,0.00419351,0.00428863,9.40815,0.00159054
1939.652,0.00398769,0.00396294,9.28771,0.00166348
1939.669,0.00441658,0.00432445,9.1493,0.00141127
1939.685,0.00424368,0.00432534,9.11669,0.00138066
1939.702,0.00411044,0.00400378,9.3086,0.00168826
1939.719,0.00404761,0.0038998,9.33867,0.0015146
1939.736,0.0036135,0.0036918,9.16051,0.00164946
1939.752,0.0037406,0.00371554,9.31611,0.00167603
1939.769,0.00363693,0.00353883,9.28124,0.0017164
1939.786,0.0040539,0.00367746,9.09523,0.0015618
1939.803,0.00376112,0.00369581,8.98655,0.00140423
1939.82,0.00410061,0.0038589,9.44521,0.00160472
1939.836,0.00387371,0.00390202,9.17062,0.00152063
1939.853,0.00412135,0.00391153,9.0539,0.00139114
1939.87,0.00371824,0.00358212,9.18529,0.00160297
1939.887,0.00339859,0.00335358,9.08538,0.0015948
1939.903,0.00341912,0.00356574,9.17759,0.00155046
1939.92,0.00408732,0.0038419,9.30412,0.00170705
1939.937,0.00369983,0.00362302,9.06307,0.00158185
1939.954,0.00376042,0.00375755,9.0248,0.00143923
1939.97,0.00483441,0.00455959,9.2747,0.00164995
1939.987,0.00433673,0.0042882,8.9066,0.00133644
1940.004,0.00482799,0.00472895,9.02554,0.0014973
1940.021,0.00448951,0.00410892,8.93277,0.00144978
1940.037,0.00404415,0.00423769,9.11959,0.00149012
1940.054,0.00488642,0.00504077,9.36045,0.00164623
1940.071,0.00474419,0.00461769,9.08156,0.001553
1940.088,0.0044717,0.00451205,9.23496,0.00155019
1940.104,0.00542789,0.00508383,9.21794,0.00161637
1940.126,0.00668207,0.00650622,9.26993,0.00161684
1940.148,0.00698565,0.00694377,9.37968,0.00166051
1940.169,0.00676114,0.00690478,8.99323,0.00145629
1940.191,0.00634821,0.00666127,9.33447,0.00166454
1940.212,0.00735309,0.0073823,9.14741,0.00144414
1940.234,0.00739177,0.00714667,9.08956,0.00138503
1940.256,0.00622291,0.00615135,9.42442,0.00156588
1940.277,0.00559743,0.0056524,9.33825,0.00165021
1940.299,0.00565193,0.00557587,9.12929,0.00141706
1940.321,0.0066704,0.00661056,9.04774,0.00136114
1940.342,0.00667037,0.00651823,9.39224,0.00165397
1940.364,0.00635817,0.00640008,9.44035,0.00171046
1940.385,0.00644682,0.00657055,9.46521,0.00173239
1940.407,0.0053195,0.00528848,9.40937,0.00180309
1940.429,0.00501976,0.00495725,9.55006,0.00181062
1940.45,0.0045959,0.00454749,9.38112,0.00175399
1940.472,0.00438222,0.0042876,9.78714,0.00186145
1940.494,0.00458993,0.0042662,9.2644,0.00165475
1940.515,0.00416403,0.00431909,9.65633,0.00179598
1940.537,0.00420303,0.0042036,9.74404,0.00187886
1940.558,0.00448173,0.00418744,9.57357,0.00166526
1940.58,0.00434129,0.0042946,9.35037,0.00149695
1940.602,0.0042301,0.00430511,9.70002,0.00188196
1940.626,0.00426695,0.00422723,9.41815,0.00160069
1940.65,0.00425604,0.00436854,9.39362,0.00172848
1940.673,0.00466799,0.00456437,9.29963,0.00146894
1940.697,0.00460084,0.00460307,9.4559,0.00144716
1940.721,0.00432053,0.0041263,9.35521,0.00158997
1940.745,0.00413407,0.00414522,9.15815,0.00146197
1940.769,0.0035676,0.00353336,8.89864,0.00149629
1940.793,0.00404564,0.00379796,9.17047,0.0015141
1940.817,0.00393793,0.00376917,9.43158,0.00171971
1940.841,0.00386641,0.0037312,9.34891,0.00159373
1940.865,0.00387042,0.00374609,9.30584,0.00157949
1940.889,0.00398823,0.00391436,9.13783,0.0016597
1940.913,0.00414366,0.00392742,9.15361,0.00153524
