"Age","LuminRange"
1826,0.247
1827,0.153
1828,0.044
1829,0.225
1830,0.183
1831,0.128
1832,0.196
1833,0.154
1834,0.134
1835,0.143
1836,0.118
1837,0.16
1838,0.2
1839,0.212
1840,0.077
1841,0.025
1842,0.049
1843,0.197
1844,0.166
1845,0.15
1846,0.133
1847,0.267
1848,0.261
1849,0.11
1850,0.169
1851,0.109
1852,0.161
1853,0.101
1854,0.138
1855,0.267
1856,0.167
1857,0.187
1858,0.078
1859,0.194
1860,0.163
1861,0.161
1862,0.105
1863,0.091
1864,0.124
1865,0.139
1866,0.121
1867,0.097
1868,0.168
1869,0.208
1870,0.254
1871,0.146
1872,0.152
1873,0.077
1874,0.174
1875,0.175
1876,0.155
1877,0.144
1878,0.188
1879,0.194
1880,0.252
1881,0.164
1882,0.216
1883,0.158
1884,0.133
1885,0.078
1886,0.153
1887,0.298
1888,0.165
1889,0.024
1890,0.34
1891,0.253
1892,0.05
1893,0.326
1894,0.229
1895,0.206
1896,0.332
1897,0.094
1898,0.399
1899,0.16
1900,0.087
1901,0.179
1902,0.115
1903,0.109
1904,0.212
1905,0.067
1906,0.233
1907,0.064
1908,0.144
1909,0.152
1910,0.386
1911,0.24
1912,0.178
1913,0.451
1914,0.113
1915,0.077
1916,0.056
1917,0.102
1918,0.397
1919,0.169
1920,0.127
1921,0.102
1922,0.086
1923,0.141
1924,0.218
1925,0.111
1926,0.099
1927,0.16
1928,0.343
1929,0.148
1930,0.089
1931,0.144
1932,0.135
1933,0.104
1934,0.151
1935,0.122
1936,0.195
1937,0.238
1938,0.178
1939,0.135
1940,0.19
1941,0.215
1942,0.146
1943,0.187
1944,0.359
1945,0.052
1946,0.096
1947,0.07
1948,0.167
1949,0.294
1950,0.365
1951,0.082
1952,0.062
1953,0.125
1954,0.2
1955,0.268
1956,0.186
1957,0.119
1958,0.163
1959,0.195
1960,0.096
1961,0.162
1962,0.105
1963,0.135
1964,0.036
1965,0.201
1966,0.076
1967,0.144
1968,0.174
1969,0.065
1970,0.118
1971,0.37
1972,0.157
1973,0.102
1974,0.239
1975,0.088
1976,0.253
1977,0.157
1978,0.145
1979,0.16
1980,0.16
1981,0.13
1982,0.138
1983,0.126
