Age,BaCa,Cd,Mn,P,Distance
1993.665753,0.00385,0.197346515,0.323088851,119.7939062,80.008
1993.679452,0.00384,0.195172706,0.323355311,120.1698034,79.7724
1993.693151,0.00412,0.213938778,0.296519231,126.6482004,79.5368
1993.706849,0.00413,0.253624373,0.291112087,115.7647011,79.3012
1993.720548,0.00397,0.239694074,0.293462444,114.9913625,79.0656
1993.734247,0.00392,0.179541123,0.290743489,108.4862357,78.83
1993.747945,0.00386,0.200291663,0.292792877,107.0908763,78.5944
1993.761644,0.00381,0.163605203,0.311879754,110.5715303,78.3588
1993.775342,0.00391,0.247200271,0.327878638,150.392136,78.1232
1993.789041,0.00404,0.235090399,0.331660479,155.0322474,77.8876
1993.80274,0.00401,0.210786276,0.298309006,123.9770703,77.652
1993.816438,0.00394,0.225318355,0.332658094,137.9517835,77.4164
1993.830137,0.00383,0.237592545,0.361449129,160.9881211,77.1808
1993.843836,0.00382,0.183870295,0.350080572,134.7196617,76.9452
1993.857534,0.00386,0.179702667,0.367657381,106.2349153,76.7096
1993.871233,0.00366,0.176290326,0.368034737,74.40178403,76.474
1993.884932,0.00365,0.154949396,0.322586396,70.61702129,76.2384
1993.89863,0.0038,0.200825893,0.304710006,107.4994579,76.0028
1993.915068,0.0038,0.206288801,0.338273276,131.3380426,75.7672
1993.928767,0.00372,0.198442498,0.341199924,135.3479638,75.5316
1993.945205,0.00386,0.210306181,0.405112403,130.6902309,75.296
1993.961644,0.00391,0.224945289,0.429766792,135.4787646,75.0604
1993.978082,0.00385,0.245371805,0.472688717,140.4048108,74.8248
1993.994521,0.00383,0.283419703,0.487498638,123.4911843,74.5892
1994.010959,0.0037,0.218128201,0.499671848,113.9489854,74.3536
1994.027397,0.00328,0.18600899,0.443662438,108.1693872,74.118
1994.043836,0.00366,0.245654274,0.499398956,121.6830031,73.8824
1994.060274,0.00378,0.232369679,0.534483135,149.7738127,73.6468
1994.076712,0.00371,0.227214921,0.517166857,157.3665698,73.4112
1994.093151,0.00362,0.242747331,0.543877364,160.4477222,73.1756
1994.10411,0.00365,0.204253399,0.611938077,159.8515125,72.94
1994.115068,0.00378,0.271719339,0.761068214,137.6324696,72.7044
1994.126027,0.00393,0.242373254,0.595038664,130.4055614,72.4688
1994.136986,0.00392,0.208258112,0.443311805,144.267109,72.2332
1994.147945,0.00402,0.236645039,0.362013396,150.6777062,71.9976
1994.158904,0.00411,0.292315454,0.407264666,142.7983778,71.762
1994.172603,0.00409,0.215660591,0.364634712,146.0429942,71.5264
1994.178082,0.00397,0.261866503,0.382145444,146.9124997,71.2908
1994.186301,0.00402,0.312997536,0.378164018,136.8515361,71.0552
1994.191781,0.0039,0.242440709,0.395009956,126.5428213,70.8196
1994.2,0.00388,0.238463364,0.407644177,129.4474557,70.584
1994.208219,0.00386,0.293224278,0.414553366,122.4390329,70.3484
1994.213699,0.00416,0.31743087,0.379722021,126.6395515,70.1128
1994.221918,0.00515,0.183555664,0.299343022,108.8361172,69.8772
1994.230137,0.00588,0.250654813,0.274161475,87.97623835,69.6416
1994.246575,0.00598,0.256636728,0.295287087,110.6123117,69.406
1994.265753,0.00576,0.323838484,0.283982724,152.9324175,69.1704
1994.284932,0.00643,0.2387728,0.242647562,139.2013522,68.9348
1994.30411,0.00663,0.26064268,0.243802596,134.0422441,68.6992
1994.323288,0.00611,0.210090574,0.24511148,134.1341107,68.4636
1994.342466,0.00533,0.221979326,0.268300149,111.1789902,68.228
1994.361644,0.00468,0.267083382,0.24320301,110.0825609,67.9924
1994.380822,0.00424,0.181283914,0.2126145,115.8264284,67.7568
1994.4,0.00413,0.374920066,0.222066492,124.3059963,67.5212
1994.419178,0.00413,0.292878948,0.190961706,120.7027328,67.2856
1994.438356,0.00409,0.333530747,0.187526959,104.2849576,67.05
1994.454795,0.00406,0.244148095,0.217054936,126.8221872,66.8144
1994.473973,0.00407,0.213706981,0.206041706,111.9465952,66.5788
1994.493151,0.00398,0.314586141,0.209359806,126.5308095,66.3432
1994.512329,0.00406,0.237835586,0.21017626,112.7900515,66.1076
