Age,d13C,d14C,d18O
1973,-0.99,139,NA
1974,-0.83,141,NA
1975,-0.75,142.2,NA
1976,-0.9,148.4,NA
1977,-1,133.1,NA
1978,-1.25,129.2,NA
1979,-1.25,113.6,-4.92
1979,-1.25,156.6,-4.92
1980,-1.11,142.8,-5.05
1981,-1.22,124.1,-4.77
1982,-1.15,120.4,-4.82
1983,-1.3,124.5,-4.71
1984,-1.15,133.5,-4.96
1985,-1.46,120.6,-5.19
1986,-0.95,90.6,NA
