Age,LuminRange
1868,0.344
1869,0.186
1870,0.215
1871,0.235
1872,0.217
1873,0.28
1874,0.449
1875,0.554
1876,0.487
1877,0.274
1878,0.276
1879,0.251
1880,0.411
1881,0.436
1882,0.712
1883,0.191
1884,0.21
1885,0.545
1886,0.205
1887,0.125
1888,0.143
1889,0.464
1890,0.596
1891,0.532
1892,0.358
1893,0.495
1894,0.362
1895,0.321
1896,0.581
1897,0.26
1898,0.524
1899,0.209
1900,0.225
1901,0.737
1902,0.361
1903,0.559
1904,0.075
1905,0.235
1906,0.468
1907,0.216
1908,0.329
1909,0.22
1910,0.408
1911,0.395
1912,0.145
1913,0.279
1914,0.24
1915,0.101
1916,0.23
1917,0.374
1918,0.366
1919,0.18
1920,0.228
1921,0.205
1922,0.313
1923,0.207
1924,0.281
1925,0.339
1926,0.258
1927,0.331
1928,0.245
1929,0.18
1930,0.341
1931,0.097
1932,0.22
1933,0.209
1934,0.351
1935,0.171
1936,0.305
1937,0.236
1938,0.17
1939,0.251
1940,0.432
1941,0.344
1942,0.163
1943,0.374
1944,0.293
1945,0.334
1946,0.352
1947,0.273
1948,0.198
1949,0.339
1950,0.365
1951,0.221
1952,0.185
1953,0.337
1954,0.316
1955,0.367
1956,0.221
1957,0.237
1958,0.23
1959,0.18
1960,0.217
1961,0.118
1962,0.195
1963,0.179
1964,0.172
1965,0.192
1966,0.131
1967,0.248
1968,0.282
1969,0.255
1970,0.347
1971,0.415
1972,0.368
1973,0.263
1974,0.389
1975,0.298
1976,0.29
1977,0.336
1978,0.193
1979,0.404
1980,0.195
1981,0.342
1982,0.179
1983,0.203
1984,0.414
1985,0.279
1986,0.395
1987,0.549
