Age,d18O,SrCa
1708,-4.27,8.9186
1713,-4.22,8.8745
1718,-4.38,9.0236
1723,-4.54,8.9717
1728,-4.45,8.947
1733,-4.39,9.0134
1738,-4.42,8.9539
1743,-4.45,8.9488
1748,-4.59,8.9106
1753,-4.6,8.9434
1758,-4.56,8.9387
1763,-4.64,8.9476
1768,-4.59,8.9497
1773,-4.54,8.974
1778,-4.6,8.9512
1783,-4.62,8.9698
1788,-4.58,9.0184
1793,-4.74,8.9927
1798,-4.65,8.9937
1803,-4.68,8.9711
1808,-4.61,9.0204
1813,-4.57,8.9793
1818,-4.58,8.9692
1823,-4.7,9.0019
1828,-4.74,9.0062
1833,-4.61,9.0055
1838,-4.61,8.9768
1843,-4.59,9.0437
1848,-4.7,8.9831
1853,-4.57,9.0111
1858,-4.74,8.9902
1863,-4.72,8.9749
1868,-4.73,8.9542
1873,-4.81,8.951
1878,-4.79,8.9442
1883,-4.74,8.9947
1888,-4.68,8.9356
1893,-4.77,8.9733
1898,-4.69,8.9674
1903,-4.63,8.9352
1908,-4.74,8.9736
1913,-4.56,8.9584
1918,-4.56,8.954
1923,-4.68,8.9971
1928,-4.63,8.9788
1933,-4.53,8.9391
1938,-4.79,8.9599
1943,-4.79,8.942
1948,-4.78,8.9458
1953,-4.65,8.9604
1958,-4.66,8.9563
1963,-4.69,8.9596
1968,-4.75,8.9808
1973,-4.91,8.9658
1978,-4.83,8.9043
1983,-4.78,8.9243
1988,-4.88,8.8996
