Age,d13C,d18O,d18Osw
-3928,-1.1,-4.3,-0.0968
-3923,-1,-4.2,-0.1836
-3918,-1.5,-4.5,-0.1772
-3913,-1,-4.4,-0.0132
-3908,-0.5,-4.2,0.0438
-3903,-0.8,-4.2,-0.082
-3898,-0.5,-4.2,-0.0908
-3893,-1,-4.7,-0.4537
-3888,-0.9,-4.5,-0.4318
-3883,-1.2,-4.9,-0.848
-3878,-1.4,-4.7,-0.5586
-3867,-1.7,-4.5,-0.3526
-3862,-1.4,-4.5,-0.3303
-3857,-1.8,-4.7,-0.5458
-3852,-1.6,-4.8,-0.5039
-3847,-0.9,-4.4,-0.1651
-3842,-1.2,-4.3,0.0812
-3837,-1.1,-4.5,-0.262
-3832,-1.4,-4.5,-0.1697
-3827,-1.1,-3.7,0.4882
-3822,-0.6,-4.2,-0.0428
-3817,-0.7,-3.9,0.617
-3812,-0.7,-3.9,0.4659
-3807,-0.3,-3.8,0.5443
-3802,-0.6,-4.4,-0.0979
