"Age","Lumin"
1978.096,0.569324
1978.115,0.580229
1978.135,0.583181
1978.154,0.5739
1978.173,0.556746
1978.192,0.550717
1978.212,0.547577
1978.231,0.546975
1978.25,0.549623
1978.269,0.553604
1978.289,0.550677
1978.308,0.544638
1978.327,0.544399
1978.346,0.548322
1978.365,0.544662
1978.385,0.539263
1978.404,0.530116
1978.423,0.526747
1978.442,0.52594
1978.462,0.528068
1978.481,0.531632
1978.5,0.527412
1978.519,0.527404
1978.539,0.530576
1978.558,0.539993
1978.577,0.550054
1978.596,0.553128
1978.615,0.548413
1978.635,0.539493
1978.654,0.539664
1978.673,0.552402
1978.692,0.568056
1978.712,0.580513
1978.731,0.589601
1978.75,0.600422
1978.769,0.614785
1978.789,0.623902
1978.808,0.625734
1978.827,0.621276
1978.846,0.614978
1978.865,0.616477
1978.885,0.623686
1978.904,0.638247
1978.923,0.632475
1978.942,0.608704
1978.962,0.585974
1978.981,0.567463
1979,0.558633
1979.019,0.560069
1979.039,0.560685
1979.058,0.562715
1979.077,0.568478
1979.096,0.564165
1979.115,0.554655
1979.135,0.556011
1979.154,0.564204
1979.173,0.571627
1979.192,0.582415
1979.212,0.588588
1979.231,0.581699
1979.25,0.560776
1979.269,0.539734
1979.289,0.534474
1979.308,0.532698
1979.327,0.521388
1979.346,0.506809
1979.365,0.492873
1979.385,0.48772
1979.404,0.488635
1979.423,0.497057
1979.442,0.496045
1979.462,0.467262
1979.481,0.41654
1979.5,0.387324
1979.519,0.382656
1979.539,0.39319
1979.558,0.422818
1979.577,0.459978
1979.596,0.490699
1979.615,0.513069
1979.635,0.517083
1979.654,0.50781
1979.673,0.487319
1979.692,0.472078
1979.712,0.471551
1979.731,0.476284
1979.75,0.486403
1979.769,0.500117
1979.789,0.508041
1979.808,0.505901
1979.827,0.500239
1979.846,0.492352
1979.865,0.487851
1979.885,0.489474
1979.904,0.486329
1979.923,0.500929
1979.942,0.509413
1979.962,0.518615
1979.981,0.523377
1980,0.529107
1980.019,0.534644
1980.039,0.534359
1980.058,0.537228
1980.077,0.5416
1980.096,0.5543
1980.115,0.558193
1980.135,0.559623
1980.154,0.563618
1980.173,0.561026
1980.192,0.552426
1980.212,0.541527
1980.231,0.524635
1980.25,0.512778
1980.269,0.501396
1980.289,0.492014
1980.308,0.482824
1980.327,0.475628
1980.346,0.46504
1980.365,0.458912
1980.385,0.449411
1980.404,0.452793
1980.423,0.453287
1980.442,0.450733
1980.462,0.45571
1980.481,0.463196
1980.5,0.467408
1980.519,0.472088
1980.539,0.480119
1980.558,0.485526
1980.577,0.490909
1980.596,0.500824
1980.615,0.503867
1980.635,0.50814
1980.654,0.506949
1980.673,0.507825
1980.692,0.507191
1980.712,0.505054
1980.731,0.504499
1980.75,0.511952
1980.769,0.519179
1980.789,0.508758
1980.808,0.488211
1980.827,0.472234
1980.846,0.463261
1980.865,0.449909
1980.885,0.438844
1980.904,0.440082
1980.923,0.442696
1980.942,0.448535
1980.962,0.453988
1980.981,0.475313
1981,0.498175
1981.019,0.503203
1981.039,0.501901
1981.058,0.506261
1981.077,0.514058
1981.096,0.528632
1981.115,0.538199
1981.135,0.541137
1981.154,0.544579
1981.173,0.551037
1981.192,0.557886
1981.212,0.555655
1981.231,0.552222
1981.25,0.541972
1981.269,0.530282
1981.289,0.516739
1981.308,0.51079
1981.327,0.50254
1981.346,0.498031
1981.365,0.489442
1981.385,0.489083
1981.404,0.486844
1981.423,0.486751
1981.442,0.486694
1981.462,0.48209
1981.481,0.464767
1981.5,0.461115
1981.519,0.460476
1981.539,0.460778
1981.558,0.460117
1981.577,0.465199
1981.596,0.473827
1981.615,0.478465
1981.635,0.471334
1981.654,0.468231
1981.673,0.468881
1981.692,0.466551
1981.712,0.472508
1981.731,0.480555
1981.75,0.490236
1981.769,0.495416
1981.789,0.500506
1981.808,0.499034
1981.827,0.497318
1981.846,0.500856
1981.865,0.505951
1981.885,0.509075
1981.904,0.507046
1981.923,0.494589
1981.942,0.479852
1981.962,0.470185
1981.981,0.471445
1982,0.470092
1982.019,0.481634
1982.039,0.497977
1982.058,0.504371
1982.077,0.507777
1982.096,0.510499
1982.115,0.512643
1982.135,0.519712
1982.154,0.534367
1982.173,0.557052
1982.192,0.582209
1982.212,0.597458
1982.231,0.599937
1982.25,0.582345
1982.269,0.552763
1982.289,0.526013
1982.308,0.505724
1982.327,0.497426
1982.346,0.49436
1982.365,0.486215
1982.385,0.479178
1982.404,0.468696
1982.423,0.464946
1982.442,0.468362
1982.462,0.479818
1982.481,0.494323
1982.5,0.50609
1982.519,0.509009
1982.539,0.505914
1982.558,0.501765
1982.577,0.499271
1982.596,0.500295
1982.615,0.50761
1982.635,0.514042
1982.654,0.51769
1982.673,0.526069
1982.692,0.529118
1982.712,0.532623
1982.731,0.534171
1982.75,0.533476
1982.769,0.532884
1982.789,0.529025
1982.808,0.524004
1982.827,0.521751
1982.846,0.516549
1982.865,0.51511
1982.885,0.512346
1982.904,0.511412
1982.923,0.513246
1982.942,0.515787
1982.962,0.517879
1982.981,0.520294
1983,0.532514
1983.019,0.560321
1983.039,0.589192
1983.058,0.618226
1983.077,0.645529
1983.096,0.675782
1983.115,0.694469
1983.135,0.703338
1983.154,0.699157
1983.173,0.688074
1983.192,0.671407
1983.212,0.654494
1983.231,0.634938
1983.25,0.609793
1983.269,0.586843
1983.289,0.569152
1983.308,0.543572
1983.327,0.517225
1983.346,0.495184
1983.365,0.477867
1983.385,0.467716
1983.404,0.461373
1983.423,0.45931
1983.442,0.460138
1983.462,0.464444
1983.481,0.470251
1983.5,0.470333
1983.519,0.471222
1983.539,0.475569
1983.558,0.479283
1983.577,0.484775
1983.596,0.490406
1983.615,0.500927
1983.635,0.509658
1983.654,0.517619
1983.673,0.523408
1983.692,0.528243
1983.712,0.528851
1983.731,0.52543
1983.75,0.516002
1983.769,0.510942
1983.789,0.506557
1983.808,0.505947
1983.827,0.509087
1983.846,0.513882
