Age,BaCa,Ce,Dy,Er,Eu,Gd,Ho,La,Lu,MgCa,MnCa,Nd,Pr,Sm,SrCa,Tb,Tm,UCa,VCa,Y,Yb,YCa
1957.916438,0.00477,7.7,2.1,2.8,0.6,2.7,1,7.8,0.4,4.29,0.00058,5.3,1.5,1.9,8.98,0.5,0.5,0.0011,0.00011543,62.1,2.5,7.49E-05
1958.00137,0.00456,7.9,2.2,3,0.5,3.2,1,8,0.5,4.21,6.00E-04,6.2,1.6,1.9,8.99,0.5,0.4,0.0011,0.00012255,64.6,3,7.33E-05
1958.086301,0.00439,8,2.3,3,0.5,3.5,0.9,8.2,0.6,4.16,0.00055,6.6,1.7,1.9,9.01,0.6,0.4,0.00112,0.00012697,65.1,3.1,7.32E-05
1958.163014,0.00425,7.9,2.4,2.9,0.6,3.4,0.9,8.5,0.6,4.15,0.00055,6.1,1.6,1.9,9.03,0.6,0.5,0.00116,0.00012796,65.9,3.2,7.51E-05
1958.247945,0.00454,8,2.6,2.9,0.7,3.6,1,8.1,0.6,3.88,0.00058,6,1.7,2.1,9.06,0.6,0.5,0.00125,0.00012656,71.5,3.5,7.89E-05
1958.330137,0.00472,7.9,2.9,2.9,0.6,3.4,1.1,7.9,0.6,3.68,0.00062,5.9,1.6,2,9.16,0.5,0.5,0.00131,0.00012726,73.2,3.4,8.04E-05
1958.415068,0.00475,6.8,3.2,2.7,0.4,2.9,1,7.8,0.6,3.57,0.00068,5.6,1.5,1.6,9.27,0.4,0.5,0.00133,0.00013064,66.4,3.2,7.90E-05
1958.49726,0.00483,7.7,2.4,3.1,0.5,2.7,0.9,8.2,0.6,3.75,0.00073,5.8,1.6,1.8,9.3,0.5,0.5,0.00127,0.00012286,69.7,3.2,7.98E-05
1958.582192,0.00465,6.6,2,2.7,0.5,3.1,0.8,8.1,0.5,4.29,0.00081,5.6,1.5,1.6,9.33,0.4,0.4,0.00113,0.00014326,63.3,2.9,7.66E-05
1958.667123,0.00477,6.2,2.2,2.6,0.4,2.6,0.8,6.7,0.5,4.63,0.00081,4.9,1.4,1.6,9.26,0.4,0.4,0.00105,0.00013405,59.5,2.4,7.75E-05
1958.749315,0.00475,6.4,1.7,2.4,0.5,2.6,0.8,7,0.5,4.56,0.00075,4.9,1.4,1.7,9.15,0.4,0.4,0.00105,0.00012746,58.9,2.5,7.51E-05
1958.834247,0.00486,5.9,2,2.8,0.6,3,0.9,7.5,0.5,4.52,0.00066,5.9,1.5,1.6,8.98,0.5,0.5,0.00105,0.00012331,67.8,3.1,8.00E-05
1958.916438,0.00511,10,2.5,2.8,0.5,3.2,1.1,8,0.5,4.65,0.00063,7,2,2.3,8.91,0.5,0.4,0.00101,0.00013824,81.6,3.6,8.08E-05
1959.00137,0.00505,7.2,2.5,2.7,0.8,3.3,1,8.6,0.6,4.59,0.00073,8.4,1.9,2.3,8.87,0.5,0.4,0.00102,0.00013204,78.6,4,8.22E-05
1959.086301,0.00479,8.6,3,3,0.6,3.4,1.1,9,0.5,4.57,8.00E-04,8,2,2.3,8.87,0.6,0.4,0.00105,0.00014714,83.5,3.7,8.73E-05
1959.163014,0.0044,8.9,3.5,2.9,0.6,3.6,1.1,9,0.5,4.52,0.00062,7.2,2,2.1,8.95,0.6,0.5,0.00107,0.00013848,78.4,3.1,8.76E-05
1959.247945,0.00438,8.2,3.4,2.9,0.6,3.8,1,8.8,0.5,4.35,0.00061,6.4,1.9,1.8,8.93,0.6,0.5,0.00117,0.00012505,73.1,2.5,8.90E-05
1959.330137,0.00446,7.8,3.1,3.2,0.6,4,1,9.2,0.6,4.07,0.00061,6.4,1.8,1.8,8.89,0.6,0.5,0.00129,0.00013581,74.6,2.5,9.15E-05
1959.415068,0.00416,9,3,3,0.7,4.1,1,9.9,0.6,3.77,0.00063,7.7,2.1,2.5,8.9,0.5,0.5,0.00133,0.00017021,81.8,3.4,9.04E-05
1959.49726,0.00436,9.4,2.7,2.8,0.8,3.2,1,10,0.6,3.64,0.00064,6.9,2,2.4,8.94,0.6,0.5,0.00138,0.00015625,78.8,3.5,9.17E-05
1959.582192,0.00428,7.6,2.1,2.6,0.6,2.7,0.7,8.7,0.6,4.25,0.00064,6,1.6,1.8,9.42,0.5,0.4,0.00119,0.00012818,59.5,3,8.40E-05
1959.667123,0.00426,6.6,1.8,2.5,0.5,2.5,0.6,7.9,0.5,4.65,0.00069,5.5,1.4,1.5,9.33,0.5,0.4,0.00105,0.00011422,50.8,2.6,7.93E-05
1959.749315,0.00432,7.1,1.9,2.6,0.5,2.5,0.7,8.1,0.5,4.68,0.00076,6.1,1.6,1.9,9.26,0.5,0.4,0.00103,0.00012549,59.4,2.7,8.00E-05
1959.834247,0.00441,7.3,2.3,2.6,0.6,2.8,0.8,8.3,0.5,4.65,8.00E-04,6.3,1.7,2,9.27,0.5,0.4,0.00102,0.00012676,67.9,2.7,8.08E-05
1959.916438,0.00452,8.3,2.8,2.6,0.6,3.2,0.9,8.6,0.4,4.59,0.00086,6.4,1.8,2,8.98,0.5,0.4,0.00101,0.00012329,75.4,2.7,8.16E-05
1960.001366,0.00464,7.7,2.3,2.7,0.7,3.2,0.9,8.2,0.4,4.51,0.00086,6.7,1.7,2.2,8.79,0.6,0.4,0.00101,0.00013028,71.2,2.8,8.27E-05
1960.086066,0.00471,7.4,1.9,2.7,0.7,3.2,0.8,7.9,0.5,4.42,0.00089,6.8,1.6,2.3,8.79,0.5,0.4,0.00101,0.00013506,69.6,2.9,8.38E-05
