Age,Ba138Ca,BaCa,SrCa,UCa
1936.602,0.00305755,0.00320041,9.04945,0.00141595
1936.621,0.00285791,0.00294372,9.12535,0.00144351
1936.639,0.00261158,0.00262664,9.01314,0.00129428
1936.658,0.00264082,0.00272551,9.10068,0.00136361
1936.676,0.00296494,0.0031086,9.22974,0.00138218
1936.695,0.00330244,0.00339578,9.19931,0.00137108
1936.714,0.00374715,0.0037364,9.16182,0.00138912
1936.732,0.00354278,0.00355457,9.02017,0.00141407
1936.751,0.00368848,0.00408137,9.22916,0.00147274
1936.769,0.00367076,0.00361558,8.91306,0.00127684
1936.788,0.00417591,0.00429809,9.0805,0.0014285
1936.807,0.00345494,0.00360488,9.07958,0.00138838
1936.825,0.00411474,0.00394541,9.03896,0.0013324
1936.844,0.00389427,0.00406569,9.22215,0.00141116
1936.863,0.00384222,0.00383898,8.91026,0.00132056
1936.881,0.00427768,0.00415594,9.06217,0.00137484
1936.9,0.00504712,0.00521809,9.14392,0.00148705
1936.918,0.00437683,0.00430696,8.8287,0.00123285
1936.937,0.0042494,0.00428644,8.93525,0.00144574
1936.956,0.00453244,0.00460708,9.08212,0.00153237
1936.974,0.00500259,0.00510739,9.29289,0.00162374
1936.993,0.00568359,0.00574923,9.35954,0.00167588
1937.011,0.00573,0.00582805,9.27014,0.00168325
1937.03,0.00533929,0.00563026,9.41541,0.00163017
1937.049,0.00648165,0.00652255,9.59789,0.00180464
1937.067,0.00764047,0.00753649,9.21885,0.00164081
1937.086,0.00590089,0.0059097,9.13019,0.00140899
1937.104,0.00676393,0.00710774,9.29852,0.00162731
1937.131,0.00510899,0.0052882,9.06806,0.00153212
1937.157,0.00437015,0.00459269,8.88612,0.00125087
1937.183,0.00439807,0.00433097,8.88855,0.00129506
1937.209,0.00416376,0.00413813,9.00561,0.00133762
1937.235,0.00410013,0.00427937,9.17676,0.00153329
1937.262,0.00356807,0.00364185,8.97042,0.00129154
1937.288,0.00298373,0.00299501,8.98822,0.0013353
1937.314,0.00423684,0.00424782,9.0943,0.00149546
1937.34,0.00357632,0.00373252,9.19427,0.00134408
1937.366,0.00347095,0.00341181,9.10085,0.00148016
1937.392,0.0038001,0.00373485,9.30258,0.00164316
1937.419,0.00412567,0.00421725,9.11488,0.00153687
1937.445,0.00442523,0.0044555,9.27229,0.00153942
1937.471,0.00328652,0.00346468,9.12018,0.00134671
1937.497,0.00315412,0.00315281,9.07103,0.00130698
1937.523,0.00348896,0.00338297,9.20472,0.00144564
1937.55,0.00284476,0.00293676,8.97188,0.00117814
1937.576,0.00274657,0.00286369,9.00298,0.00126513
1937.602,0.00291892,0.00289628,9.31226,0.00165718
1937.62,0.00275033,0.00276792,9.3171,0.00159259
1937.638,0.00323629,0.00332591,9.2391,0.00155479
1937.656,0.00325671,0.00319979,9.34005,0.00162121
1937.674,0.00355481,0.00370651,9.20891,0.00151558
1937.692,0.0039118,0.00392217,9.28298,0.00149081
1937.71,0.00368378,0.00373842,9.22586,0.00149284
1937.728,0.00384346,0.00397011,9.21918,0.00148052
1937.746,0.00401103,0.00408272,9.00793,0.00137458
