Age,BCa,LiCa,MgCa,SrCa,UCa
1901.62,0.654885,0.00741,3.52443,9.238973,0.00166
1901.70335,0.664086,0.00744,3.637245,9.001127,0.0015
1901.7867,0.661634,0.00737,4.161959,8.898239,0.00128
1901.87005,0.651338,0.00715,4.600258,8.934177,0.00125
1901.9534,0.627203,0.00671,4.694441,8.755871,0.00115
1902.03675,0.560682,0.00692,4.213371,8.672511,0.00117
1902.1201,0.557365,0.00711,4.368507,8.817863,0.00118
1902.20345,0.578829,0.00725,4.406536,8.895003,0.00123
1902.2868,0.571219,0.00642,3.930713,8.868523,0.00136
1902.37015,0.570959,0.00652,4.182345,8.660549,0.00123
1902.4535,0.599306,0.00672,4.322644,8.758802,0.00121
1902.53685,0.648021,0.00649,4.385891,9.021034,0.00134
1902.6202,0.652464,0.0065,3.918528,9.224562,0.00165
1902.70355,0.662536,0.00687,3.989542,9.055747,0.00155
1902.7869,0.677767,0.00716,4.604501,8.873763,0.00131
1902.87025,0.641635,0.0074,4.594592,8.888431,0.00121
1902.9536,0.613526,0.00705,4.323545,8.878371,0.00125
1903.03695,0.582491,0.00733,4.58549,8.589691,0.00116
1903.1203,0.584954,0.00741,4.889669,8.699011,0.00114
1903.20365,0.572068,0.0071,4.830845,8.673301,0.00112
1903.287,0.574457,0.00677,5.137779,8.874885,0.00116
1903.37035,0.584491,0.00665,4.167254,8.774778,0.00124
1903.4537,0.607726,0.00659,3.875025,9.019476,0.00136
1903.53705,0.631824,0.00661,3.835648,9.075486,0.00146
1903.6204,0.646292,0.00721,3.992408,9.253924,0.00165
1903.70375,0.66691,0.00679,4.075333,9.100807,0.00146
1903.7871,0.656122,0.00674,4.212791,8.877157,0.00133
1903.87045,0.635206,0.00702,4.851941,8.7317,0.00123
1903.9538,0.608691,0.00748,5.081628,8.677846,0.00117
1904.03715,0.612264,0.00738,5.046173,8.690151,0.00116
1904.1205,0.593717,0.00696,4.87025,8.719197,0.00115
1904.20385,0.566492,0.00707,4.408269,8.712799,0.00117
1904.2872,0.540395,0.00725,4.570869,8.763419,0.00111
1904.37055,0.549223,0.0071,4.522084,8.583614,0.00108
1904.4539,0.595018,0.0071,4.004657,8.936552,0.00138
1904.53725,0.646068,0.00681,3.805203,9.316098,0.00162
1904.6206,0.661361,0.00655,3.877848,9.304045,0.00163
1904.70395,0.684481,0.00671,4.726158,8.836913,0.0013
1904.7873,0.647315,0.00661,5.085943,8.882951,0.00122
1904.87065,0.607298,0.00687,5.068262,8.74395,0.00119
1904.954,0.55924,0.00709,4.938879,8.699905,0.00118
1905.03735,0.541769,0.00743,4.872496,8.716203,0.00123
1905.12071,0.518459,0.00783,4.529703,8.614833,0.00122
1905.20406,0.528048,0.00744,4.387401,8.70602,0.0012
