Age,d15N
1874.4,6.07
1874.7,7.12
1875.2,6.81
1875.5,7.4
1876.1,7.43
1876.7,7.72
1877.2,6.95
1877.7,7.56
1878.2,6.68
1878.7,7.22
1879,6.75
1880.3,6.25
1880.7,6.69
1881.3,7.09
1881.7,6.93
1882.5,6.8
1883.3,6.6
1883.7,6.8
1884.1,6.6
1884.5,5.61
1884.9,5.78
1885.5,6.27
1885.9,6.98
1886.5,6.37
1886.8,5.59
1887.3,6.54
1887.7,5.5
1888.3,6
1888.7,7.04
1889.5,6.15
1890,6.63
1890.5,6.12
1891.3,6.06
1891.7,6.27
1892.2,5.24
1892.6,5.34
1892.9,6.68
1893.5,5.73
1893.9,5.82
1894.5,5.75
1894.9,5.1
1895.4,5.38
1896,4.94
1896.3,4.98
1896.6,5.46
1896.8,6.11
1897.2,6.06
1897.4,6.02
1897.8,6.14
1898.4,6.13
1898.9,6.18
1899.4,5.6
1900.3,6.02
1900.7,5.25
1901.2,5.39
1901.7,5.22
1902.4,5.21
1903.1,5.2
1903.5,5.9
1904,5.31
1904.5,6.67
1904.9,6.54
1905.6,7.09
1906.3,6.35
1906.8,6.21
1907.3,5.83
1907.7,5.98
1908.4,6.07
1909,6.45
1909.4,6.01
1909.8,6.36
1910.3,6.29
1910.6,6.47
1911,6.16
1911.4,6.68
1911.9,6.84
1912.5,6.32
1913,6.39
1913.3,6.39
1914.4,6.16
1914.8,6.07
1915.3,6.5
1915.7,5.01
1916.5,6.64
1917,5.64
1917.6,5.92
1917.8,6.19
1918.3,6.41
1918.7,6.56
1919.3,6.06
1919.6,6.31
1920.5,6.59
1921,6.84
1921.5,6.22
1921.7,6.6
1922.1,6.49
1922.5,6.95
1922.9,7.13
1923.5,6.73
1924.2,6.7
1924.8,6.71
1925.4,7.06
1925.7,6.89
1926.2,6.15
1926.8,6.66
1927.4,6.16
1927.8,5.63
1928,6.13
1929,6.64
1929.5,6.45
1930,6.57
1930.5,5.78
1930.9,6.02
1931.5,6.49
1931.9,6.64
1932.5,6
1933.3,6.03
1933.7,5.89
1934.2,6.58
1934.6,5.86
1935.2,6.04
1936.1,5.42
1936.4,6.3
1936.7,5.35
1937.1,5.44
1937.5,5.47
1937.8,5.88
1938.2,5.47
1938.7,5.25
1939.2,5.21
1939.6,5.11
1940.1,4.9
1940.5,5.03
1941.1,5.61
1941.8,6.03
1942.3,5.02
1942.8,5.88
1943.4,6.11
1943.8,5.74
1944.4,5.21
1944.8,6.52
1945.2,5.44
1945.8,5.67
1946.4,5.79
1947,5.78
1947.5,5.58
1947.9,6.1
1948.6,6
1949,5.17
1949.3,5.19
1949.9,5
1950.4,5.48
1950.9,5.29
1951.6,5.99
1952.2,5.61
1952.7,5.41
1953,5.87
1953.5,5.51
1953.8,5.38
1954.3,5.41
1955,5.55
1955.6,4.9
1956.1,5.4
1956.7,5.88
1957.2,4.97
1957.6,5.01
1957.8,5.82
1958.3,4.68
1958.7,5.27
1959.3,4.69
1959.7,5.28
1960.5,5.89
1961,5.98
1962,6.27
1962.4,5.74
1962.8,5.86
1963.5,6.12
1964,5.96
1964.5,5.36
1965,6.23
1965.6,5.8
1966.2,5.6
1966.6,5.52
1967,5.33
1967.5,5.81
1968,5.48
1968.6,5.8
1969,5.64
1969.8,5.5
1970.3,5.41
1970.6,5.78
1971,6.15
1971.6,6.1
1972,6.27
1972.4,6.07
1973,6.4
1973.7,5.97
1974.2,6.24
1974.7,6.22
1975.1,5.15
1975.7,5
1976,5.24
1976.5,5.77
1977,5.52
1977.7,4.99
1978.2,5.37
1978.6,5.56
1979,5.5
1979.5,5.64
1980,5.24
1980.5,6.1
1981.1,5.7
1981.6,5.48
1982,6.17
1982.3,6.17
1982.6,6.06
1983.1,6.11
1984,5.48
1984.5,5.85
1985,5.73
1985.5,5.59
1986,6.22
1986.5,6.54
1987,6.41
1987.5,6.07
