Age,BaCa,SrCa,UCa
1759.58,0.0035208,8.43902,0.00118677
1759.614,0.00382636,9.09796,0.00146099
1759.648,0.00390536,8.9644,0.00148426
1759.681,0.00370732,9.00778,0.00141122
1759.715,0.00351221,9.01958,0.00142887
1759.749,0.00349463,9.15675,0.00146927
1759.782,0.0035107,8.97081,0.00133635
1759.816,0.00354257,9.0294,0.00138972
1759.85,0.00355977,9.05505,0.00136772
1759.883,0.00359286,8.98014,0.00139625
1759.917,0.00360655,8.88654,0.0013776
1759.951,0.00365968,9.00781,0.00138341
1759.984,0.00346707,9.11146,0.001488
1760.018,0.00333433,9.16333,0.0015177
1760.052,0.0035351,9.23587,0.00146594
1760.085,0.0035524,9.13675,0.00148563
1760.119,0.00332855,8.86768,0.00145461
1760.153,0.00336423,9.21844,0.00156052
1760.186,0.00336186,8.81581,0.00144251
1760.22,0.00323477,9.00323,0.0015715
1760.254,0.00321043,8.73399,0.00153066
1760.287,0.00279173,9.02507,0.00153011
1760.321,0.00291611,9.14289,0.00174001
1760.355,0.00301222,9.40449,0.00171932
1760.388,0.00296701,8.93062,0.00161423
1760.422,0.00294568,9.26822,0.00169579
1760.456,0.00289058,9.2514,0.00171644
1760.489,0.00312837,9.40351,0.00181462
1760.523,0.00292668,9.58958,0.00185791
1760.557,0.00286031,9.41817,0.00184368
1760.59,0.00300809,9.28604,0.00172432
1760.624,0.00351023,8.90801,0.00151545
1760.658,0.00385137,8.85766,0.00134607
1760.691,0.00386779,9.00577,0.00141134
1760.725,0.00384863,8.93341,0.00141808
1760.759,0.00366652,8.75015,0.00130455
1760.792,0.00358363,8.81105,0.00135009
1760.826,0.00350885,8.85122,0.00134729
1760.859,0.00362328,9.03042,0.00133894
1760.893,0.00349339,8.81383,0.00144403
1760.927,0.00366737,8.74268,0.00130275
1760.96,0.00396366,8.59471,0.00116681
1760.994,0.00351252,8.76246,0.00128597
1761.028,0.00367454,8.94045,0.00126802
1761.061,0.0035441,8.67528,0.00122173
1761.095,0.0034881,9.04853,0.00134195
1761.129,0.00335857,8.93268,0.00144236
1761.162,0.0034538,8.90327,0.0013432
1761.196,0.00361607,9.0678,0.00134922
1761.23,0.00386709,8.89715,0.00138971
1761.263,0.00450781,8.87221,0.00138742
1761.297,0.00447691,8.62993,0.00142164
1761.331,0.00413949,8.95958,0.00157181
1761.364,0.00373968,9.01164,0.00149825
1761.398,0.00369839,8.93249,0.00145226
1761.432,0.00348583,8.94248,0.00138959
1761.465,0.00313332,9.04771,0.00159677
1761.499,0.00335254,9.07417,0.0016359
1761.533,0.00342495,9.05116,0.00165464
1761.566,0.00334341,9.01001,0.001592
1761.6,0.00343104,9.35753,0.00156562
1761.634,0.00323701,9.16919,0.00148303
1761.667,0.00296573,9.3002,0.00167172
1761.701,0.00319675,9.0802,0.00175744
1761.735,0.00312986,9.07177,0.00174097
1761.768,0.00329947,9.38906,0.00169928
1761.802,0.00310091,9.13233,0.00169776
1761.836,0.00304263,9.14188,0.00159618
1761.869,0.00323954,9.03654,0.00147711
1761.903,0.00352194,8.86495,0.00137391
1761.937,0.003545,8.86528,0.00138339
1761.97,0.0035329,9.19864,0.00155586
1762.004,0.00366312,8.67028,0.00142184
1762.038,0.00356919,8.8658,0.00148675
1762.071,0.00390268,8.61821,0.00135037
1762.105,0.00360606,9.05503,0.00141611
1762.139,0.00355008,8.97948,0.00140539
1762.172,0.0034951,8.81425,0.00139336
1762.206,0.00358046,9.11692,0.00140086
1762.24,0.00351478,8.87367,0.00124481
1762.273,0.00346098,8.82448,0.00129805
1762.307,0.00309301,8.98998,0.00142504
1762.34,0.00317363,9.14292,0.00154241
1762.374,0.00311241,9.12127,0.00149843
1762.408,0.00322724,9.38924,0.0016558
1762.441,0.0032781,9.21979,0.00162468
1762.475,0.00326205,8.99589,0.00147055
1762.509,0.00365133,9.16821,0.00150775
1762.542,0.00382944,9.1506,0.00162138
1762.576,0.00389187,9.54847,0.00176043
1762.61,0.00378096,9.23833,0.00162963
1762.643,0.00383087,9.17436,0.00160027
1762.677,0.00394579,9.13422,0.00156632
1762.711,0.00383574,9.4341,0.00177922
1762.744,0.00383673,9.44534,0.00186884
1762.778,0.00366695,9.38033,0.00180378
1762.812,0.00372332,8.88656,0.00149548
1762.845,0.0038528,9.14941,0.00141414
1762.879,0.00367343,9.09703,0.00132139
1762.913,0.00365894,8.62773,0.00130228
1762.946,0.00367954,8.4218,0.00128676
1762.98,0.00356264,8.67194,0.00121728
1763.014,0.00361502,8.64609,0.00122365
1763.047,0.00345164,8.56546,0.00121597
1763.081,0.00335811,8.37606,0.00117314
1763.115,0.00331435,8.48278,0.00124145
1763.148,0.00353917,8.55656,0.00126127
1763.182,0.00369353,8.35003,0.00111154
1763.216,0.00362838,8.50253,0.00123998
1763.249,0.00367764,8.89607,0.00139779
1763.283,0.00365145,8.68448,0.00146055
1763.317,0.00368358,8.82334,0.00141254
1763.351,0.00373116,8.74454,0.00125007
1763.384,0.00354922,8.68053,0.00131235
1763.418,0.00354742,9.15379,0.00147909
1763.452,0.00364528,8.76816,0.0015038
1763.485,0.00368272,8.96123,0.00149392
1763.519,0.00363675,9.01003,0.00144274
1763.553,0.00367721,9.01391,0.00138282
1763.586,0.00407392,9.20835,0.00143789
1763.62,0.00420105,9.05037,0.00157666
1763.654,0.00401845,9.07309,0.00180841
1763.687,0.00411329,9.26259,0.00184824
1763.721,0.00378624,9.3249,0.00170698
1763.755,0.00362384,8.80292,0.00143598
1763.788,0.00354634,8.74136,0.00141102
