Age,Ba,BaCa,Ca,MgCa,Mn,Pr,Sm,SrCa,Th,UCa,Y,YHo
1813,2.319987998,0.0018524,365496.9177,4.0096537,0.724317102,8.701962233,9.084368977,9.0626358,0.000831661,0.0012426,168.4075381,69.06060131
1815,2.139995919,0.0016987,367649.352,3.667862,0.667260201,7.629132964,5.751911119,9.1258061,0.001344704,0.0012664,168.9180964,52.14170107
1817,3.124143196,0.0025266,360863.1145,3.8873079,0.724635071,7.130695016,10.02371523,9.0612292,0.001060998,0.0012739,159.3463617,61.79734628
1819,2.312880607,0.001812,372508.8424,3.7798094,0.537632851,8.202082414,9.953597057,9.1025627,0.001393325,0.0013034,165.4455381,53.27340168
1821,2.188782532,0.0017525,364487.4518,4.0117301,0.505033879,5.107153289,6.04829445,9.0156188,0.000501234,0.0012055,137.6960473,66.4692791
1823,2.415858529,0.0019437,362729.4109,4.0749372,0.589161539,6.05837431,5.086093089,9.0199377,0.000938524,0.0012366,170.1578769,63.73484796
1825,2.66361406,0.0021267,365514.6463,4.072151,0.503054343,5.64965477,3.790236008,9.0032528,0.001106762,0.0011922,154.7818625,67.12438875
1827,2.741467485,0.0021889,365509.1475,3.9964223,0.52257637,6.666984282,6.147412826,9.0308172,0.000795859,0.0012684,155.5717111,51.4737057
1829,2.289009731,0.0018002,371074.4948,4.1392967,0.912537303,5.61038604,6.107572141,9.016228,0.001083027,0.0012651,149.4065533,58.62620335
1831,2.378969308,0.0018964,366104.2644,4.254599,0.493822782,5.658477445,7.379068312,8.968077,0.001474676,0.0012258,154.3537283,58.91838809
1833,2.377363894,0.0018282,379507.6648,3.9897423,0.531515622,5.240737994,4.537193058,8.9964191,0.001097001,0.0012037,154.3773293,62.81656057
1835,3.336182744,0.002641,368658.2911,4.1223672,0.450742721,6.019579618,7.665189118,9.0074881,0.001133134,0.0012002,154.7671712,59.95745658
1837,2.425976635,0.0020171,350991.0726,4.126772,0.484248981,5.831849692,5.72618716,8.9797455,0.001411675,0.0012136,147.9085443,63.88965973
1839,2.249601151,0.0017654,371880.1862,3.9023803,0.474560716,5.622966039,4.192854517,9.0354674,0.000903668,0.0012378,149.8484196,72.3700962
1841,2.98841708,0.002332,373980.0898,4.1805117,0.759387498,13.02688924,8.451721239,8.9300703,0.016333574,0.0011872,162.1878654,55.65882661
1843,2.775866715,0.0022235,364336.3506,4.0299894,0.472751414,6.276537775,8.680877894,8.9678246,0.000947603,0.0012076,142.5068382,59.85334903
1845,3.48592742,0.0027373,371650.8827,3.9947034,0.601794849,6.460618479,7.070854138,8.9438403,0.002251614,0.0011898,143.0296645,64.17830653
1847,2.75934678,0.0022195,362816.1508,3.8427133,0.591148212,5.843453046,6.231692044,9.0431496,0.000957091,0.0012128,141.7213977,60.55238559
1849,2.490005259,0.0019783,367316.429,3.8264687,0.479987881,5.910901749,3.54552422,9.0604056,0.000896454,0.0012222,150.2080582,69.64253548
1851,3.297850471,0.0026204,367286.1394,3.8782227,0.792396436,4.755267723,4.795139655,9.0011708,0.000697602,0.0012185,141.4787457,60.60797594
