Age,Ba138Ca,BaCa,BCa,Cd,CdCa,Ce,CeCa,Eu,EuCa,Gd,GdCa,La,LaCa,LiCa,Lu,LuCa,MgCa,Mn,MnCa,P,PbCa,PCa,Pr,PrCa,Sm,SmCa,SrCa,UCa,Y,Yb,YbCa,YCa,ZnCa,Dist
1983.104396,0.002221046,0.002221203,0.475572595,0.021014749,1.87E-05,19.877023,1.42E-05,1.426302,9.39E-07,8.436113,5.37E-06,33.382965,2.41E-05,0.00509111,1.572054,8.99E-07,2.940462561,0.297030702,0.00054112,12.92898718,0.000829083,0.041776547,6.224021,4.42E-06,8.086031,5.38E-06,9.02652956,0.001372341,102.129139,7.439561,4.30E-06,0.00011497,0.004101587,446.0264988
1983.124286,0.00267972,0.002342021,0.488305914,0.007855086,6.99E-06,18.878709,1.35E-05,0.459124,3.02E-07,12.241769,7.79E-06,27.244991,1.96E-05,0.005319616,0.330047,1.89E-07,2.983530478,0.290154902,0.000528594,10.36381807,0.000903973,0.033487893,4.535707,3.22E-06,5.140519,3.42E-06,8.992627007,0.001401799,96.524539,3.821108,2.21E-06,0.000108661,0.004882113,445.7407845
1983.144176,0.00198319,0.001962604,0.486936673,0.010878656,9.69E-06,14.145129,1.01E-05,0.488829,3.22E-07,8.986788,5.72E-06,21.89428,1.58E-05,0.004760057,0.022,1.26E-08,2.872204667,0.245135855,0.00044658,8.647833845,0.000742887,0.027943151,4.537236,3.22E-06,5.252702,3.50E-06,9.028140473,0.001371278,97.928373,7.172371,4.15E-06,0.000110241,0.00330568,445.4550702
1983.164066,0.001786402,0.00192903,0.485930645,0.013847023,1.23E-05,15.079364,1.08E-05,1.465921,9.65E-07,7.02305,4.47E-06,30.103908,2.17E-05,0.005007836,0.691921,3.96E-07,2.744242874,0.229558432,0.000418202,8.583308619,0.000708136,0.027734655,3.631831,2.58E-06,2.463393,1.64E-06,9.085740072,0.001447344,106.551088,6.598943,3.82E-06,0.000119948,0.003664093,445.1693559
1983.183956,0.002188104,0.002434906,0.468455377,0.011770053,1.05E-05,15.478344,1.11E-05,0.41719,2.75E-07,8.23969,5.24E-06,24.336273,1.75E-05,0.005217863,0.209679,1.20E-07,2.605262832,0.281334829,0.000512526,11.13049743,0.000681897,0.035965211,4.350869,3.09E-06,7.906048,5.26E-06,8.842788405,0.001422775,103.063736,7.247718,4.19E-06,0.000116022,0.005071335,444.8836416
1983.203846,0.003718075,0.003456241,0.508931948,0.012787528,1.14E-05,18.032567,1.29E-05,-0.44833,-2.95E-07,6.01714,3.83E-06,27.328331,1.97E-05,0.005255683,0.843228,4.82E-07,2.766354796,0.309983635,0.000564718,15.48130742,0.000721557,0.050023684,5.745393,4.08E-06,8.222849,5.47E-06,9.142226939,0.001534051,105.918027,5.805643,3.36E-06,0.000119235,0.007957957,444.5979274
1983.223736,0.00209231,0.002129146,0.496898818,0.02252172,2.01E-05,16.904781,1.21E-05,1.522105,1.00E-06,8.70009,5.54E-06,29.626477,2.13E-05,0.005106436,0.923118,5.28E-07,2.810258736,0.31875898,0.000580704,9.003326362,0.000768124,0.02909183,6.09077,4.33E-06,4.467286,2.97E-06,8.883792089,0.001394565,110.947755,4.67694,2.71E-06,0.000124897,0.007009921,444.3122131
1983.243626,0.001884307,0.001849403,0.472203519,0.009336115,8.31E-06,20.12023,1.44E-05,1.012258,6.67E-07,12.704227,8.09E-06,33.375248,2.40E-05,0.005037402,1.157923,6.62E-07,2.692926509,0.246339055,0.000448772,10.15916718,0.000680541,0.032826618,6.910896,4.91E-06,5.394636,3.59E-06,8.86477974,0.001394516,122.464813,5.833578,3.37E-06,0.000137862,0.003881909,444.0264988
1983.263516,0.002161475,0.00195125,0.492457848,0.007117085,6.34E-06,19.801245,1.41E-05,1.024435,6.75E-07,5.631233,3.58E-06,33.184314,2.39E-05,0.005345744,0.775136,4.43E-07,2.636531505,0.227957786,0.000415286,9.862613636,0.000656863,0.031868385,7.035718,5.00E-06,6.456946,4.30E-06,8.955904905,0.00143634,130.933896,4.826172,2.79E-06,0.000147396,0.004059975,443.7407845
1983.283406,0.002207831,0.002144997,0.509716569,0.006900884,6.14E-06,17.963627,1.28E-05,1.648726,1.09E-06,6.827706,4.35E-06,36.656663,2.64E-05,0.005144102,0.54139,3.10E-07,2.839223727,0.200270101,0.000364845,10.03231969,0.000642151,0.032416745,4.924471,3.50E-06,2.285006,1.52E-06,9.022702102,0.001392824,112.673801,8.592237,4.97E-06,0.00012684,0.003487194,443.4550702
