Age,Ba,BaCa,Ca,MgCa,Mn,Pr,Sm,SrCa,Th,UCa,Y,YHo
-3931,5.347456744,0.004186679,372750.5333,4.161405125,1.110010129,7.348115845,9.577624654,9.016698163,0.001820211,0.001258582,222.091845,68.72222475
-3929,13.96466189,0.010842892,375859.8277,4.218767251,1.132084403,6.475133861,6.734025546,8.940349525,0.001814371,0.001226111,205.2656708,65.32521839
-3927,4.032072826,0.003101009,379459.9442,3.997618426,1.058374248,6.357108497,4.919951767,8.969119519,0.001506867,0.001300966,200.4908748,72.69613223
-3925,4.94660938,0.003883713,371707.3029,4.008062857,1.048146941,6.977929125,7.049078691,8.977324025,0.00158447,0.001287678,188.7084296,61.55643266
-3923,6.376261475,0.004945096,376298.0582,3.781017125,0.839213056,4.345887717,5.298052706,9.073972188,0.001523431,0.001420573,181.8100095,61.27259656
-3921,5.057864111,0.003955162,373201.5579,3.991865866,0.973808264,7.028243316,5.516539222,8.953361423,0.002089495,0.001261858,194.1017826,57.36246066
-3919,6.680251161,0.005223701,373211.5777,3.898331557,0.742796236,5.047479044,6.932906881,8.955061791,0.001278801,0.001289791,183.2444997,68.84319634
-3917,7.473160015,0.005835836,373716.1241,3.973247897,1.009311954,7.4281951,5.118166263,8.932242538,0.002422337,0.001289448,178.8586193,59.27247158
-3915,5.736209225,0.004451832,376033.7507,4.111064826,0.842580573,5.692377002,3.345216351,8.964325025,0.005910726,0.001226317,174.7906539,60.4239878
-3913,4.751929322,0.003763191,368514.2607,4.122005931,0.732534933,3.883268815,4.93227096,8.996504457,0.001258109,0.00127927,167.3528825,77.32674636
-3911,6.332268509,0.004943864,373794.9615,4.322284241,1.126652592,5.891032623,6.174453703,8.926071478,0.003573741,0.001246654,174.1766517,66.74211407
-3909,4.665477427,0.003660937,371915.6681,4.126787328,0.808356403,4.655978743,3.896944798,8.988463157,0.001872826,0.001305491,168.110773,79.92552036
-3907,4.407021699,0.003458506,371875.2778,3.929136872,0.800068605,5.921999662,5.110769175,9.044366374,0.004563154,0.0013699,177.5848656,61.9406539
-3905,4.85796799,0.003763997,376656.925,3.804762388,0.774921143,7.595708314,11.56020916,8.980011837,0.002147125,0.001372522,194.7155889,76.19874611
-3903,5.767671198,0.00447149,376433.969,3.693633879,0.886566534,7.089217491,11.99617725,9.0046292,0.001797314,0.001433703,211.2409841,63.01835533
-3901,4.992755238,0.003869379,376564.6846,3.920159075,0.735185821,5.197027114,5.985809947,8.934493034,0.001649848,0.001344081,178.3268398,61.59264148
-3899,5.32933374,0.004186507,371502.5018,3.97201187,1.382273933,29.05899676,24.11143435,9.015613814,0.027246131,0.001424624,252.0621927,45.86051036
-3897,4.940202615,0.003871113,372434.2154,3.791933888,0.675184285,5.5479036,4.943034789,9.10705106,0.001698087,0.001497674,194.019574,59.81889601
-3895,5.496746015,0.004325239,370882.3822,3.966312016,0.749107926,4.758795617,10.09578805,9.00510812,0.00185001,0.001415398,167.9192965,70.62104224
-3893,5.416542371,0.004205568,375870.4229,3.846955204,0.861580279,7.82814456,6.525082028,9.016525783,0.002027669,0.0014435,198.8806852,58.77226504
-3891,5.743269043,0.004488664,373407.1708,3.940956437,0.842982307,7.375662559,6.060151927,9.018996244,0.001814707,0.001437642,204.6832507,57.82299455
-3889,4.877036498,0.003907338,364263.5271,4.393379997,0.933515012,17.89057766,11.6979274,8.963033404,0.013109791,0.001245208,202.7149527,52.7865521
