Age,Ba138Ca,BaCa,Bca,CdCa,LiCa,MgCa,MnCa,PbCa,PCa,SrCa,UCa,YCa,Distance
1967.601648,0.00447996,0.00423689,0.571746,6.16E-06,0.00639139,3.095859,0.000548845,7.96E-05,-0.000828442,9.365760677,0.00162349,0.000317808,600.1914043
1967.609757,0.00401326,0.00387729,0.541647,6.33E-06,0.00612625,2.743251,0.000463961,6.87E-05,-0.00246542,9.244925774,0.00164478,0.000409483,600.0143209
1967.617865,0.00406997,0.00396711,0.537908,2.19E-06,0.00607458,2.844416,0.000488707,7.12E-05,0.000223494,9.316747775,0.00165496,0.000413987,599.8372376
1967.625974,0.00389779,0.00371344,0.517322,6.64E-06,0.00589792,2.717169,0.000499812,0.000108144,7.34E-05,9.174740504,0.00158479,0.000391497,599.6601543
1967.634083,0.00389618,0.0037055,0.528442,1.87E-06,0.00579708,2.505686,0.000425518,6.22E-05,-0.000966931,9.216061104,0.00153375,0.00032785,599.4830709
1967.642192,0.00405051,0.00411724,0.576901,6.56E-06,0.00666864,3.525544,0.000570082,7.75E-05,0.00387633,9.122911569,0.00150128,0.000279755,599.3059876
1967.650301,0.00401327,0.00418275,0.592648,1.12E-05,0.00674111,3.81823,0.00061386,8.53E-05,0.00360958,9.15463109,0.00145758,0.000223282,599.1289043
1967.65841,0.00414809,0.00413243,0.557834,7.14E-06,0.00647132,3.261854,0.000596626,8.62E-05,0.00458455,9.251899898,0.00160287,0.000327249,598.9518209
1967.666518,0.00402381,0.00405952,0.526622,1.47E-05,0.00625698,3.379098,0.000638903,8.08E-05,0.000937557,9.00407145,0.00153899,0.000486254,598.7747376
1967.674627,0.00415211,0.00414366,0.548628,-2.98E-07,0.00604298,3.882138,0.000643095,9.26E-05,0.00356349,9.07920964,0.00144789,0.000409782,598.5976543
1967.682736,0.00391353,0.0040288,0.543774,-1.40E-07,0.00608572,3.73396,0.000617453,0.000100136,0.00477701,9.048865212,0.00154277,0.000489933,598.4205709
1967.690845,0.00425402,0.00401928,0.528009,1.25E-05,0.00624841,3.404784,0.000611451,7.59E-05,0.00361278,9.110174758,0.00151464,0.000427552,598.2434876
1967.698954,0.00403362,0.00405444,0.51567,1.43E-06,0.00595764,3.531377,0.000674377,0.000103745,0.00254023,9.110021366,0.00156113,0.00057985,598.0664043
1967.707063,0.00413907,0.00382951,0.532819,9.56E-06,0.00608935,3.882376,0.000707883,0.000113474,0.00206993,9.065157269,0.00150123,0.000550418,597.8893209
1967.715171,0.00424449,0.0043599,0.60036,8.44E-06,0.00721645,4.630204,0.000698298,8.69E-05,0.00474186,8.987232929,0.00137425,0.000326284,597.7122376
1967.72328,0.00476424,0.00464653,0.612322,6.82E-06,0.00711452,5.338023,0.000707802,0.000100411,0.00307202,9.16363899,0.00139132,0.000281439,597.5351543
1967.731389,0.00411267,0.00408538,0.570845,3.91E-06,0.00689373,5.810527,0.000691779,9.33E-05,0.00265502,8.851117625,0.00129714,0.000286682,597.3580709
1967.739498,0.00384219,0.0036445,0.500244,-2.21E-06,0.0061495,4.093665,0.000763573,7.72E-05,0.00383549,8.877686442,0.00136926,0.000447751,597.1809876
1967.747607,0.00380327,0.00375708,0.513484,1.68E-06,0.00608683,4.655196,0.000714925,8.80E-05,0.00302159,8.844179834,0.0012979,0.000393791,597.0039043
1967.755716,0.00396145,0.00414888,0.531508,8.51E-06,0.0063259,5.048729,0.000798948,9.20E-05,0.00240472,8.969976858,0.00133112,0.000362538,596.8268209
1967.763824,0.0042447,0.00389488,0.527406,-8.67E-07,0.00633678,4.066269,0.000781761,8.24E-05,0.00301654,9.009916863,0.00145962,0.000517954,596.6497376
1967.771933,0.00412112,0.00396124,0.503675,8.65E-06,0.00627409,4.349863,0.000759925,8.86E-05,0.00880658,8.899909991,0.00139733,0.000573412,596.4726543
1967.780042,0.00404308,0.00412347,0.511929,4.42E-06,0.00606779,4.20744,0.000762509,8.19E-05,0.00416238,8.974910072,0.00139568,0.000466688,596.2955709
1967.788151,0.00393844,0.0036657,0.488702,-2.66E-06,0.0059603,3.725183,0.000827204,6.85E-05,0.00468491,8.71813983,0.00132898,0.000428581,596.1184876
1967.79626,0.00404015,0.00407422,0.473298,6.41E-06,0.0057321,3.641358,0.000882474,8.39E-05,0.00162419,8.893197924,0.0014241,0.000462725,595.9414043
1967.804369,0.00388028,0.00385766,0.503715,2.70E-06,0.00614655,4.028739,0.000782872,8.53E-05,0.00545779,8.713762964,0.00129748,0.000493566,595.7643209
1967.812478,0.00423535,0.00404283,0.514265,1.00E-05,0.00642112,4.267378,0.00132247,0.000103811,0.00197214,8.753907011,0.00140617,0.00051758,595.5872376
1967.820586,0.0042736,0.0040928,0.517346,2.30E-06,0.00677861,4.660335,0.00083116,8.62E-05,0.00513244,8.847219842,0.00137067,0.000357746,595.4101543
1967.828695,0.00438042,0.00423613,0.488234,-1.79E-06,0.00630374,4.5623,0.00073913,9.37E-05,0.00824591,9.103803516,0.00150306,0.000557892,595.2330709
1967.836804,0.00411251,0.00419451,0.500572,9.81E-06,0.00646214,4.495023,0.000697138,7.18E-05,0.00171166,8.706607796,0.0012317,0.000381623,595.0559876
1967.844913,0.0042155,0.00423097,0.501259,1.89E-06,0.00667595,4.752267,0.000650326,7.87E-05,0.00524599,8.825246431,0.00118582,0.000345892,594.8789043
1967.853022,0.00424069,0.00395422,0.497029,-3.95E-07,0.00640228,3.974087,0.00063809,8.04E-05,0.00493309,8.803321805,0.00129313,0.000442736,594.7018209
