Age,BaCa,Ce,CeCe_anom,Dy,Er,Eu,Gd,Ho,La,Lu,MnCa,Nd,NdYb_paas,Pr,REEsCa,Sm,SrCa,Tb,Tm,Y,Yb,YCa,YHo
1991.916438,0.0027,15.41,0.35,8.78,6.75,1.22,8.2,2.2,28.14,1.38,0.00147,22.23,0.225,5.36,0.000000341,4.83,8.76,1.33,1.06,117.67,8.2,0.000157,53.49
1992.001366,0.00246,19.63,0.36,10.08,7.82,1.67,9.2,2.32,34.75,1.48,0.00095,25.65,0.23,6.34,0.000000342,6.2,8.78,1.49,1.34,138.69,9.27,0.000156,59.78
1992.086066,0.00264,16.67,0.36,8.7,6.88,1.33,8.27,2.17,29.53,1.35,8.00E-04,22.24,0.229,5.42,0.000000342,4.54,8.8,1.34,1.2,118.67,8.09,0.000155,54.69
1992.165301,0.00255,17.55,0.4,9.43,6.69,1.48,8.24,2.37,30.95,1.47,0.00085,24.59,0.258,5.6,0.000000352,5.66,8.81,1.32,1.16,123.17,7.93,0.000157,51.97
1992.25,0.00217,17.32,0.37,8.75,7.21,1.57,8.03,2.33,29.36,1.45,0.00064,23.28,0.226,5.62,0.000000343,5.59,8.91,1.38,1.05,123.32,8.55,0.000157,52.93
1992.331967,0.00171,17.21,0.39,9.35,7.25,1.57,8.43,2.35,30.16,1.41,0.00059,24.2,0.256,5.57,0.000000356,5.77,8.96,1.2,1.11,125.7,7.87,0.000163,53.49
1992.416667,0.00151,17.85,0.42,9.06,7.37,1.54,9.3,2.43,30.08,1.44,0.00063,25.72,0.261,5.63,0.000000362,5.33,9.03,1.4,1.13,126.49,8.19,0.000163,52.05
1992.498634,0.00168,19.08,0.37,9.91,7.58,1.55,10.27,2.41,31.95,1.65,0.00056,24.17,0.222,6,0.000000351,6.34,9.07,1.39,1.28,138.31,9.04,0.000165,57.39
1992.583333,0.002,18.27,0.4,9.22,7.15,1.39,9.45,2.16,30.84,1.49,0.00062,23.36,0.224,5.53,0.000000335,5.6,8.99,1.3,1.16,132.16,8.67,0.000159,61.19
1992.668033,0.0023,16.92,0.42,8.52,6.76,1.34,8.44,2.02,28.91,1.37,0.00067,21.97,0.228,5.05,0.000000325,5.21,8.91,1.24,1.07,123.07,8.02,0.000154,60.93
1992.75,0.00253,15.08,0.42,7.82,6.42,1.38,7.26,1.99,26.25,1.28,0.00072,20.03,0.234,4.55,0.00000032,5.12,8.83,1.2,1,111.27,7.12,0.000151,55.91
1992.834699,0.00259,16.43,0.4,8.63,7.06,1.44,7.24,2.21,27.83,1.39,0.00072,21.57,0.239,5.07,0.000000335,5.5,8.84,1.25,1.08,118.39,7.51,0.000156,53.57
1992.916667,0.00351,17.82,0.38,9.46,7.54,1.44,7.46,2.34,29.47,1.5,0.00089,23.13,0.24,5.57,0.00000034,5.75,8.85,1.29,1.15,127.21,8.03,0.00016,54.36
1993.00137,0.00373,17.75,0.39,9.58,7.09,1.25,7.72,2.17,29.16,1.49,0.00144,23.06,0.233,5.53,0.000000316,5.45,8.84,1.22,1.13,131.11,8.23,0.000155,60.42
1993.086301,0.00358,17.59,0.4,9.79,7.23,1.31,7.98,2.32,29.24,1.48,0.00146,22.81,0.228,5.41,0.000000322,5.91,8.81,1.21,1.15,131.64,8.33,0.000157,56.74
1993.163014,0.00342,17.32,0.41,9.91,7.65,1.5,8.13,2.62,29.28,1.46,0.00112,22.24,0.223,5.22,0.000000347,6.68,8.76,1.24,1.17,129,8.29,0.000164,49.24
1993.247945,0.00305,18.72,0.41,10.22,7.91,1.37,7.92,2.53,30.43,1.8,0.00086,22.91,0.182,5.47,0.000000338,5.11,8.9,1.29,1.37,143.7,10.46,0.000172,56.8
1993.330137,0.00265,21.93,0.44,10.76,8.15,1.72,9.71,2.66,34.54,1.94,0.00098,27.45,0.216,6.3,0.000000399,6.43,9.07,1.53,1.45,148.49,10.58,0.000184,55.82
1993.415068,0.00255,23.93,0.45,11.01,9.15,1.84,12.06,2.95,37.19,2.14,0.00052,30.17,0.212,6.81,0.000000442,6.83,9.24,1.6,1.51,150.43,11.81,0.000189,50.99
1993.49726,0.00245,23.22,0.44,12.12,9.52,2.06,10.08,2.9,35.81,2.24,0.00041,30.39,0.21,6.78,0.000000434,6.91,9.32,1.75,1.49,158.22,12.06,0.000197,54.56
1993.582192,0.00239,24.91,0.42,12.81,9.75,1.74,11.2,3.2,37.44,2.28,0.00051,30.83,0.207,7.3,0.000000417,8.03,9.23,1.75,1.59,167.66,12.36,0.000191,52.39
1993.667123,0.00234,21.33,0.38,10.67,8.86,1.56,10.09,2.67,33.32,1.99,0.00066,25.25,0.188,6.42,0.000000378,6.36,9.08,1.51,1.45,147.77,11.17,0.000177,55.34
1993.749315,0.00253,19.85,0.4,10.38,8.64,1.53,9.65,2.61,31.66,1.94,0.00089,25.44,0.189,6.05,0.000000361,5.85,9.03,1.44,1.43,143.23,11.21,0.000169,54.88
1993.834247,0.00304,19.6,0.4,10.07,8.27,1.53,9.12,2.6,31.23,1.87,0.001,25.52,0.194,5.98,0.000000368,5.81,9.03,1.43,1.38,138.22,10.95,0.000169,53.16
1993.916438,0.00292,20.48,0.38,9.45,7.9,1.62,8.82,2.48,32.67,1.73,0.00098,24.92,0.203,6.23,0.000000395,6.12,9,1.45,1.34,131.72,10.23,0.000173,53.11
1994.00137,0.00291,24.22,0.41,10.96,8.95,1.94,10.53,2.7,39.09,1.91,0.00106,30.88,0.234,7.22,0.00000043,7.87,8.93,1.68,1.56,146.74,10.97,0.000177,54.35
1994.086301,0.00344,24.27,0.42,11.3,8.69,1.86,10.74,2.82,38.38,1.96,0.00088,29.93,0.223,7.11,0.000000437,7.33,9.02,1.59,1.5,146.63,11.15,0.000182,52
1994.163014,0.0037,24.33,0.42,11.63,8.45,1.78,10.96,2.94,37.71,2.01,0.00069,29.06,0.214,7,0.000000444,6.83,9.1,1.5,1.43,146.52,11.3,0.000187,49.84
1994.247945,0.0027,24.63,0.44,11.79,8.48,1.65,11.37,2.84,38.09,2.01,0.00074,30.16,0.231,6.98,0.000000468,7.19,9.17,1.54,1.44,146.54,10.87,0.000194,51.6
1994.330137,0.00175,24.71,0.46,11.78,8.52,1.54,11.6,2.73,38.25,2.01,0.00076,30.85,0.245,6.91,0.000000485,7.46,9.23,1.57,1.44,146.23,10.5,2.00E-04,53.56
1994.415068,0.00201,23.25,0.45,10.44,8.61,1.51,10.39,2.6,36.78,2.03,0.00063,28.63,0.224,6.51,0.000000438,7.02,9.27,1.49,1.43,143.5,10.63,0.000187,55.19
1994.49726,0.00229,21.85,0.45,9.24,8.68,1.49,9.26,2.47,35.28,2.04,0.00053,26.55,0.206,6.13,0.000000398,6.6,9.29,1.41,1.42,140.65,10.72,0.000176,56.94
1994.582192,0.00284,21.16,0.45,9.79,8.4,1.51,9.02,2.38,33.47,1.93,0.00072,25.99,0.21,5.97,0.000000385,6.33,9.19,1.41,1.32,136.48,10.3,0.000171,57.34
1994.667123,0.00288,20.42,0.45,10.27,8.1,1.52,8.75,2.28,31.65,1.81,0.00089,25.34,0.214,5.79,0.000000372,6.06,9.1,1.4,1.22,132.06,9.86,0.000165,57.92
1994.749315,0.00244,18.2,0.43,8.94,7.21,1.36,7.95,2.11,29.35,1.58,0.00088,22.71,0.215,5.3,0.000000354,5.9,8.98,1.26,1.14,121.52,8.78,0.000159,57.59
1994.834247,0.00226,16.3,0.4,7.84,6.49,1.23,7.29,1.97,27.36,1.39,0.00087,20.47,0.216,4.89,0.000000336,5.7,8.88,1.15,1.08,112.9,7.88,0.000154,57.31
1994.916438,0.00235,16.76,0.4,8.37,7.1,1.27,7.68,2.04,27.62,1.51,9.00E-04,21.05,0.213,5.07,0.000000332,5.24,8.87,1.19,1.13,118.35,8.23,0.000155,58.01
1995.00137,0.00296,17.19,0.39,8.87,7.64,1.33,8.08,2.13,28.05,1.63,0.00091,21.55,0.206,5.23,0.00000033,4.92,8.86,1.24,1.18,124.11,8.71,0.000157,58.27
