Age,BaCa,Ce,CeCe_anom,Dy,Er,Eu,Gd,Ho,La,Lu,MnCa,Nd,NdYb_paas,Pr,REEsCa,Sm,SrCa,Tb,Tm,Y,Yb,YCa,YHo
1998.247945,0.00253,17.11,0.36,8.78,7.12,1.58,8.34,2.38,31.72,1.41,0.001,24.11,0.251,5.72,0.000000357,5.54,8.88,1.32,1.01,124.96,7.99,0.000162,52.5
1998.330137,0.00193,18.4,0.38,9.45,7.33,1.64,8.82,2.44,33.27,1.5,0.00084,25.68,0.251,6,0.000000362,5.85,8.93,1.35,1.1,131.42,8.51,0.000163,53.86
1998.415068,0.00167,19.68,0.39,10.12,7.54,1.7,9.3,2.5,34.82,1.59,0.00069,27.25,0.251,6.28,0.000000367,6.16,8.98,1.38,1.19,137.89,9.03,0.000165,55.16
1998.49726,0.00189,20.88,0.41,10.68,7.73,1.76,9.72,2.55,36.23,1.67,6.00E-04,28.67,0.251,6.53,0.000000373,6.44,9.03,1.41,1.27,143.7,9.51,0.000166,56.35
1998.582192,0.00217,21.17,0.41,10.11,7.72,1.77,9.4,2.46,36.14,1.63,0.00111,28.46,0.249,6.5,0.000000387,6.35,9,1.36,1.28,141.97,9.52,0.000172,57.71
1998.667123,0.00246,21.22,0.41,9.8,7.65,1.73,9.23,2.39,35.66,1.59,0.00141,27.87,0.248,6.43,0.000000394,6.15,8.95,1.32,1.26,139.31,9.34,0.000174,58.29
1998.749315,0.00311,20.67,0.4,10.21,7.44,1.55,9.39,2.41,34.17,1.53,0.00105,26.34,0.253,6.27,0.000000375,5.65,8.84,1.33,1.17,134.24,8.65,0.000166,55.7
1998.834247,0.00379,19.97,0.39,9.93,7.17,1.44,9.22,2.32,32.98,1.46,9.00E-04,25.51,0.255,6.13,0.000000364,5.43,8.8,1.33,1.13,130.06,8.33,0.000161,56.06
1998.916438,0.0031,19.13,0.39,8.91,6.84,1.39,8.69,2.12,32.11,1.39,0.00098,25.44,0.251,6.01,0.000000361,5.52,8.81,1.3,1.12,126.85,8.42,0.000161,59.83
1999.00137,0.00242,18.72,0.39,8.91,6.57,1.34,8.02,2.06,31.24,1.29,0.00116,24.31,0.26,5.79,0.000000349,5.52,8.8,1.3,1.06,122.54,7.77,0.000156,59.49
1999.086301,0.00263,18.42,0.39,9.15,6.32,1.3,7.32,2.03,30.38,1.2,0.00136,22.9,0.274,5.56,0.000000336,5.5,8.78,1.29,0.98,117.95,6.94,0.00015,58.1
1999.163014,0.00283,18.55,0.4,8.43,6.23,1.36,8.24,1.94,32.38,1.28,0.00095,24.05,0.293,5.69,0.000000356,5.03,8.81,1.27,1.08,118.46,6.83,0.000155,61.06
1999.247945,0.00263,19.82,0.36,9.2,6.6,1.52,9,2.22,34.94,1.49,0.00096,25.79,0.259,6.4,0.0000004,5.71,9.04,1.26,1.16,125.47,8.3,0.00017,56.52
1999.330137,0.0023,20.78,0.37,9.54,7.6,1.71,9.57,2.35,36.31,1.6,0.00078,27.14,0.25,6.64,0.000000411,6.33,9.01,1.42,1.23,134.74,9.03,0.000177,57.34
1999.415068,0.00203,21.77,0.4,9.76,8.51,1.85,10.28,2.49,37.08,1.66,0.00057,28.64,0.251,6.71,0.000000409,6.82,8.93,1.66,1.29,144.78,9.47,0.00018,58.14
1999.49726,0.00179,23.17,0.41,10.49,8.64,1.94,11,2.76,37.89,1.77,0.00055,30.4,0.246,7.01,0.000000425,7.3,9.09,1.81,1.31,151.63,10.3,0.000187,54.94
1999.582192,0.00169,23.53,0.45,10.74,8.13,1.96,10.29,2.53,37,1.8,0.00048,30.1,0.256,6.75,0.000000436,7.05,9.18,1.58,1.18,143.65,9.79,0.000185,56.78
1999.667123,0.00183,24.17,0.42,10.5,8.2,1.72,9.68,2.57,36.52,1.63,0.00059,28.64,0.263,6.91,0.000000431,6.79,9.11,1.46,1.31,143.88,9.07,0.000187,55.98
1999.749315,0.00197,24.71,0.41,11.53,8.95,1.63,9.93,2.74,39.25,1.69,0.00078,31.11,0.279,7.37,0.000000428,6.89,8.97,1.51,1.33,148.25,9.28,0.000181,54.11
1999.834247,0.00243,23.28,0.4,10.53,7.57,1.64,9.55,2.57,35.81,1.85,0.00069,27.84,0.225,6.84,0.000000421,6.68,8.87,1.46,1.37,143.32,10.29,0.000184,55.77
1999.916438,0.00287,21.09,0.38,9.22,7.1,1.51,8.54,2.32,34.17,1.73,0.00067,25.17,0.225,6.35,0.000000374,6.83,8.66,1.36,1.25,133.93,9.32,0.000166,57.73
2000.001366,0.00273,21.85,0.39,8.73,7.14,1.66,9.59,2.45,35,1.55,0.00105,26.39,0.239,6.55,0.00000037,5.67,8.65,1.43,1.08,137.21,9.19,0.000166,56
2000.086066,0.00259,24.53,0.39,10,8.22,1.9,9.89,2.66,40.29,1.78,0.00104,30.99,0.252,7.46,0.000000427,7.25,8.7,1.48,1.34,149.55,10.24,0.000182,56.22
2000.165301,0.00264,26.37,0.39,10.65,8.88,2.06,10.22,2.82,44.16,1.95,0.00105,34.14,0.261,8.13,0.000000469,8.27,8.71,1.53,1.51,159.31,10.86,0.000196,56.49
2000.25,0.00203,26.05,0.38,9.73,8.47,1.99,10.61,2.8,44.39,1.96,0.00111,33.53,0.268,8.19,0.000000465,7.86,8.66,1.56,1.44,162.45,10.41,0.000202,58.02
2000.331967,0.00189,25.66,0.37,10.02,8.43,1.99,11.01,2.8,43.64,1.92,0.00104,32.6,0.265,8.12,0.00000045,7.63,8.68,1.66,1.4,165.22,10.23,2.00E-04,59.01
