Age,d18O,SrCa,d18Osw
-2512.572,-5.12442,8.55864,0.15463
-2511.476,-4.61019,8.68458,0.25382
-2511.38,-4.35746,8.64605,0.63353
-2511.207,-4.15021,8.87796,0.07652
-2511.033,-4.96601,8.82224,-0.55564
-2511.86,-5.2198,8.72791,-0.49859
-2511.7,-5.56839,8.72945,-0.85224
-2510.54,-5.0964,8.74038,-0.41627
-2510.38,-4.61631,8.72487,0.11493
-2510.207,-4.11589,9.08043,-0.55637
-2510.033,-4.14124,8.89986,0.01334
-2510.86,-4.42562,8.87878,-0.20159
-2510.74,-5.07996,8.77166,-0.50291
-2510.62,-4.92005,8.68926,-0.07146
-2509.5,-4.74514,8.70667,0.04607
-2509.38,-4.19478,8.76139,0.41611
-2509.25,-3.97816,8.92894,0.08058
-2509.12,-4.35599,8.84771,-0.02956
-2509.99,-4.8961,8.89552,-0.72721
-2509.86,-5.45991,8.90924,-1.33624
-2509.74,-5.57868,8.58974,-0.40212
-2509.62,-4.55395,9.0298,-0.82758
-2508.5,NA,8.81042,NA
-2508.38,-4.22289,8.75567,0.40685
-2508.207,-3.8293,8.8659,0.43717
-2508.033,-4.13224,8.92035,-0.0452
-2508.86,-4.78918,8.77048,-0.20825
-2508.62,-5.27492,8.51163,0.15904
-2507.38,-4.49973,8.68163,0.37401
-2507.12,-3.98085,8.84233,0.36331
-2507.86,-4.73308,8.65764,0.21972
-2507.7,-5.4796,8.54611,-0.15925
-2507.54,-4.95685,8.9493,-0.9652
-2506.38,-4.42624,8.78155,0.11821
-2506.25,-3.60374,8.89031,0.58231
-2506.12,-4.35276,8.82769,0.03966
-2506.99,-4.74905,8.77487,-0.18257
-2506.86,-4.82927,8.93855,-0.80219
-2505.73,-4.9345,8.75452,-0.30096
-2505.6,-4.84861,8.94845,-0.85418
-2505.47,-4.66783,8.65184,0.30408
-2505.34,-4.55149,8.59162,0.61889
