Age,Ba138Ca,BaCa,SrCa,UCa
1794.602,0.00337936,0.00347196,8.67795,0.00133073
1794.644,0.00329069,0.00332105,8.56548,0.00136679
1794.685,0.00343244,0.00347808,8.7288,0.00133647
1794.727,0.00360988,0.00351472,8.52052,0.00123174
1794.769,0.00363417,0.00350953,8.50245,0.00113949
1794.811,0.00378547,0.00368518,8.69379,0.00122068
1794.853,0.0037116,0.00354415,8.46663,0.00118249
1794.895,0.0033767,0.00338344,8.40643,0.00116912
1794.937,0.00344477,0.00349397,8.59532,0.00116427
1794.979,0.00359284,0.00356938,8.44348,0.00111663
1795.021,0.00340938,0.00345867,8.48824,0.00113573
1795.062,0.00365968,0.00357107,8.41289,0.00119309
1795.104,0.00448271,0.00452525,9.073,0.00139981
1795.129,0.00458839,0.0045628,8.95665,0.0012382
1795.154,0.00418198,0.00423404,8.92629,0.00135667
1795.179,0.00414955,0.00429437,8.91599,0.00126325
1795.204,0.00414554,0.00426183,9.15993,0.00143989
1795.229,0.00385081,0.00393411,9.11828,0.00151949
1795.254,0.00392854,0.0039399,8.98441,0.00144076
1795.278,0.00406834,0.00417176,9.13138,0.00144716
1795.303,0.00422601,0.00421472,8.98242,0.00140003
1795.328,0.00390598,0.0039438,9.16799,0.00153515
1795.353,0.00381054,0.00367226,9.00108,0.00146753
1795.378,0.00378974,0.00384807,9.17749,0.00152102
1795.403,0.00400563,0.00388419,9.08674,0.00148259
1795.428,0.00386409,0.00395352,9.06803,0.00139656
1795.452,0.00392482,0.00376154,8.86848,0.00131167
1795.477,0.00391511,0.00379614,9.06168,0.00146
1795.502,0.00382969,0.0036837,9.00583,0.00140419
1795.527,0.00371958,0.00370633,8.87879,0.00136864
1795.552,0.00368763,0.00369548,8.95297,0.00138593
1795.577,0.00406231,0.00379136,8.84553,0.00130201
1795.602,0.00370671,0.00378129,8.745,0.00127998
1795.618,0.00383104,0.00368329,8.87538,0.00133672
1795.634,0.00374886,0.00386298,9.05082,0.00138196
1795.65,0.00375882,0.00379839,8.81376,0.0012138
1795.667,0.00381212,0.00389668,8.92948,0.00126275
1795.683,0.00379208,0.00377278,9.03676,0.00129016
1795.699,0.0036812,0.00366388,8.78813,0.00127924
1795.715,0.00371844,0.00375711,8.75511,0.00124003
1795.731,0.00368047,0.00382069,8.85875,0.00130176
1795.748,0.00361114,0.00372585,8.89763,0.00138849
1795.764,0.00354275,0.00370526,8.60169,0.00109209
1795.78,0.003737,0.00369564,8.55017,0.00112387
1795.796,0.00385505,0.00374699,8.79855,0.0013713
1795.812,0.00390371,0.00376666,8.72909,0.00131204
1795.829,0.00379518,0.00373304,8.80889,0.00134413
1795.845,0.00372825,0.00365706,8.91629,0.00141621
1795.861,0.00354272,0.00368093,8.82136,0.00137428
1795.877,0.00406032,0.00384765,8.67946,0.00121311
1795.894,0.00396137,0.00389046,8.67661,0.00116908
