Age,BCa,LiCa,MgCa,SrCa,UCa
1975.58,0.583082,0.00711,3.544361,8.997855,0.00141
1975.66326,0.582119,0.00713,3.663738,8.997552,0.00137
1975.74652,0.513165,0.00731,3.980136,8.931237,0.00131
1975.82978,0.50206,0.00727,4.067373,8.930996,0.00131
1975.91305,0.50012,0.00679,3.890798,8.804725,0.00124
1975.99631,0.507941,0.00664,4.102199,8.769376,0.00117
1976.07957,0.507118,0.00647,3.918351,8.803593,0.00122
1976.16283,0.465813,0.00608,3.795582,8.693865,0.0012
1976.24609,0.454104,0.00632,3.823109,8.730822,0.00122
1976.32935,0.454848,0.00619,3.709882,8.603828,0.00118
1976.41261,0.465049,0.00633,3.467523,8.772637,0.00128
1976.49587,0.525479,0.00678,3.489641,8.894857,0.00131
1976.57914,0.549904,0.00677,3.286407,8.946798,0.00134
1976.6624,0.528659,0.00662,3.322992,8.973342,0.00133
1976.74566,0.468413,0.0064,3.764488,8.781354,0.0012
1976.82892,0.454177,0.00624,3.769944,8.71567,0.00118
1976.91218,0.462774,0.00619,3.656259,8.731821,0.00118
1976.99544,0.482077,0.00652,3.902927,8.680752,0.00116
1977.0787,0.477549,0.00643,3.959407,8.654573,0.00113
1977.16197,0.50854,0.00645,3.758467,8.718846,0.0012
1977.24523,0.499943,0.00666,3.762814,8.719884,0.00125
1977.32849,0.496147,0.00721,4.220745,8.692941,0.00118
1977.41175,0.522405,0.00693,3.843565,8.954844,0.00125
1977.49501,0.532889,0.00691,3.723609,8.828654,0.00126
1977.57827,0.559722,0.00702,3.510631,9.028888,0.00142
1977.66153,0.518292,0.00678,3.534251,8.962174,0.00132
1977.74479,0.481654,0.00665,3.652108,8.852394,0.00127
1977.82806,0.472965,0.00694,4.107787,8.717902,0.00121
1977.91132,0.461038,0.00664,4.028072,8.698365,0.00119
1977.99458,0.480196,0.00615,3.628895,8.758241,0.00122
1978.07784,0.473103,0.00616,3.705718,8.683253,0.0012
1978.1611,0.457082,0.00639,3.852271,8.699874,0.00121
1978.24436,0.480737,0.0062,3.761845,8.699401,0.00117
1978.32762,0.49536,0.00671,3.826932,8.724117,0.00117
1978.41088,0.517475,0.00663,3.650619,8.826788,0.00118
1978.49415,0.498411,0.00682,3.545133,8.856157,0.00124
1978.57741,0.534849,0.00662,3.464864,8.945697,0.0013
1978.66067,0.558761,0.00718,3.631685,8.943072,0.00128
1978.74393,0.528403,0.00733,3.734978,8.868496,0.00126
1978.82719,0.520467,0.00706,3.760276,8.860544,0.00122
1978.91045,0.482882,0.00721,3.854367,8.785424,0.00119
1978.99371,0.480792,0.00662,3.748021,8.687854,0.00121
1979.07697,0.481902,0.00634,3.5792,8.770446,0.00123
1979.16024,0.466387,0.00678,3.723671,8.784961,0.00125
1979.2435,0.438907,0.00648,3.554718,8.863991,0.00136
1979.32676,0.473781,0.00625,3.429814,8.740889,0.00123
1979.41002,0.492398,0.00625,3.527312,8.837061,0.00121
1979.49328,0.500461,0.0064,3.466934,8.864051,0.00122
1979.57654,0.561965,0.00694,3.242298,9.005331,0.00135
1979.6598,0.552765,0.00737,3.479645,8.962919,0.00134
1979.74307,0.54259,0.00706,3.604838,8.888928,0.0013
1979.82633,0.516855,0.00671,3.811403,8.848615,0.00121
1979.90959,0.465147,0.00699,3.944519,8.663935,0.00119
1979.99285,0.463294,0.00642,3.839296,8.657055,0.00112
1980.07611,0.472904,0.00615,3.822602,8.716718,0.00111
1980.15937,0.463174,0.00618,3.682391,8.687715,0.00109
1980.24263,0.452231,0.00677,3.833586,8.706347,0.00115
1980.32589,0.471685,0.00704,3.776915,8.783193,0.00117
1980.40916,0.532248,0.00701,3.538758,8.906728,0.00123
1980.49242,0.534239,0.00705,3.489978,8.939942,0.00125
1980.57568,0.535154,0.00726,3.517171,9.015014,0.00128
1980.65894,0.509604,0.00725,3.557414,8.85211,0.00122
1980.7422,0.482444,0.00651,3.549637,8.81076,0.00119
1980.82546,0.458109,0.00684,3.764876,8.767489,0.0012
1980.90872,0.442713,0.00648,3.703714,8.703415,0.00119
1980.99198,0.471683,0.00639,3.690131,8.783103,0.00115
1981.07525,0.46309,0.00684,3.852754,8.720273,0.00115
1981.15851,0.428225,0.00639,3.747741,8.701168,0.00113
1981.24177,0.442243,0.00636,3.947361,8.662623,0.00111
1981.32503,0.441458,0.00664,3.91379,8.664088,0.00111
1981.40829,0.474118,0.00701,3.728512,8.843441,0.00119
1981.49155,0.500164,0.00712,3.574392,8.870704,0.00123
1981.57481,0.502213,0.00744,3.561558,9.103974,0.00132
1981.65808,0.503687,0.00755,3.648685,9.014617,0.00128
1981.74134,0.482721,0.0075,3.737641,8.998083,0.00125
1981.8246,0.462801,0.00763,3.874856,8.936853,0.00122
1981.90786,0.450353,0.00699,3.835754,8.710868,0.00114
1981.99112,0.426872,0.00705,4.215584,8.60228,0.00106
1982.07438,0.407497,0.0069,4.30354,8.734855,0.00109
1982.15764,0.422459,0.00675,4.170193,8.721073,0.00109
1982.2409,0.501387,0.0063,3.926809,8.665515,0.00108
1982.32417,0.566902,0.00686,3.989311,8.756761,0.0011
1982.40743,0.578027,0.00692,3.790847,8.794066,0.00113
1982.49069,0.597664,0.00685,3.404966,9.098638,0.00129
1982.57395,0.584244,0.00725,3.148982,9.206027,0.00134
1982.65721,0.55178,0.00733,3.342519,9.010926,0.00125
1982.74047,0.547081,0.00698,3.776495,8.87277,0.00116
1982.82373,0.540109,0.00712,3.985073,8.801313,0.00113
1982.90699,0.521459,0.00689,3.989944,8.734614,0.00113
1982.99026,0.519097,0.00669,4.043854,8.796809,0.00107
1983.07352,0.524202,0.00648,3.933192,8.741437,0.00108
1983.15678,0.521877,0.00658,3.748215,8.758857,0.00112
1983.24004,0.525263,0.0066,3.864488,8.561578,0.00107
1983.3233,0.535541,0.00673,3.783484,8.804448,0.00112
1983.40656,0.552212,0.00681,3.470013,8.955793,0.00117
1983.48982,0.572046,0.00702,3.335139,8.998759,0.00124
1983.57308,0.57007,0.00688,3.089373,9.230386,0.00139
1983.65635,0.544186,0.00682,3.391807,8.969399,0.0012
1983.73961,0.542083,0.00713,4.117727,8.805654,0.00108
1983.82287,0.52142,0.00675,3.937125,8.712321,0.00108
1983.90613,0.51657,0.00677,3.918896,8.706061,0.00108
1983.98939,0.525941,0.00674,3.883983,8.818302,0.00112
1984.07265,0.499565,0.00633,3.679361,8.732678,0.00107
1984.15591,0.492072,0.00653,3.588759,8.724584,0.00115
1984.23918,0.506625,0.00644,3.611592,8.671386,0.00113
1984.32244,0.530528,0.00667,3.549719,8.889512,0.0012
1984.4057,0.548108,0.00681,3.358187,8.892393,0.00123
1984.48896,0.54293,0.00681,3.061347,8.938753,0.0013
1984.57222,0.542465,0.00663,2.834026,9.047198,0.00137
1984.65548,0.52931,0.00693,3.299764,8.894439,0.00123
1984.73874,0.526946,0.00704,3.516985,8.882153,0.00122
