Age,BCa,LiCa,MgCa,SrCa,UCa
1907.04167,0.474644,0.00545,3.170269,8.838812,0.00136
1907.12499,0.474097,0.00537,3.318091,8.864106,0.00134
1907.20831,0.494231,0.00546,3.342688,8.778058,0.00131
1907.29163,0.46357,0.0055,3.378735,8.770897,0.00134
1907.37496,0.496,0.00563,3.55246,8.931436,0.00131
1907.45828,0.525395,0.00549,3.047795,8.981298,0.00149
1907.5416,0.501681,0.0053,2.876141,9.218983,0.00162
1907.62492,0.483722,0.00527,2.542249,9.262793,0.00174
1907.70824,0.554497,0.00567,2.937009,9.237264,0.00156
1907.79157,0.51328,0.00553,3.130708,9.023587,0.00139
1907.87489,0.471957,0.00525,3.17434,8.928948,0.00134
1907.95821,0.423157,0.00472,2.853488,8.958261,0.00144
1908.04153,0.382256,0.00457,2.479148,9.067507,0.00154
1908.12485,0.400128,0.0049,3.023579,8.845337,0.00143
1908.20818,0.40792,0.00495,3.288246,8.813647,0.0014
1908.2915,0.436241,0.00553,3.75224,8.808305,0.00135
1908.37482,0.502431,0.00616,4.167681,8.793805,0.0013
1908.45814,0.523559,0.00618,3.740403,8.781929,0.00134
1908.54146,0.494087,0.00565,2.808768,9.063675,0.00156
1908.62479,0.520618,0.00575,2.576761,9.353919,0.00169
1908.70811,0.526371,0.00544,2.76236,9.127964,0.00151
1908.79143,0.510364,0.00528,2.83353,9.037272,0.00143
1908.87475,0.496681,0.00556,2.909866,8.966601,0.00143
1908.95807,0.47596,0.00569,2.970458,9.017256,0.00142
1909.0414,0.471364,0.00558,3.292455,9.000819,0.00139
1909.12472,0.475684,0.00572,3.498405,8.697954,0.00129
1909.20804,0.493848,0.00582,3.544391,8.662915,0.00126
1909.29136,0.490077,0.00571,3.518048,8.820481,0.0013
1909.37468,0.481271,0.00543,3.289898,8.862003,0.00135
1909.45801,0.447336,0.00538,2.547773,8.97349,0.00157
1909.54133,0.416493,0.0055,2.221115,8.988464,0.00163
1909.62465,0.443259,0.00584,2.402471,9.146444,0.00168
1909.70797,0.508994,0.00635,2.864787,9.320203,0.00163
1909.79129,0.561222,0.0066,3.037699,9.144578,0.0015
1909.87462,0.549584,0.00675,3.190965,8.939965,0.00143
1909.95794,0.493551,0.0066,3.201888,8.891525,0.00138
1910.04126,0.424967,0.00586,2.998925,8.976464,0.00144
1910.12458,0.45198,0.00581,3.323511,8.791941,0.0013
1910.2079,0.440499,0.0058,3.111006,8.894765,0.00137
1910.29123,0.419422,0.00597,3.097313,8.940962,0.0014
1910.37455,0.467061,0.00632,3.626444,8.565733,0.00122
1910.45787,0.477203,0.00626,2.956508,8.917124,0.00143
1910.54119,0.465975,0.00593,2.380086,9.194721,0.00163
1910.62451,0.435446,0.00588,2.215399,9.177982,0.00162
1910.70784,0.467684,0.00583,2.483363,9.066659,0.00156
1910.79116,0.47982,0.00617,2.895016,9.249835,0.00155
1910.87448,0.450537,0.00634,3.191998,8.932893,0.00147
1910.9578,0.456136,0.00641,3.330329,8.992113,0.00142
1911.04112,0.444931,0.00642,3.38054,8.918355,0.00131
1911.12445,0.478781,0.00604,3.411851,8.842923,0.00125
1911.20777,0.461745,0.00586,3.080902,8.898412,0.00131
1911.29109,0.488654,0.00609,3.090856,8.787389,0.00133
1911.37441,0.489382,0.00629,3.215826,8.94505,0.00137
1911.45773,0.493618,0.00611,3.206065,8.901269,0.00138
1911.54106,0.484564,0.00596,2.761701,9.030243,0.00146
1911.62438,0.444696,0.0061,2.343306,9.258097,0.00167
1911.7077,0.436853,0.00618,2.252321,9.190791,0.00165
1911.79102,0.46629,0.00605,2.362492,9.168585,0.0015
1911.87434,0.476095,0.00614,2.680142,8.892662,0.0014
1911.95767,0.488891,0.00633,2.94523,8.822844,0.00135
1912.04099,0.472964,0.00628,3.099271,8.894373,0.00139
1912.12431,0.478186,0.00615,3.213682,8.802781,0.00133
1912.20763,0.484672,0.006,3.265624,8.778648,0.00132
1912.29096,0.468151,0.00599,3.259335,8.803861,0.00132
1912.37428,0.479901,0.00643,3.095718,8.792919,0.00135
1912.4576,0.493614,0.00648,3.200742,9.045529,0.0014
1912.54092,0.496266,0.00658,2.846139,8.996739,0.00148
1912.62424,0.481972,0.00697,2.497763,9.211155,0.00163
1912.70757,0.485978,0.00711,2.534399,9.222477,0.00164
1912.79089,0.515531,0.00697,2.817243,9.072783,0.00152
1912.87421,0.512423,0.00624,2.894697,9.04423,0.00142
1912.95753,0.492683,0.00604,2.986231,9.188501,0.00146
1913.04085,0.463971,0.00638,2.918836,8.974506,0.00144
1913.12418,0.438291,0.00617,2.798921,8.873478,0.00142
1913.2075,0.429962,0.00604,2.862723,8.822507,0.00138
1913.29082,0.450332,0.0061,2.84732,8.88739,0.00138
1913.37414,0.47249,0.00622,2.805505,9.069296,0.00151
1913.45746,0.447332,0.00632,2.6706,9.065499,0.00162
1913.54079,0.450236,0.00634,2.618732,9.203786,0.00167
1913.62411,0.477308,0.00635,2.585551,9.373109,0.00168
1913.70743,0.47351,0.00627,2.48663,9.113129,0.00153
1913.79075,0.45621,0.00603,2.512549,8.925212,0.00145
1913.87407,0.405001,0.00578,2.353503,9.002688,0.0015
1913.9574,0.434189,0.00581,2.672314,8.98746,0.00144
1914.04072,0.477577,0.00605,2.888511,8.919715,0.00137
1914.12404,0.471927,0.00588,2.743351,8.971609,0.00145
1914.20736,0.49203,0.0059,2.850372,8.950745,0.00148
1914.29068,0.493348,0.006,2.828633,8.905539,0.00148
1914.37401,0.45965,0.00618,2.743238,9.215833,0.00162
1914.45733,0.433612,0.00647,2.425146,9.517121,0.00173
1914.54065,0.41563,0.00617,2.128683,9.324885,0.00175
1914.62397,0.425035,0.00561,2.012503,9.507051,0.00181
1914.70729,0.404025,0.00523,2.01424,9.107938,0.00161
1914.79062,0.417336,0.00548,2.328709,9.056636,0.00149
1914.87394,0.404611,0.00538,2.439869,8.99184,0.00148
1914.95726,0.404544,0.0052,2.462324,8.923615,0.00145
1915.04058,0.395979,0.00526,2.379491,8.84235,0.00146
1915.1239,0.423937,0.00581,2.702695,8.833787,0.00143
1915.20723,0.442761,0.00631,2.794165,8.921249,0.00142
1915.29055,0.440989,0.00637,2.831155,8.992177,0.00145
1915.37387,0.456796,0.00619,3.079643,9.017018,0.00146
1915.45719,0.474038,0.00596,3.0316,9.096083,0.00152
1915.54051,0.473168,0.00576,2.841196,9.153658,0.00156
1915.62384,0.46613,0.0057,2.387465,9.23192,0.0017
1915.70716,0.464901,0.00571,2.358789,9.179804,0.00163
1915.79048,0.493134,0.00593,2.833422,8.986437,0.0015
1915.8738,0.505519,0.00606,3.186364,9.033984,0.00138
1915.95712,0.442852,0.0056,3.000099,8.871782,0.00138
1916.04045,0.439918,0.00522,2.759863,9.011194,0.00149
1916.12377,0.449162,0.00552,2.967805,8.864477,0.00146
1916.20709,0.476123,0.00593,3.220955,8.851124,0.0014
1916.29041,0.510387,0.00605,3.227788,8.802299,0.0014
1916.37373,0.52049,0.00594,3.26323,9.044885,0.00145
1916.45706,0.494451,0.00571,3.036787,9.186721,0.00158
1916.54038,0.486507,0.00574,2.973167,9.233414,0.00162
1916.6237,0.465328,0.00541,2.461115,9.260802,0.00168
1916.70702,0.471042,0.00534,2.3856,9.031261,0.00154
1916.79034,0.470098,0.00547,2.85518,8.822505,0.00135
1916.87367,0.438757,0.00557,3.061247,8.888369,0.00135
1916.95699,0.444741,0.00557,2.985994,8.854807,0.00135
1917.04031,0.456543,0.00563,3.140147,8.807905,0.00131
1917.12363,0.455746,0.00576,3.022694,8.816667,0.00138
1917.20695,0.478334,0.00655,2.975154,8.902966,0.00144
1917.29028,0.504343,0.00722,3.156991,9.149192,0.00146
