Age,BCa,d11B,LiCa,LiMg,MgCa,SrCa,UCa,Extn
1997.5,477.81414,24.06092303,0.006728251,1.588634495,4.244487,9.150175,0.001189702,1.5497
1997.67,476.9122,24.72604571,0.006418548,1.57927826,4.068352,9.177878,0.001209704,0.9515
1997.83,446.35258,24.24420827,0.00615965,1.420704564,4.338561,9.088484,0.001171071,0.7424
1998,436.63373,23.94154365,0.006082905,1.379619717,4.40929,9.059637,0.001165835,0.5641
1998.17,450.19913,24.53142828,0.006020805,1.360553511,4.425164,9.066622,0.00116072,0.4174
1998.33,461.38975,24.83583252,0.006067078,1.357741825,4.46887,9.02279,0.001140324,0.4527
1998.5,463.97442,25.06097108,0.006041421,1.340487994,4.507052,9.014047,0.001132943,0.4805
1998.67,468.32539,25.43253598,0.005984772,1.327884979,4.507041,8.998161,0.001126251,0.4699
1998.83,471.54046,25.48462157,0.006005812,1.307044604,4.597052,8.960605,0.001100788,0.4837
1999,459.06462,25.13878081,0.006014743,1.252606542,4.802047,8.906609,0.001058009,0.7701
1999.17,445.57845,24.79425669,0.006123079,1.237052734,4.949957,8.896154,0.001031407,0.8941
1999.33,461.86318,24.94764754,0.006302384,1.304885229,4.834888,8.973257,0.001066043,1.2657
1999.5,499.44601,25.33493282,0.006597131,1.49411836,4.419921,9.095637,0.001141079,0.9456
1999.67,503.08775,25.16556382,0.006579874,1.517085386,4.337367,9.093618,0.001160643,1.0278
1999.83,477.06398,24.7897872,0.006374605,1.414597866,4.512132,9.025434,0.00112444,0.749
2000,443.07419,24.35902208,0.00624519,1.303371708,4.792967,8.92518,0.001062038,0.8166
2000.17,433.9038,23.9369622,0.006270027,1.278255642,4.905185,8.908391,0.001048393,0.9203
2000.33,436.86763,23.87302042,0.006345953,1.325680015,4.791868,8.98271,0.001075523,1.5783
2000.5,486.16815,24.34354679,0.00666357,1.553772825,4.292676,9.138679,0.001170394,1.1041
2000.67,498.09415,24.68643134,0.006683761,1.587897925,4.210182,9.15578,0.001188212,1.2295
2000.83,456.51944,23.92445973,0.006428523,1.420684025,4.533335,9.005781,0.001118224,1.1693
2001,417.72987,23.47717863,0.006295819,1.301069014,4.839801,8.911446,0.001075525,NA
