Age,Ba138Ca,BaCa,BCa,Cd,CdCa,Ce,CeCa,Eu,EuCa,Gd,GdCa,La,LaCa,LiCa,Lu,LuCa,MgCa,Mn,MnCa,P,PbCa,PCa,Pr,PrCa,Sm,SmCa,SrCa,UCa,Y,Yb,YbCa,YCa,ZnCa,Distance
1946.601648,0.003267667,0.002872224,0.462451278,0.012426091,1.11E-05,34.858902,2.49E-05,0.808615,5.33E-07,15.136036,9.63E-06,45.612672,3.29E-05,0.005150453,1.703075,9.74E-07,2.660938154,1.332343784,0.002427218,63.85237412,0.000272872,0.206321787,8.243202,5.85E-06,5.941953,3.96E-06,9.636392251,0.001770266,204.96972,13.041469,7.54E-06,0.000230741,0.001722015,471.5825267
1946.625588,0.002758232,0.002652157,0.459312797,0.010066185,8.96E-06,31.234945,2.23E-05,0.192779,1.27E-07,12.490576,7.95E-06,38.451896,2.77E-05,0.005130316,0.336936,1.93E-07,2.619894448,0.608283454,0.00110815,44.99849374,0.000259538,0.145400539,6.159197,4.37E-06,9.39705,6.25E-06,9.494692752,0.001711195,166.256098,8.429929,4.88E-06,0.000187159,0.001540892,471.2963821
1946.649529,0.002609214,0.002587715,0.470907349,0.002378312,2.12E-06,30.191169,2.16E-05,0.26978,1.78E-07,13.524247,8.61E-06,37.680376,2.71E-05,0.005614786,1.196812,6.85E-07,2.820627712,1.076247451,0.001960671,55.40467614,0.000279913,0.179025321,5.202707,3.70E-06,2.478533,1.65E-06,9.522805525,0.001684367,173.261976,10.322769,5.97E-06,0.000195046,0.002306669,471.0102375
1946.673469,0.002842258,0.002788451,0.550926877,0.018769892,1.67E-05,21.499651,1.54E-05,1.072592,7.06E-07,9.473612,6.03E-06,28.242125,2.03E-05,0.005935194,0.677259,3.87E-07,3.399331089,2.212539446,0.004030728,57.59262248,0.000392148,0.186095082,4.927932,3.50E-06,6.624261,4.41E-06,9.402197069,0.001526334,141.606604,14.031601,8.12E-06,0.000159411,0.005193999,470.7240929
1946.697409,0.00237143,0.002622905,0.46564014,0.016341549,1.45E-05,30.626316,2.19E-05,0.787789,5.19E-07,14.973458,9.53E-06,33.121016,2.39E-05,0.005067762,2.286494,1.31E-06,2.669978724,2.661626289,0.004848859,31.70869425,0.000354882,0.102458124,5.578699,3.96E-06,3.705949,2.47E-06,9.341726519,0.001549276,175.017972,8.721123,5.04E-06,0.000197023,0.003642735,470.4379484
1946.72135,0.002551116,0.002580408,0.441886763,0.014684289,1.31E-05,30.994956,2.21E-05,0.683642,4.50E-07,14.062434,8.95E-06,43.091071,3.10E-05,0.004838316,1.25996,7.21E-07,2.511847261,1.474348503,0.002685917,27.47394937,0.000313609,0.088774684,5.47644,3.89E-06,9.330752,6.21E-06,9.233206358,0.001545468,214.829006,13.462751,7.79E-06,0.000241839,0.002067164,470.1518038
1946.74529,0.002917116,0.002892273,0.415295054,0.013087125,1.17E-05,37.514711,2.68E-05,1.046211,6.89E-07,14.923543,9.50E-06,46.557795,3.35E-05,0.005197748,1.93887,1.11E-06,2.507140724,2.352967285,0.004286555,20.11341187,0.000263399,0.064991085,7.863403,5.59E-06,14.999617,9.98E-06,9.27816861,0.001551682,215.745116,13.452823,7.78E-06,0.000242871,0.002140426,469.8656592
1946.76923,0.002458189,0.002316694,0.41136385,-0.003924229,-3.49E-06,39.588122,2.83E-05,1.123054,7.40E-07,25.10849,1.60E-05,50.028331,3.60E-05,0.004447874,4.02623,2.30E-06,2.352438983,1.972349521,0.003593158,10.58125193,0.000218236,0.034190472,9.281004,6.59E-06,11.910379,7.93E-06,9.163145849,0.001477495,231.778715,15.962532,9.23E-06,0.00026092,0.001986598,469.5795146
1946.793171,0.00259529,0.002513018,0.442964465,0.008086004,7.20E-06,29.256524,2.09E-05,1.410311,9.29E-07,10.652777,6.78E-06,32.072013,2.31E-05,0.004986362,0.258865,1.48E-07,2.627155779,1.367426337,0.00249113,9.278698004,0.000282725,0.029981619,5.245508,3.73E-06,6.128209,4.08E-06,9.141546289,0.001485221,165.780815,11.605138,6.71E-06,0.000186624,0.001421014,469.29337
1946.817111,0.002628134,0.002561868,0.442394122,0.017253079,1.54E-05,32.039492,2.29E-05,1.260654,8.30E-07,11.270776,7.17E-06,40.478925,2.92E-05,0.005182161,1.396484,7.99E-07,2.695819995,1.230323374,0.002241361,9.824613067,0.000413333,0.031745597,6.019243,4.28E-06,8.950972,5.96E-06,9.198981399,0.001416005,179.406804,7.808662,4.52E-06,0.000201964,0.002336091,469.0072255
1946.841052,0.002524901,0.002546619,0.389390367,0.00959217,8.54E-06,41.737691,2.98E-05,2.665795,1.76E-06,16.212708,1.03E-05,55.483865,4.00E-05,0.004550322,1.473227,8.43E-07,2.370751308,4.58116839,0.008345815,10.11173328,0.000317458,0.032673349,10.413241,7.40E-06,13.902233,9.25E-06,9.27705407,0.001515459,230.430599,13.580192,7.85E-06,0.000259403,0.001280163,468.7210809
1946.864992,0.003382342,0.003110735,0.458198299,0.026297366,2.34E-05,78.767842,5.63E-05,5.152225,3.39E-06,15.805752,1.01E-05,51.830696,3.73E-05,0.00523031,2.543547,1.45E-06,2.832496012,4.593515437,0.008368308,14.09405988,0.000510808,0.045541167,10.796872,7.67E-06,20.292361,1.35E-05,9.138333005,0.001541246,164.976033,13.002954,7.52E-06,0.000185718,0.003780361,468.4349363
1946.888932,0.003458305,0.003257356,0.406116347,-0.001616805,-1.44E-06,41.456301,2.96E-05,2.829814,1.86E-06,11.470195,7.30E-06,48.394363,3.49E-05,0.005019793,1.542333,8.82E-07,2.820822907,13.70696353,0.024970874,15.49128793,0.000501484,0.050055934,7.529827,5.35E-06,7.78612,5.18E-06,9.302007359,0.001495862,181.268374,10.829907,6.26E-06,0.000204059,0.002310168,468.1487917
