Age,SrCa,Distance
1974.12,8.757,170.25
1974.15,8.834,170
1974.23,8.804,169.25
1974.33,8.89,168.25
1974.43,9.034,167.25
1974.51,9.031,166.5
1974.54,9.036,166.25
1974.57,8.996,166
1974.65,9.022,165.25
1974.77,8.871,164.25
1974.89,8.863,163.25
1975.01,8.769,162.25
1975.09,8.802,161.5
1975.12,8.742,161.25
1975.15,8.812,161
1975.23,8.809,160.25
1975.33,8.943,159.25
1975.4,8.969,158.5
1975.43,8.966,158.25
1975.45,9.007,158
1975.55,8.944,157.25
1975.68,8.89,156.25
1975.94,8.781,154.25
1976.04,8.78,153.5
1976.07,8.809,153.25
1976.2,8.7665,152.25
1976.31,8.929,151.25
1976.41,9.036,150.25
1976.46,9.036,149.75
1976.51,9.037,149.25
1976.54,9.042,149
1976.64,8.868,148.25
1976.77,8.843,147.25
1976.91,8.824,146.25
1977.01,8.833,145.5
1977.04,8.784,145.25
1977.09,8.853,145
1977.25,8.931,144.25
1977.46,9.006,143.25
1977.62,9.045,142.5
1977.65,9.018,142.25
1977.68,8.992,142
1977.77,8.907,141.25
1977.89,8.725,140.25
1978.01,8.7955,139.25
1978.09,8.782,138.5
1978.12,8.67,138.25
1978.16,8.74,138
1978.29,8.793,137.25
1978.46,8.906,136.25
1978.58,8.985,135.5
1978.62,9.009,135.25
1978.68,8.996,134.75
1978.75,9,134.25
1978.87,8.849,133.25
1979,8.794,132.25
1979.09,8.767,131.5
1979.12,8.733,131.25
1979.16,8.78,131
1979.25,8.836,130.25
1979.38,8.88,129.25
1979.51,8.991,128.25
1979.54,9.008,128
1979.64,8.924,127.25
1979.79,8.82,126.25
1979.93,8.76,125.25
1980.04,8.713,124.5
1980.07,8.752,124.25
1980.1,8.731,124
1980.19,8.837,123.25
1980.32,8.849,122.25
1980.44,8.889,121.25
1980.56,8.978,120.25
1980.62,9.017,119.75
1980.69,8.98,119.25
1980.84,8.856,118.25
1980.98,8.807,117.25
1981.09,8.79,116.5
1981.12,8.757,116.25
1981.16,8.826,116
1981.26,8.807,115.25
1981.49,8.927,113.5
1981.52,8.967,113.25
1981.56,8.967,113
1981.62,8.984,112.5
1981.78,8.894,111.25
1981.91,8.7295,110.25
1982.01,8.762,109.5
1982.04,8.699,109.25
1982.08,8.776,109
1982.18,8.812,108.25
1982.31,8.895,107.25
1982.45,9.006,106.25
1982.59,9.068,105.25
1982.62,9.093,105
1982.65,8.981,104.75
1982.7,8.836,104.25
1982.81,8.714,103.25
1982.91,8.724,102.25
1983.02,8.719,101.25
1983.12,8.678,100.25
1983.22,8.717,99.25
1983.31,8.801,98.25
1983.35,8.892,97.75
1983.4,8.981,97.25
1983.49,9.015,96.25
1983.54,9.037,95.75
1983.58,8.999,95.25
1983.67,8.885,94.25
1983.77,8.821,93.25
1983.86,8.796,92.25
1983.95,8.803,91.25
1984,8.792,90.75
1984.04,8.747,90.25
1984.07,8.754,90
1984.1,8.747,89.75
1984.15,8.795,89.25
1984.26,8.866,88.25
1984.37,8.934,87.25
1984.43,8.912,86.75
1984.48,8.974,86.25
1984.54,9.051,85.75
1984.59,8.962,85.25
1984.76,8.946,83.75
1984.82,8.851,83.25
1984.93,8.685,82.25
1985.04,8.672,81.25
1985.14,8.733,80.25
1985.24,8.686,79.25
1985.34,8.674,78.25
1985.44,8.748,77.25
1985.51,8.895,76.5
1985.54,8.978,76.25
1985.57,8.928,76
1985.66,8.95,75.25
1985.79,8.811,74.25
1985.92,8.787,73.25
1986.04,8.686,72.25
1986.09,8.753,72
1986.23,8.809,71.25
1986.43,8.867,70.25
1986.57,8.908,69.5
1986.62,8.926,69.25
1986.64,8.904,69
1986.69,8.868,68.25
1986.76,8.864,67.25
1986.83,8.767,66.25
1986.9,8.792,65.25
1986.97,8.696,64.25
1987.04,8.652,63.25
1987.21,8.751,62.25
1987.37,8.849,61.25
1987.5,8.927,60.5
1987.54,8.958,60.25
1987.57,8.954,60
1987.65,8.864,59.25
1987.77,8.847,58.25
1987.89,8.764,57.25
1988.01,8.741,56.25
1988.09,8.72,55.5
1988.12,8.678,55.25
1988.15,8.782,55
1988.23,8.778,54.25
1988.34,8.838,53.25
1988.46,8.896,52.25
1988.54,9.018,51.5
1988.58,8.994,51.25
1988.62,9.004,51
1988.69,8.953,50.5
1988.73,8.784,50.25
1988.85,8.801,49.5
1988.89,8.793,49.25
1989,8.752,48.5
1989.04,8.718,48.25
1989.07,8.754,48
1989.1,8.734,47.75
1989.17,8.749,47.25
1989.29,8.855,46.25
1989.41,8.911,45.25
1989.47,8.979,44.75
1989.51,9.009,44.5
1989.54,9.048,44.25
1989.57,9.045,44
1989.61,9.044,43.75
1989.64,8.991,43.5
1989.67,8.921,43.25
1989.81,8.817,42.25
1989.95,8.746,41.25
1990.02,8.718,40.75
1990.05,8.721,40.5
1990.09,8.706,40.25
1990.12,8.693,40
1990.16,8.733,39.75
1990.22,8.787,39.25
1990.35,8.814,38.25
1990.47,8.935,37.25
1990.51,8.951,37
1990.54,9.009,36.75
1990.57,8.991,36.5
1990.6,8.988,36.25
1990.64,8.956,36
1990.67,8.954,35.75
1990.74,8.92,35.25
1990.87,8.829,34.25
1990.91,8.85,34
1990.94,8.843,33.75
1990.97,8.852,33.5
1991.01,8.818,33.25
1991.04,8.727,33
1991.08,8.749,32.75
1991.11,8.728,32.5
1991.15,8.822,32.25
1991.29,8.911,31.25
1991.4,8.917,30.5
1991.43,9.018,30.25
1991.47,9.007,30
1991.5,9.034,29.75
1991.54,9.061,29.5
1991.6,9.001,29.25
1991.86,8.903,28.25
1992.06,8.836,27.5
1992.12,8.737,27.25
1992.17,8.753,27
1992.22,8.828,26.75
1992.27,8.832,26.5
1992.32,8.81,26.25
1992.52,8.944,25.25
1992.57,8.936,25
1992.62,9.007,24.75
1992.65,8.991,24.5
1992.68,8.982,24.25
1992.7,8.966,24
1992.78,8.868,23.25
1992.88,8.897,22.25
1992.99,8.838,21.25
1993.01,8.783,21
1993.04,8.752,20.75
1993.08,8.776,20.5
1993.11,8.789,20.25
1993.15,8.796,20
1993.18,8.793,19.75
1993.22,8.803,19.5
1993.25,8.796,19.25
1993.4,8.957,18.25
1993.5,9.05,17.5
1993.54,9.057,17.25
1993.58,9.037,17
1993.62,9.001,16.75
1993.65,9.035,16.5
1993.69,9.025,16.25
1993.85,8.914,15.25
1994.01,8.815,14.25
1994.05,8.837,14
1994.08,8.815,13.75
1994.12,8.772,13.5
1994.18,8.813,13.25
1994.4,8.917,12.25
1994.51,9.05,11.75
1994.57,9.054,11.5
1994.62,9.085,11.25
1994.66,9.063,11
1994.71,9.056,10.75
1994.79,8.989,10.25
1994.96,8.856,9.25
1995.04,8.754,8.75
1995.08,8.767,8.5
1995.12,8.712,8.25
1995.16,8.768,8
1995.2,8.795,7.75
1995.27,8.833,7.25
1995.42,8.919,6.25
1995.5,8.982,5.75
1995.54,9.029,5.5
1995.58,9.006,5.25
1995.62,8.993,5
1995.66,8.985,4.75
1995.75,8.938,4.25
1995.91,8.766,3.25
1996.04,8.706,2.5
1996.08,8.708,2.25
1996.12,8.704,2
