Age,d13C,d18O,Lumin,SrCa,Density,Distance
1973.625,-1.36,-4.63,0.772555,9.09051,1.30692,244
1973.708333,-1.15,-4.99667,0.775099,9.05775,1.36305,242.667
1973.791667,-1.22333,-4.90333,0.770835,8.97532,1.42312,241.333
1973.875,-1.14,-4.83,0.753191,8.96441,1.47904,240
1973.958333,-1.01,-5.16,0.744484,8.96643,1.53973,238.667
1974.041667,-0.896667,-5.29333,0.728736,8.95496,1.52968,237.333
1974.125,-0.96,-5.43,0.763111,8.92215,1.43441,236
1974.208333,-1.11,-5.26,0.78018,8.95078,1.38276,235.167
1974.291667,-1.18,-5.35,0.745716,8.94388,1.34924,234.333
1974.375,-1.26,-5.21,0.711991,8.99137,1.3538,233.5
1974.458333,-1.3,-5.07,0.678624,9.07479,1.3512,232.667
1974.541667,-1.29,-4.87,0.679417,9.13534,1.37165,231.833
1974.625,-1.81,-4.7,0.692187,9.14188,1.37015,231
1974.708333,-1.64,-4.84333,0.701909,9.08518,1.385,229.833
1974.791667,-1.29333,-4.97,0.709183,9.0466,1.41273,228.667
1974.875,-1.09,-5.02,0.704713,9.00673,1.42795,227.5
1974.958333,-1.55,-5.09,0.698331,8.95332,1.40434,226.333
1975.041667,-1.53667,-5.11667,0.685703,8.91892,1.37362,225.167
1975.125,-1.55,-5.34,0.723783,8.87616,1.37167,224
1975.208333,-1.43667,-5.255,0.752171,8.96991,1.38043,222.833
1975.291667,-1.36,-5.04333,0.812497,8.96531,1.37222,221.667
1975.375,-1.605,-4.925,0.778331,8.98579,1.33616,220.5
1975.458333,-1.83667,-4.9,0.742489,8.96185,1.28831,219.333
1975.541667,-1.82833,-4.82667,0.729212,9.03081,1.28887,218.167
1975.625,-1.43,-4.69,0.704746,9.14587,1.30684,217
1975.708333,-1.49,-4.705,0.696308,9.09747,1.38591,215.667
1975.791667,-1.25,-4.88667,0.681061,9.07036,1.44004,214.333
1975.875,-1.09,-4.835,0.641471,9.04625,1.47065,213
1975.958333,-1.25,-4.98333,0.634173,8.95247,1.43498,211.667
1976.041667,-1.29833,-4.97,0.645995,8.9511,1.38212,210.333
1976.125,-1.48,-5.23,0.657583,8.93272,1.37135,209
1976.208333,-1.67167,-5.22167,0.673878,8.99082,1.37802,207.5
1976.291667,-1.53667,-5.13333,0.652956,8.97085,1.36441,206
1976.375,-1.57,-5.015,0.672473,9.01741,1.34137,204.5
1976.458333,-1.645,-4.915,0.681636,9.1223,1.34131,203
