Age,d15N
1982,5.62
1982,5.68
1982.5,5.43
1983,5.28
1983.5,5.28
1984,5.97
1985,5.84
1985.5,5.23
1986,5.34
1986.75,5.11
1987.5,6.29
1988,6.05
1988.5,5.58
1989,6.32
1989.5,5.18
1990,5.64
1991,4.85
1992,5.25
1993,5.34
1993.5,6.06
1994,5.16
1995,5.19
1996,6.13
1996.5,6.43
1997,6.28
1997.5,5.8
1998,6.1
1998.5,5.93
1999,5.7
1999.5,6.3
2000,6.7
2000.33,5.54
2000.66,5.37
2001.5,5.51
2002,6.02
2002.5,5.5
2003,5.23
2003.5,5.39
2004,5.79
2004.33,5.73
2004.66,5.53
2005,6.07
2005.5,5.96
2006,5.66
2007,5.28
2007.5,6.02
2008,5.22
2008.5,6.17
2009,5.72
2009.5,5.47
2010,5.56
2010.5,4.54
2011,4.53
2011.5,5.17
2012,5.43
2012.5,5.64
2012.75,4.49
