Age,LuminInd
1880,0
1881,0
1882,3
1883,0
1884,0
1885,0
1886,0
1887,2
1888,0
1889,0
1890,2
1891,2
1892,0
1893,0
1894,2
1895,3
1896,2
1897,0
1898,1
1899,1
1900,0
1901,1
1902,0
1903,2
1904,0
1905,0
1906,3
1907,0
1908,0
1909,0
1910,2
1911,2
1912,0
1913,1
1914,0
1915,0
1916,0
1917,2
1918,3
1919,0
1920,0
1921,0
1922,3
1923,0
1924,0
1925,1
1926,0
1927,2
1928,1
1929,0
1930,1
1931,0
1932,0
1933,0
1934,1
1935,0
1936,2
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,2
1946,1
1947,1
1948,0
1949,0
1950,3
1951,1
1952,0
1953,1
1954,2
1955,2.5
1956,2
1957,1
1958,3
1959,1
1960,0
1961,0
1962,0
1963,1
1964,1
1965,0
1966,0
1967,1
1968,3
1969,0
1970,0
1971,2.5
1972,2.5
1973,0
1974,3
1975,0
1976,2
1977,2
1978,0
1979,3
1980,0
1981,3
1982,0
1983,0
1984,1
1985,0
