Age,d13C,d18O,MgCa,SrCa,d18Osw,Extn
1939,-1.76,-4.15,4.554,8.852,0.84,10
1940,-1.88,-4.31,4.712,8.844,0.7,11
1941,-1.76,-4.35,4.9,8.808,0.77,12
1942,-1.74,-4.41,4.591,8.795,0.76,12
1943,-1.68,-4.21,4.467,8.814,0.89,13
1944,-1.63,-4.57,4.266,8.807,0.56,12
1945,-1.51,-4.49,4.165,8.852,0.49,10
1946,-1.48,-4.52,4.198,8.886,0.36,10
1947,-1.82,-4.41,4.249,8.839,0.62,13
1948,-1.54,-4.38,4.052,8.892,0.48,10
1949,-1.62,-4.55,3.992,8.874,0.37,10
1950,-1.68,-4.26,4.035,8.906,0.55,12
1951,-1.59,-4.44,4.125,8.866,0.5,11
1952,-1.74,-4.24,4.12,8.953,0.42,11
1953,-1.56,-4.31,4.014,8.844,0.7,10
1954,-1.75,-4.48,4.033,8.867,0.46,11
1955,-1.55,-4.1,3.909,8.87,0.83,10
1956,-1.44,-4.1,4.018,8.852,0.88,10
1957,-1.78,-4.22,4.106,8.81,0.9,11
1958,-1.72,-4.29,4.701,8.836,0.75,13
1959,-1.91,-4.36,4.541,8.844,0.65,12
1960,-1.76,-4.29,4.398,8.879,0.6,12
1961,-1.54,-4.3,4.228,8.851,0.69,11
1962,-1.6,-4.19,4.051,8.944,0.51,14
1963,-2.06,-4.09,3.922,8.912,0.7,15
1964,-1.65,-4.16,3.971,8.88,0.74,15
1965,-1.89,-4.05,3.985,8.891,0.81,14
1966,-2,-4.21,3.988,8.845,0.8,15
1967,-2.24,-4.39,4.055,8.834,0.65,15
1968,-2.11,-4.53,3.997,8.922,0.23,13
1969,-1.86,-4.39,4.081,8.849,0.61,15
1970,-1.91,-4.54,4.018,8.866,0.4,11
1971,-2.09,-4.42,3.923,8.931,0.31,15
1972,-2.76,-4.56,4.087,8.892,0.29,15
1973,-2.64,-4.58,4.235,8.805,0.55,14
1974,-2.48,-4.38,4.187,8.844,0.63,13
1975,-2.12,-4.65,4.468,8.872,0.27,13
1976,-2.09,-4.36,4.376,8.898,0.48,12
1977,-1.97,-4.5,4.514,8.859,0.46,12
1978,-1.87,-4.25,4.233,8.896,0.59,11
1979,-1.88,-4.44,4.332,8.872,0.48,11
1980,-1.99,-4.54,4.443,8.819,0.55,14
1981,-1.79,-4.83,4.306,8.865,0.11,16
1982,-1.87,-4.46,4.362,8.794,0.7,14
1983,-1.97,-4.46,4.366,8.838,0.57,11
1984,-2.09,-4.36,4.399,8.812,0.75,12
1985,-1.96,-4.37,4.343,8.772,0.86,12
1986,-2.16,-4.52,4.328,8.819,0.57,12
1987,-2.38,-4.53,4.229,8.856,0.44,13
1988,-2.36,-4.53,4.179,8.826,0.53,12
1989,-2.5,-4.48,4.13,8.896,0.37,13
1990,-2.91,-4.49,4.379,8.85,0.5,13
1991,-2.27,-4.65,4.491,8.887,0.22,13
1992,-2.75,-4.41,4.617,8.837,0.62,15
1993,-2.63,-4.35,4.439,8.839,0.67,14
1994,-2.55,-4.37,4.359,8.802,0.77,14
1995,-2.72,-4.69,4.367,8.847,0.31,14
1996,-2.63,-4.62,4.373,8.848,0.37,17
1997,-2.74,-4.45,4.124,8.906,0.36,15
1998,-2.47,-4.57,4.286,8.825,0.5,15
1999,-2.61,-4.36,4.22,8.879,0.54,17
2000,-2.91,-4.72,4.153,8.868,0.21,15
2001,-2.94,-4.58,4.203,8.886,0.3,16
2002,-2.5,-4.48,4.191,8.796,0.67,14
2003,-2.6,-4.58,4.373,8.801,0.56,14
2004,-2.75,-4.53,4.091,8.854,0.44,15
2005,-2.85,-4.62,4.227,8.869,0.31,14
2006,-2.94,-4.42,4.3,8.858,0.55,17
2007,-2.86,-4.73,4.235,8.919,0.05,14
2008,-3.03,-4.62,4.263,8.877,0.28,15
2009,-3.11,-4.95,4.577,8.819,0.13,14
