Age,d11B
1963,24.931
1964,23.609
1965,25.168
1966,24.305
1967,24.197
1968,25.042
1969,23.633
1970,23.04
1971,25.169
1972,24.559
1973,24.704
1974,23.813
1975,24.515
1976,25.458
1977,23.931
1978,25.099
1979,25.001
1980,25.304
1981,24.265
1982,25.218
1983,24.818
1984,24.422
1985,24.733
1986,23.712
1987,24.052
1988,25.256
1989,25.952
1990,25.625
1991,25.282
1992,24.556
1993,23.438
1994,23.378
1995,23.8
1996,24.047
1997,24.085
1998,24.321
1999,24.327
2000,24.071
2001,24.799
2002,24.214
