Age,BCa,d11B,LiCa,LiMg,MgCa,SrCa,UCa,Extn
1996.83,487.46039,23.37165802,0.006315904,1.429149915,4.429138,8.991951,0.00111725,1.848829
1997,464.52866,22.80514716,0.006209166,1.293272027,4.80326,8.902866,0.001074035,2.141676
1997.17,463.73006,22.80741409,0.006305023,1.29360704,4.87477,8.917221,0.001072289,1.164985
1997.33,471.44172,22.97627902,0.006449692,1.378889738,4.685732,8.99716,0.001104847,1.377135
1997.5,502.49687,23.41407816,0.006647667,1.547697638,4.302767,9.14139,0.001178199,1.33545
1997.67,500.03145,23.47529563,0.006551855,1.597086151,4.101582,9.155056,0.001220141,1.7
1997.83,487.50788,23.19036267,0.006882952,1.624699475,4.227444,9.117034,0.001217968,1.437642
1998,480.04149,22.86986788,0.007405283,1.676521576,4.407438,9.084309,0.001210079,1.006803
1998.17,472.29077,22.56732624,0.00784918,1.716571263,4.571514,9.060086,0.001206501,0.657746
1998.33,463.08065,22.35693988,0.007890472,1.696192459,4.653882,9.079506,0.001225056,0.525714
1998.5,453.66422,22.15958146,0.007874848,1.667270985,4.7247,9.105096,0.00124674,0.468571
1998.67,448.11956,22.07210723,0.007670771,1.608768413,4.768315,9.120135,0.001258282,0.414
1998.83,448.21526,22.14471234,0.00719216,1.507172391,4.772302,9.119802,0.001255048,0.4
1999,449.08545,22.22270559,0.006761093,1.416162011,4.774281,9.113175,0.00124406,0.4
1999.17,454.31581,22.32488792,0.006629248,1.390856668,4.766225,9.069563,0.001187293,0.403673
1999.33,465.43357,22.46655637,0.00662306,1.409580766,4.706023,9.047826,0.001146302,0.465306
1999.5,491.5068,22.71097143,0.006836497,1.524165301,4.499546,9.107348,0.001173139,0.548354
1999.67,509.57928,22.99274328,0.006893283,1.591764487,4.330624,9.131935,0.001188094,0.678095
1999.83,502.07777,23.16659367,0.006629844,1.522192835,4.366942,9.05253,0.001154887,1.113148
2000,467.15184,22.87036155,0.006425733,1.339132744,4.813812,8.899516,0.001065531,1.430935
2000.17,451.34589,23.0461297,0.006357851,1.250591182,5.085515,8.868195,0.001027733,1.202831
2000.33,471.88632,22.96279112,0.006567652,1.359160725,4.86185,8.954058,0.001084337,1.155556
2000.5,518.85301,22.98815683,0.006936813,1.603373492,4.341868,9.132412,0.001192325,0.918519
2000.67,534.90532,23.33903278,0.006906166,1.636263818,4.230862,9.126181,0.001186218,1.235926
2000.83,488.78721,22.52853729,0.006575938,1.439005111,4.581543,8.986902,0.001106255,1.039333
2001,461.81282,22.46660199,0.006433918,1.337336554,4.81875,8.907661,0.001064584,0.88
2001.17,447.71328,22.43746112,0.006340178,1.257518424,5.043752,8.859278,0.001034203,1.494039
2001.33,460.24041,22.27307722,0.006523429,1.306022103,5.002241,8.901438,0.001042806,1.630701
2001.5,493.74799,22.11128683,0.006860354,1.505092677,4.571825,9.05738,0.001116564,1.544587
2001.67,516.10032,22.92665883,0.006892569,1.591320572,4.332536,9.103893,0.001155824,1.335185
2001.83,486.30531,23.04870164,0.006497856,1.425152892,4.573496,8.990094,0.001110561,1.334977
2002,433.48231,NA,0.006206772,1.23867322,5.01968,8.883026,0.00104522,1.500554
2002.17,416.99912,NA,0.006222508,1.181087003,5.272308,8.834119,0.00099691,1.408852
2002.33,453.09251,NA,0.006564339,1.296303082,5.076296,8.917036,0.001028022,1.134456
2002.5,519.97439,NA,0.006849026,1.502966309,4.574662,9.073236,0.00111974,1.214809
2002.67,537.67805,NA,0.006819759,1.601707132,4.268806,9.124559,0.001169081,1.425213
2002.83,491.10158,NA,0.006553425,1.4216288,4.625307,8.985429,0.001101056,1.216174
2003,448.58342,NA,0.006333898,1.260279736,5.029724,8.859637,0.001037151,2.140347
2003.17,440.33707,NA,0.006359732,1.204241907,5.281735,8.809042,0.000993242,1.87638
2003.33,453.95428,NA,0.006653934,1.340516187,4.980886,8.904143,0.001038392,1.940741
2003.5,509.99495,NA,0.006952969,1.561479734,4.462704,9.063523,0.00112259,1.391204
2003.67,529.09164,NA,0.006928861,1.612872227,4.298531,9.096859,0.001145408,1.143056
2003.83,486.27209,NA,0.006565745,1.434512718,4.587594,8.980533,0.001103975,1.858326
2004,440.98616,NA,0.006254419,1.259776295,4.968451,8.867336,0.001047505,2.00138
2004.17,444.33908,NA,0.006240165,1.217580357,5.127061,8.82048,0.001009424,1.324537
2004.33,483.19998,NA,0.006536567,1.342995956,4.881856,8.924905,0.00104783,1.720833
2004.5,517.79997,NA,0.006831922,1.536083639,4.462656,9.047308,0.001124442,1.3125
2004.67,530.60392,NA,0.006820952,1.630366827,4.188826,9.111693,0.001181947,1.654167
2004.83,483.78897,NA,0.006525291,1.469125506,4.451503,9.006614,0.001130478,1.433368
2005,439.81532,NA,0.006200172,1.297376068,4.785469,8.879021,0.001069465,1.504131
2005.17,427.56538,NA,0.006178481,1.217446048,5.077167,8.816658,0.001021226,1.484069
2005.33,448.25945,NA,0.006445766,1.288658033,5.014134,8.897069,0.001040553,1.496181
2005.5,489.43964,NA,0.006806883,1.50867608,4.529853,9.061168,0.001134568,1.404046
2005.67,508.32946,NA,0.006855757,1.630216081,4.208953,9.133728,0.001190723,1.956053
2005.83,467.99775,NA,0.006486509,1.439805344,4.533079,8.998307,0.001123136,1.337279
2006,428.53495,NA,0.006183613,1.256382339,4.927074,8.858474,0.001049197,1.880768
2006.17,429.47247,NA,0.006169072,1.195355108,5.16602,8.826651,0.000997662,1.396876
2006.33,476.21822,NA,0.006488701,1.348725616,4.841022,8.937838,0.001047635,1.381036
2006.5,519.18895,NA,0.006845854,1.59017554,4.320572,9.105134,0.001153841,1.052083
2006.67,539.83725,NA,0.006833003,1.6738743,4.085971,9.136298,0.001182239,0.998299
2006.83,505.13716,NA,0.006582834,1.539091574,4.291878,9.0142,0.001126118,0.971677
2007,460.28118,NA,0.006299579,1.359027106,4.644489,8.884343,0.00106262,1.800509
2007.17,441.86086,NA,0.006277816,1.26317759,4.973546,8.837074,0.001021377,1.327925
2007.33,462.32066,NA,0.006599121,1.363706477,4.845853,8.919587,0.001050323,1.199702
2007.5,499.49257,NA,0.006886084,1.530164251,4.514413,9.043683,0.001111429,1.366605
2007.67,533.44141,NA,0.006862603,1.669320422,4.126202,9.134861,0.001167508,1.669333
2007.83,503.42264,NA,0.006564014,1.481428829,4.451665,8.97888,0.001091928,0.991407
2008,460.59452,NA,0.006245908,1.303335244,4.802197,8.850716,0.001023677,1.398148
2008.17,444.68309,NA,0.00620901,1.256199877,4.944277,8.831643,0.001006357,1.656944
2008.33,470.27734,NA,0.006655379,1.38991301,4.797815,8.950997,0.001042005,1.128241
2008.5,503.50905,NA,0.007040517,1.617516179,4.365581,9.102917,0.001141793,1.644444
2008.67,534.43078,NA,0.007080633,1.692653683,4.1904,9.158148,0.001166036,1.505556
2008.83,513.73561,NA,0.006993961,1.464030924,4.819634,8.980683,0.001048237,1.223498
2009,455.00982,NA,0.006219365,1.243483479,5.003715,8.835679,0.000655363,2.057028
2009.17,471.07141,NA,0.006291728,1.151389192,5.470923,8.808424,0.000274403,1.911755
