Age,d15N,d18O,Extn,Density,Calcn
1815,NA,NA,1.181,1.03,1.216
1816,NA,NA,1.651,1.034,1.706
1817,NA,NA,1.041,0.946,0.985
1818,NA,NA,1.27,0.959,1.218
1819,NA,NA,0.991,0.947,0.938
1820,6.7,NA,0.914,0.959,0.877
1821,6.6,NA,1.499,0.933,1.398
1822,6.5,NA,1.88,0.989,1.859
1823,6.57,NA,0.991,0.931,0.922
1824,6.5,NA,1.143,0.986,1.127
1825,6.52,NA,1.041,0.987,1.027
1826,6.6,NA,1.27,1.007,1.279
1827,6.54,NA,2.032,0.918,1.865
1828,6.6,-3.935746086,1.676,0.914,1.533
1829,6.78,-3.978931564,1.143,0.958,1.095
1830,6.8,NA,1.346,0.991,1.334
1831,6.86,-4.283318798,1.626,0.947,1.539
1831,NA,-4.113618496,NA,NA,NA
1832,6.5,NA,1.295,0.937,1.213
1833,6.92,-4.318256331,1.956,0.965,1.887
1834,6.49,-4.288931083,1.27,0.989,1.256
1835,7.06,-4.452687289,1.676,0.996,1.669
1836,6.6,-4.432756036,1.422,1,1.422
1837,6.37,-4.606999973,1.575,1.008,1.587
1838,6.7,-4.883504843,0.838,0.976,0.818
1839,6.7,NA,1.422,1.087,1.546
1840,6.86,-4.543817522,1.168,1.056,1.233
1841,6.83,-4.379862595,1.346,1.071,1.442
1842,6.9,NA,1.549,1.031,1.597
1843,6.57,-4.34292723,1.524,1.053,1.604
1844,6.41,-4.104802504,1.346,1.043,1.404
1845,6.6,NA,1.778,0.989,1.758
1846,6.5,-3.858078879,1.092,1.038,1.133
1847,6.71,-3.975666647,1.829,0.997,1.823
1848,6.81,-3.996838064,0.737,0.931,0.686
1849,6.84,NA,1.981,1.025,2.03
1850,6.82,-4.056892801,1.588,1.022,1.623
1851,6.61,NA,1.194,1.019,1.216
1852,6.52,NA,1.168,1.004,1.173
1853,6.8,-4.484041157,1.041,1.01,1.052
1854,6.6,-4.40207567,1.27,1.067,1.355
1855,6.54,NA,1.016,1.084,1.102
1856,6.58,NA,1.27,1.078,1.369
1857,6.63,-4.370887851,2.197,0.946,2.078
1858,6.84,NA,2.197,0.953,2.094
1859,6.82,-4.137563924,1.346,1.064,1.432
1860,6.37,-3.98758749,1.067,1.026,1.095
1861,7.46,NA,1.956,0.957,1.872
1862,7.01,NA,0.838,0.895,0.75
1863,7.54,-3.955856305,1.092,1.023,1.117
1864,6.92,-3.999059559,1.778,1.038,1.846
1865,7.42,-4.32189432,1.804,1.062,1.915
1866,6.62,-4.506017626,1.804,1.021,1.841
1867,7.47,NA,2.032,1.062,2.158
1868,7.3,NA,1.219,1.027,1.253
1869,7.11,NA,1.422,1.079,1.535
1870,7.25,-4.485924736,0.584,0.966,0.564
1871,6.66,-4.528431255,1.549,0.967,1.498
1872,6.85,NA,1.346,1.047,1.409
1873,7,NA,0.787,1.036,0.815
1874,6.94,-4.362866582,1.753,1.092,1.913
1875,6.73,-4.261266744,1.27,1.046,1.329
1876,6.93,NA,1.346,1.061,1.428
1877,6.6,-4.333469185,1.397,1.104,1.542
1878,7.01,NA,1.549,1.17,1.812
1879,6.4,-4.287081011,1.092,1.134,1.239
1880,6.82,NA,1.295,1.163,1.507
1881,6.64,-4.20552303,0.66,1.163,0.768
1882,6.68,-4.24765589,0.787,1.107,0.872
1883,7.01,-4.293399698,2.235,1.061,2.371
1884,6.8,-4.177847039,0.635,0.921,0.585
1885,6.55,-4.288171644,2.007,0.934,1.875
1886,6.35,-4.204808692,0.584,0.876,0.512
1887,6.69,-4.191687007,1.803,0.861,1.552
1888,6.86,NA,1.6,0.853,1.364
1889,6.71,-4.248505772,1.092,0.851,0.93
1890,6.88,-4.315752401,1.092,0.833,0.91
1891,6.46,-4.490521471,0.686,0.807,0.553
1892,6.69,NA,1.727,0.867,1.498
1893,6.75,-4.33598346,1.626,0.805,1.308
1894,7.02,-4.441696577,1.092,0.786,0.859
1895,7.37,-4.472941006,0.559,0.735,0.411
1896,6.78,-4.267549569,1.219,0.801,0.977
1897,6.67,-4.447727908,1.473,0.702,1.035
1898,6.7,-4.328964591,1.854,0.779,1.445
1899,7.02,-4.566010706,1.537,0.844,1.297
1900,6.49,-4.694751813,1.219,0.894,1.09
1901,6.53,-4.663412132,1.397,0.831,1.161
1902,6.78,-4.740581621,1.499,0.821,1.231
1903,6.46,-4.409601122,1.512,0.948,1.433
1904,6.7,NA,1.524,0.986,1.502
1905,7.17,NA,1.6,0.895,1.433
1906,7.1,-4.268831687,1.219,0.893,1.088
1907,7.23,-4.132154412,1.473,0.972,1.433
1908,6.97,NA,1.6,1.007,1.611
1909,7,-3.956933115,1.651,1.008,1.664
1910,6.97,-4.098504784,0.914,0.995,0.91
1911,6.92,NA,2.235,0.99,2.213
1912,7.29,-4.176416641,0.94,0.957,0.9
1913,7,-4.455347874,1.346,1.002,1.349
1914,6.96,NA,1.6,0.964,1.543
1915,6.52,-4.645056839,1.829,0.96,1.755
1916,6.55,-4.412188673,1.346,0.996,1.341
1917,6.43,-4.220845894,1.524,0.953,1.452
1918,6.59,NA,1.295,0.986,1.277
1919,6.6,-4.275755973,1.753,0.941,1.649
1920,7.11,NA,1.829,0.931,1.703
1921,6.64,-4.0896324,1.549,0.835,1.293
1922,7.39,-4.413595694,1.321,0.922,1.218
1923,6.93,-4.697751401,1.549,0.967,1.498
1924,6.7,-4.348274285,1.168,0.989,1.156
1925,6.97,-4.466718359,1.448,1.011,1.464
1926,7.43,NA,1.168,1.062,1.241
1927,7.52,-4.307025312,1.93,1.068,2.061
1928,6.9,NA,1.651,0.991,1.636
1929,6.82,NA,0.66,0.941,0.621
1930,7.13,-4.3045422,1.905,1.017,1.937
1931,7.18,-4.565958253,0.94,1.03,0.968
1932,7.16,-4.436874549,1.194,1.061,1.267
1933,7.24,-4.294771676,1.372,1.023,1.403
1934,7.06,NA,0.483,1.012,0.489
1935,7.01,-4.129585976,1.321,1.112,1.469
1936,6.75,-3.9938631,1.245,1.035,1.289
1937,6.64,-4.097738166,2.337,1.055,2.466
1938,6.84,-4.260071058,1.702,1.031,1.755
1939,6.57,-4.250388917,1.448,1.046,1.514
1940,6.73,-4.297980679,1.27,1.057,1.342
1941,6.9,-4.490558629,2.21,1.07,2.365
1941,NA,-4.369508495,NA,NA,NA
1941,NA,-4.390374357,NA,NA,NA
1942,6.51,-4.41599288,2.007,1.023,2.053
1943,7.2,-4.31760145,1.702,1.007,1.714
1944,7.09,-4.266117016,1.295,1.048,1.357
1945,7,-4.106738358,1.448,1.048,1.518
1946,6.51,-4.110651573,1.448,1.027,1.487
1947,7.16,-4.124237395,1.295,1.11,1.438
1948,7.27,-4.252426404,0.787,1.084,0.854
1949,7.12,-4.420485886,1.219,1.113,1.357
1950,6.76,-4.379354037,1.499,1.07,1.603
1951,6.35,-4.41583749,0.737,0.998,0.735
1952,6.43,-4.331878485,1.448,1.028,1.488
1953,6.54,-4.346867083,1.27,0.997,1.267
1954,6.21,-4.56565273,1.473,1.039,1.531
1955,6.33,-4.532465233,1.803,0.871,1.57
1956,6.38,-4.546143728,1.803,0.835,1.506
1957,6.44,-4.445512771,2.159,0.939,2.027
1958,6.58,-4.27758504,1.448,0.868,1.256
1959,6.35,-4.268043057,1.346,0.862,1.161
1960,6.5,NA,1.753,0.842,1.476
1961,6.7,-4.148183304,1.499,0.935,1.401
1962,6.16,-4.261604437,1.067,1.07,1.141
1963,6.57,-4.240180891,1.702,1.064,1.81
1964,6.85,-4.221331869,1.448,1.03,1.492
1965,7.22,-4.206648097,1.448,1.06,1.534
1966,6.8,-4.094118178,1.6,1.092,1.747
1967,7.06,-4.062619678,1.651,1.111,1.835
1968,6.91,-4.093287884,0.991,1.117,1.106
1969,6.66,-4.18633306,1.6,1.158,1.854
1970,6.37,-4.560699156,0.813,1.134,0.922
1971,6.37,-4.718565917,1.448,1.052,1.524
1972,6.36,-4.72974417,1.168,0.898,1.049
1973,6.59,-4.692966773,2.235,0.89,1.989
1974,6.84,-4.369397026,1.448,0.894,1.295
1975,6.32,-4.196916393,1.245,0.914,1.137
1976,6.74,-4.207789194,1.041,0.927,0.965
