Age,Ba138Ca,BaCa,SrCa,UCa
1746.602,0.00263824,0.00255779,9.21655,0.00128036
1746.613,0.00249058,0.00228158,9.04768,0.00118051
1746.624,0.00240598,0.00244873,9.31034,0.0013671
1746.636,0.00251584,0.00254379,9.49367,0.00153709
1746.647,0.00231464,0.00241741,9.04226,0.00125188
1746.659,0.00227716,0.00230616,9.29188,0.00145556
1746.67,0.00226452,0.00233837,9.40877,0.00147457
1746.682,0.00235953,0.00232478,9.32445,0.00139763
1746.693,0.00272528,0.00253743,9.20997,0.00133825
1746.704,0.00254158,0.00262295,9.14419,0.00133612
1746.716,0.00303103,0.00277723,9.26629,0.001497
1746.727,0.00286795,0.00285261,9.48856,0.00167879
1746.739,0.00282081,0.00285385,9.38831,0.00163876
1746.75,0.00259284,0.00275314,8.87573,0.00129197
1746.762,0.00270833,0.00290441,8.96449,0.0013461
1746.773,0.00315935,0.00307365,9.16057,0.00143479
1746.784,0.00302347,0.00320348,9.04746,0.00143234
1746.796,0.00312007,0.00293821,8.87292,0.00122043
1746.807,0.00307625,0.00323276,8.6577,0.00104017
1746.819,0.00285894,0.00292611,8.72436,0.00106485
1746.83,0.00296996,0.00289961,9.00267,0.0011441
1746.842,0.00300576,0.00301487,9.05469,0.00131578
1746.853,0.00318889,0.00300772,8.92908,0.00121494
1746.864,0.00281655,0.00272183,8.87701,0.00120644
1746.876,0.00303197,0.00280121,9.04767,0.00117785
1746.887,0.00283708,0.00261271,9.09515,0.00137309
1746.899,0.00269849,0.00268091,9.1396,0.0014432
1746.91,0.00279045,0.00276439,9.40517,0.00165521
1746.922,0.00263091,0.00271363,9.37559,0.0017522
1746.933,0.00287737,0.00274576,9.2586,0.00154046
1746.944,0.00265008,0.00270307,9.20369,0.0015186
1746.956,0.00275376,0.0027292,9.60964,0.00155622
1746.967,0.00296545,0.00293922,9.31725,0.00162123
1746.979,0.00268599,0.0026553,9.35973,0.00168468
1746.99,0.0027782,0.00258384,9.28003,0.00162789
1747.002,0.00237855,0.00249906,9.34349,0.00166133
1747.013,0.00260219,0.00239022,9.21569,0.00167134
1747.024,0.00266952,0.00272799,9.3525,0.00169228
1747.036,0.00268247,0.00285507,9.38326,0.00159337
1747.047,0.00286847,0.00275055,9.33845,0.00142494
1747.059,0.00271163,0.00275152,9.36838,0.00155013
1747.07,0.00259269,0.00279452,9.54275,0.00157603
1747.082,0.00292035,0.00291175,9.35478,0.00141616
1747.093,0.00298115,0.0028343,9.32404,0.00136431
1747.104,0.00284062,0.00282446,9.26497,0.00144145
