Age,Ba138Ca,BaCa,BCa,Cd,CdCa,Ce,CeCa,La,LaCa,LiCa,Lu,LuCa,MgCa,Mn,MnCa,P,PbCa,PCa,Pr,PrCa,SrCa,UCa,Y,Yb,YbCa,YCa,ZnCa,Distance
1972.104396,0.001672465,0.001672127,0.433944917,0.070809184,6.30E-05,76.57098276,5.47E-05,111.1257446,8.01E-05,0.005257518,3.162556317,1.81E-06,3.217742206,0.480617431,0.000875572,0.197140165,0.000301138,0.000637005,20.31442076,1.44E-05,8.822903043,0.001238606,258.872512,23.23822373,1.34E-05,0.000291421,0.00283423,375.232557
1972.154121,0.001452185,0.00146997,0.393314524,0.003560123,3.17E-06,102.6142282,7.33E-05,157.1546868,0.000113233,0.004857386,5.594962588,3.20E-06,2.606798259,0.400288968,0.000729233,5.285921278,0.000223585,0.017080034,27.00046485,1.92E-05,8.92771767,0.001376293,362.738195,26.76629703,1.55E-05,0.000408345,0.00193942,374.978546
1972.203846,0.001371276,0.00138234,0.389481741,0.011375969,1.01E-05,135.58271,9.68E-05,201.5100421,0.000145191,0.004653986,9.920403825,5.67E-06,2.694446139,0.373157344,0.000679805,2.729732397,0.000212279,0.008820397,35.11200801,2.49E-05,9.025003165,0.001453465,490.851488,45.32258187,2.62E-05,0.000552566,0.00116119,374.724535
1972.253571,0.00167131,0.001460412,0.388664455,0.011961688,1.07E-05,135.0016028,9.64E-05,208.152468,0.000149977,0.004740682,9.219267972,5.27E-06,2.354858649,0.381971555,0.000695863,6.891900262,0.000226958,0.022269324,34.30219879,2.44E-05,9.266035573,0.001472313,479.448988,40.14771442,2.32E-05,0.00053973,0.00120595,374.470524
1972.303296,0.001579228,0.001409246,0.38959995,0.007933143,7.06E-06,122.8532583,8.78E-05,181.3274452,0.00013065,0.004646802,7.746784802,4.43E-06,2.570438028,0.389066434,0.000708788,2.115985636,0.000199966,0.006837239,32.95499449,2.34E-05,9.147755477,0.001415565,435.740219,43.49940561,2.52E-05,0.000490526,0.00121738,374.216513
1972.353022,0.001284854,0.001426149,0.372811862,0.001495337,1.33E-06,151.1673965,0.000107978,230.040645,0.000165748,0.004781326,10.0248181,5.73E-06,2.459036134,0.405362903,0.000738476,7.386516665,0.000221965,0.023867543,43.98414875,3.12E-05,8.977515275,0.001410293,539.680877,42.8093794,2.48E-05,0.000607535,0.00157212,373.962502
1972.402747,0.001549559,0.001534904,0.368689074,0.013341879,1.19E-05,146.3318618,0.000104524,210.7858147,0.000151875,0.004622456,8.030316544,4.59E-06,2.424853065,0.379240034,0.000690886,5.358382314,0.00021808,0.017314172,39.54121863,2.81E-05,9.10860585,0.001426466,550.186597,43.55089972,2.52E-05,0.000619362,0.00152737,373.708491
1972.452472,0.00160395,0.001530312,0.383361642,0.010621571,9.46E-06,135.6465053,9.69E-05,197.2372494,0.000142113,0.004838533,7.077273997,4.05E-06,2.427824341,0.336015216,0.000612141,6.273989679,0.000177194,0.020272712,32.75136498,2.33E-05,9.204466625,0.00144467,463.476636,41.32971051,2.39E-05,0.00052175,0.00088134,373.45448
1972.502197,0.001695858,0.001647896,0.386979816,0.00967723,8.62E-06,145.2263124,0.000103734,208.8919158,0.00015051,0.004747685,8.952390209,5.12E-06,2.126005526,0.32924491,0.000599807,3.311583622,0.000173871,0.010700492,34.41533709,2.44E-05,9.265733881,0.001630644,483.65035,42.88730171,2.48E-05,0.00054446,0.00127454,373.200469
1972.551923,0.001556311,0.001505475,0.375642258,0.007646587,6.81E-06,151.0503261,0.000107894,222.6210704,0.000160402,0.004681564,7.174853254,4.10E-06,2.049949322,0.272464256,0.000496366,6.320058227,0.000229163,0.02042157,39.25568565,2.79E-05,9.253088385,0.001621545,524.80204,44.53830909,2.58E-05,0.000590785,0.00105624,372.946458
