Age,BaCa,BCa,MgCa,Mn,SrCa,UCa,Distance
1988.365,0.002958,0.448222,4.304063,0.135824,8.806382,0.000984472,45.76
1988.49,0.003044,0.449484,4.419879,0.145268,8.786022,0.000932938,45.51
1988.615,0.003677,0.445366,3.844059,0.152895,8.945294,0.001094866,45.25
1988.74,0.003345,0.447982,4.07456,0.145787,8.89774,0.001074195,44.99
1988.865,0.002876,0.447122,4.193628,0.116745,8.883814,0.001003883,44.73
1988.99,0.002658,0.471845,3.987842,0.142524,8.873218,0.001036218,44.48
1989.115,0.002527,0.475519,4.061603,0.164936,9.045624,0.001031892,44.22
1989.24,0.002467,0.478932,3.92946,0.155461,9.042793,0.001116435,43.96
1989.365,0.00247,0.469739,3.89105,0.192548,9.050149,0.001072863,43.71
1989.49,0.002052,0.487381,3.972822,0.179151,8.982067,0.001042509,43.45
1989.615,0.002108,0.518373,3.957652,0.181157,9.073164,0.001041305,43.19
1989.6503,0.002412,0.492738,3.733195,0.178983,9.019873,0.001178834,42.93
1989.6855,0.002348,0.506203,3.732412,0.177186,9.066647,0.001199953,42.68
1989.7208,0.002433,0.469637,3.746203,0.162318,8.969963,0.001120369,42.42
1989.756,0.003156,0.459989,3.98385,0.160025,8.935895,0.001096558,42.16
1989.7913,0.004122,0.460878,3.738702,0.143929,9.032537,0.001104046,41.91
1989.8265,0.003355,0.439743,3.539044,0.149915,8.821742,0.0010892,41.65
1989.8618,0.002688,0.435277,3.297581,0.150305,8.84623,0.001174006,41.39
1989.897,0.002724,0.444617,3.639342,0.158651,8.906471,0.001120067,41.14
1989.9323,0.002324,0.434384,3.48246,0.142122,8.935715,0.001161635,40.88
1989.9675,0.00207,0.408489,3.458346,0.135315,8.754235,0.001095273,40.62
1990.0028,0.002783,0.40116,3.788845,0.149473,8.684512,0.00103669,40.36
1990.038,0.002512,0.374941,3.599348,0.149066,8.85147,0.001057577,40.11
1990.0674,0.002731,0.391618,4.165685,0.141014,8.690002,0.000974045,39.85
1990.0969,0.002612,0.385126,3.857045,0.134535,8.774895,0.001025484,39.59
1990.1263,0.00253,0.395223,3.894535,0.132223,8.746779,0.000993794,39.34
1990.1558,0.002473,0.432171,3.853809,0.122788,8.657905,0.000978196,39.08
1990.1852,0.002345,0.409847,4.162177,0.132303,8.663754,0.000923554,38.82
1990.2146,0.002574,0.408342,4.070744,0.156502,8.719928,0.000939813,38.56
1990.2441,0.002611,0.432019,4.010495,0.155498,8.735371,0.000943334,38.31
1990.2735,0.002574,0.45352,4.08923,0.15575,8.916139,0.000944043,38.05
