"Age","LuminRange"
1844,0.205
1845,0.066
1846,0.365
1847,0.359
1848,0.276
1849,0.267
1850,0.15
1851,0.148
1852,0.425
1853,0.299
1854,0.198
1855,0.083
1856,0.335
1857,0.277
1858,0.198
1859,0.559
1860,0.371
1861,0.2
1862,0.244
1863,0.256
1864,0.296
1865,0.116
1866,0.304
1867,0.25
1868,0.21
1869,0.286
1870,0.386
1871,0.181
1872,0.374
1873,0.4
1874,0.229
1875,0.268
1876,0.366
1877,0.383
1878,0.395
1879,0.415
1880,0.281
1881,0.338
1882,0.393
1883,0.138
1884,0.189
1885,0.173
1886,0.167
1887,0.312
1888,0.129
1889,0.176
1890,0.302
1891,0.316
1892,0.072
1893,0.384
1894,0.218
1895,0.337
1896,0.5
1897,0.135
1898,0.389
1899,0.297
1900,0.136
1901,0.325
1902,0.113
1903,0.511
1904,0.195
1905,0.222
1906,0.468
1907,0.039
1908,0.222
1909,0.318
1910,0.497
1911,0.347
1912,0.068
1913,0.302
1914,0.221
1915,0.037
1916,0.212
1917,0.453
1918,0.328
1919,0.27
1920,0.225
1921,0.219
1922,0.2
1923,0.161
1924,0.279
1925,0.302
1926,0.111
1927,0.305
1928,0.065
1929,0.151
1930,0.218
1931,0.143
1932,0.155
1933,0.165
1934,0.285
1935,0.165
1936,0.3
1937,0.234
1938,0.245
1939,0.237
1940,0.366
1941,0.304
1942,0.183
1943,0.24
1944,0.257
1945,0.379
1946,0.254
1947,0.232
1948,0.113
1949,0.308
1950,0.381
1951,0.151
1952,0.112
1953,0.276
1954,0.485
1955,0.387
1956,0.401
1957,0.303
1958,0.421
1959,0.183
1960,0.242
1961,0.099
1962,0.232
1963,0.315
1964,0.202
1965,0.234
1966,0.179
1967,0.316
1968,0.404
1969,0.183
1970,0.3
1971,0.357
1972,0.404
1973,0.293
1974,0.553
1975,0.338
1976,0.31
1977,0.386
1978,0.218
1979,0.414
1980,0.232
1981,0.395
1982,0.226
1983,0.261
1984,0.34
1985,0.176
