Age,d15N
1975,6.48
1975.5,6.37
1976,6
1976.5,6.15
1977,5.17
1977.5,6.11
1978,6.26
1978.5,5.65
1979,6.23
1979.5,5.56
1980,5.81
1980.5,5.47
1981,5.78
1981.5,6.31
1982,6.24
1982.5,5.58
1983,6.08
1983.5,5.22
1984,6.05
1984.5,5.15
1985,5.22
1985.5,5.31
1986,5.22
1986.5,5.01
1987,4.57
1987.5,5.76
1988,5.62
1988.5,6.43
1989,5.19
1989.5,5.65
1990,5.84
1990.5,5.06
1991,5.02
1991.5,5
1992,4.59
1992.5,4.58
1993,5.42
1993.5,5.18
1994,5.31
1994.5,5.45
1995,4.84
1995.5,4.92
1996,5.68
1996.5,5.67
1997,6.24
1997.5,5.5
1998,6
1998.5,5.98
1999,5.29
1999.5,6.13
2000,6.7
2000.5,6.35
2001,5.71
2001.5,5.5
2002,5.14
2002.5,5.69
2003,5.88
2003.5,5.37
2004,4.87
2004.5,4.72
2005,4.67
