Age,SrCa
-3199.915,9.041
-3199.83217,9.062
-3199.74933,9.054
-3199.6665,9.167
-3199.58367,9.186
-3199.50083,9.255
-3199.418,9.32
-3199.318,9.235
-3199.218,9.078
-3199.118,9.042
-3199.018,9.069
-3198.918,9.078
-3198.818,9.046
-3198.718,9.107
-3198.618,9.135
-3198.518,9.287
-3198.418,9.3
-3198.318,9.184
-3198.218,9.124
-3198.118,9.134
-3198.018,9.12
-3197.918,9.086
-3197.818,9.072
-3197.718,9.143
-3197.618,9.261
-3197.518,9.321
-3197.418,9.367
-3197.318,9.222
-3197.218,9.095
-3197.118,9.055
-3197.018,9.06
-3196.918,9.076
-3196.818,9.102
-3196.718,9.106
-3196.618,9.19
-3196.518,9.25
-3196.418,9.34
-3196.27514,9.306
-3196.13229,9.138
-3195.98943,9.084
-3195.84657,9.011
-3195.70371,9.039
-3195.56086,9.117
-3195.418,9.346
-3195.293,9.286
-3195.168,9.18
-3195.043,9.118
-3194.918,9.131
-3194.793,9.073
-3194.668,9.079
-3194.543,9.071
-3194.418,9.32
-3194.318,9.262
-3194.218,9.103
-3194.118,9.102
-3194.018,9.041
-3193.918,9.088
-3193.818,9.046
-3193.718,9.056
-3193.618,9.024
-3193.518,9.181
-3193.418,9.341
-3193.27514,9.33
-3193.13229,9.173
-3192.98943,9.057
-3192.84657,9.065
-3192.70371,9.03
-3192.56086,9.146
-3192.418,9.265
-3192.27514,9.223
-3192.13229,9.109
-3191.98943,9.044
-3191.84657,9.049
-3191.70371,9.023
-3191.56086,9.183
-3191.418,9.303
