Age,Ba138Ca,BaCa,SrCa,UCa
1905.104,0.0026223,0.00256536,8.45534,0.00121189
1905.128,0.00270648,0.00290607,8.63436,0.00120823
1905.152,0.00308953,0.00297542,8.70607,0.0012354
1905.175,0.00292588,0.00303723,8.63852,0.00117707
1905.199,0.00302169,0.00329162,8.73627,0.00113634
1905.223,0.00322892,0.00340509,8.64142,0.00110315
1905.246,0.00364569,0.00383397,8.93479,0.00113138
1905.27,0.00381221,0.00382567,8.81574,0.0011235
1905.294,0.00402811,0.00389651,8.9156,0.00117151
1905.318,0.00343884,0.00334734,8.81728,0.00116505
1905.341,0.00340383,0.00340241,8.76574,0.00119595
1905.365,0.00325122,0.00333487,9.00075,0.00152304
1905.389,0.0036851,0.00357825,8.86093,0.00121409
1905.412,0.00355273,0.00349646,8.73784,0.00121498
1905.436,0.00335091,0.00352716,8.83019,0.00123561
1905.46,0.0033707,0.00345581,8.89714,0.00126752
1905.483,0.00352394,0.00356786,8.9464,0.00126576
1905.507,0.00323551,0.00335969,8.58698,0.00116798
1905.531,0.00361202,0.00355903,8.62614,0.00112952
1905.554,0.00376007,0.00384321,8.86337,0.00115496
1905.578,0.00359801,0.00374089,8.92591,0.0012194
1905.602,0.00325317,0.0034401,8.95873,0.0013753
1905.62,0.00329326,0.00336328,9.173,0.001553
1905.639,0.00353421,0.003402,9.2645,0.0015357
1905.658,0.00302103,0.00328464,9.38067,0.00162875
1905.676,0.00347729,0.00317863,9.15558,0.00154768
1905.695,0.00298425,0.00309658,8.91076,0.00146688
1905.713,0.00333032,0.00354895,8.70414,0.00120083
1905.732,0.00386345,0.00391634,8.69297,0.00104869
1905.751,0.00343699,0.00337694,8.67361,0.00121291
1905.769,0.00316738,0.00315157,8.83694,0.00143603
1905.788,0.00348682,0.00350564,8.99736,0.00127046
1905.806,0.003528,0.00351994,9.10539,0.00138715
1905.825,0.00316403,0.00341822,9.06995,0.00156693
1905.844,0.00332009,0.00361427,9.02482,0.00145595
1905.862,0.00376088,0.00375426,9.02383,0.00137318
1905.881,0.0034764,0.00353513,8.97957,0.00136911
1905.9,0.00346153,0.00349081,9.1307,0.00148148
1905.918,0.00374877,0.00386351,8.94685,0.00113945
1905.937,0.0037683,0.00390171,9.11731,0.00131513
1905.955,0.00359163,0.00366426,8.81512,0.00120327
1905.974,0.00359849,0.00387087,8.93042,0.00122326
1905.993,0.00363429,0.00384468,9.10554,0.00142678
1906.011,0.00347201,0.00374972,9.02323,0.00141499
1906.03,0.00362901,0.0038047,9.19864,0.00148731
1906.049,0.00373886,0.00381039,9.18901,0.00157145
1906.067,0.00410347,0.00382043,9.05164,0.00137991
1906.086,0.00373769,0.00371496,9.14819,0.00147347
