Age,BaCa,BCa,MgCa,Mn,SrCa,UCa,Distance
1992.43,0.003944097,0.417984623,2.701476811,0.21754,9.144628039,0.001598374,119.54
1992.4617,0.00395267,0.427493952,2.90700992,0.204245,9.160046388,0.001487832,119.24
1992.4933,0.003917315,0.419546729,2.938335485,0.208743,9.144414834,0.001449516,118.94
1992.525,0.003861891,0.404875081,2.697092358,0.217056,9.284393179,0.001550461,118.63
1992.5567,0.003778898,0.389305547,2.305315951,0.201144,9.48028561,0.001634357,118.33
1992.5883,0.003679416,0.396930286,2.361565352,0.219798,9.510470607,0.001624128,118.03
1992.62,0.003824605,0.384263539,2.264596158,0.247112,9.631286347,0.001761234,117.72
1992.6374,0.003682187,0.368800165,2.787670543,0.245805,9.319129264,0.001614062,117.42
1992.6547,0.003785737,0.391621654,3.147512005,0.254611,9.185466834,0.001528911,117.12
1992.6721,0.003736804,0.392298229,2.991549293,0.25758,9.342822045,0.001498413,116.81
1992.6894,0.003770489,0.4158514,3.247115972,0.254519,9.233213398,0.001477023,116.51
1992.7068,0.003770608,0.418736192,3.497843815,0.235,9.145350137,0.001375434,116.21
1992.7242,0.003728932,0.424708352,3.344530467,0.239931,9.073893455,0.001393999,115.9
1992.7415,0.00376829,0.441801294,2.973371378,0.29163,9.190533103,0.001497505,115.6
1992.7589,0.003656856,0.433683509,2.863658258,0.298826,9.147047502,0.001554852,115.3
1992.7762,0.003669367,0.425246024,3.372047893,0.258556,9.056212605,0.001437173,114.99
1992.7936,0.003823018,0.417671787,3.526982112,0.255662,9.055277939,0.001391197,114.69
1992.8109,0.003751915,0.375950731,2.837092956,0.226607,9.243179203,0.001552997,114.39
1992.8283,0.003721877,0.390273604,3.026685779,0.200437,9.17343963,0.001468809,114.08
1992.8457,0.00371785,0.389442795,2.614756995,0.253843,9.178501213,0.001517921,113.78
1992.863,0.003990794,0.376383862,2.814320374,0.267664,9.138430229,0.001606468,113.47
1992.8804,0.003832651,0.362695262,3.283208926,0.261492,9.030863779,0.001494183,113.17
1992.8977,0.003890256,0.363692167,3.082592751,0.277948,9.201431045,0.001558311,112.87
1992.9151,0.004151989,0.388136334,3.159686735,0.296269,9.213457295,0.001495138,112.56
1992.9325,0.00417257,0.404367408,2.998463337,0.346758,9.058561396,0.001459138,112.26
1992.9498,0.004199757,0.372948775,3.498241635,0.36083,8.978614322,0.001359364,111.96
1992.9672,0.004051638,0.374825548,3.773972731,0.326276,8.765547876,0.00122832,111.65
1992.9845,0.004207722,0.380778886,3.695678217,0.28214,8.977123744,0.001315126,111.35
