Age,Ba138Ca,BaCa,SrCa,UCa
1962.4,0.00431543,0.0046458,9.60367,0.00188708
1962.411,0.00474998,0.00486881,9.43732,0.00182187
1962.423,0.00427983,0.004594,9.53157,0.00196202
1962.434,0.00455962,0.00469556,9.2656,0.00195166
1962.446,0.00473286,0.00492227,9.53836,0.00204095
1962.457,0.00485916,0.00499793,9.61416,0.00179205
1962.468,0.00499785,0.00535157,9.25513,0.00142325
1962.48,0.00525,0.00518824,9.53597,0.00145662
1962.491,0.0041321,0.00469076,9.27819,0.00154919
1962.503,0.00461982,0.00470656,9.67013,0.00159568
1962.514,0.00506004,0.00557901,9.22034,0.00154144
1962.525,0.00443146,0.00450674,9.54791,0.00164614
1962.537,0.00508171,0.00492056,9.4884,0.00148194
1962.548,0.00441331,0.00470176,9.45248,0.00154811
1962.56,0.00450472,0.00461276,9.40334,0.00147119
1962.571,0.00435828,0.00474139,9.4036,0.00145394
1962.582,0.00495863,0.00495401,9.46909,0.00160037
1962.594,0.0043716,0.00403463,9.4143,0.00164491
1962.605,0.00355482,0.00385717,9.69731,0.00162759
1962.617,0.0041552,0.00380524,9.79017,0.00157856
1962.628,0.00378148,0.00359083,9.38886,0.00156725
1962.639,0.00444473,0.00417777,9.44612,0.00150374
1962.651,0.0033941,0.00379423,9.50151,0.00154794
1962.662,0.00369357,0.00405177,9.62227,0.00177193
1962.674,0.00424687,0.00467048,9.23618,0.00136204
1962.685,0.00400286,0.00420488,9.60491,0.00155645
1962.696,0.00422551,0.00407325,9.80574,0.00198768
1962.708,0.00466599,0.00451617,9.65468,0.00174869
1962.719,0.00429675,0.00471743,9.10342,0.00157152
1962.731,0.0042128,0.00410936,9.57155,0.00146848
1962.742,0.00346296,0.00346593,9.42155,0.00162164
1962.753,0.00417531,0.00419732,9.34276,0.00144761
1962.765,0.00408631,0.00403965,9.46292,0.00155243
1962.776,0.00393075,0.00399319,9.46616,0.00157889
1962.788,0.00335176,0.00339061,9.3941,0.00148015
1962.799,0.00345693,0.00348269,9.46336,0.00151633
1962.81,0.00325207,0.00329099,9.42658,0.00153995
1962.822,0.00327155,0.00317288,9.45157,0.0015435
1962.833,0.0039308,0.00382117,9.3452,0.00147542
1962.845,0.0041984,0.00452095,9.4736,0.00144221
1962.856,0.0048247,0.00486544,9.29409,0.00142812
1962.867,0.00346187,0.00387995,9.37619,0.00142625
1962.879,0.00379459,0.00351271,9.64746,0.00162475
1962.89,0.00379539,0.00399546,9.26694,0.00149295
1962.902,0.00432048,0.00446284,8.96717,0.0014424
1962.913,0.00390803,0.00431006,8.89256,0.00152817
1962.924,0.00402437,0.00405636,9.09247,0.00145712
1962.936,0.0045785,0.00414672,9.13857,0.00145823
1962.947,0.00389205,0.00425184,9.23162,0.00144032
1962.959,0.00437701,0.00375632,9.3311,0.00154107
1962.97,0.00353454,0.0040212,9.30225,0.00147875
1962.981,0.00399345,0.00405129,9.31298,0.00144226
1962.993,0.00388869,0.00393306,9.48469,0.00154061
1963.004,0.00398123,0.00405267,9.73655,0.00142281
1963.016,0.00404143,0.00396889,9.64803,0.00153096
1963.027,0.00441167,0.00435525,9.5685,0.00149363
1963.038,0.0040027,0.0039776,9.32482,0.00147205
1963.05,0.00459821,0.00445165,8.97566,0.00126442
1963.061,0.00409702,0.00407689,9.50008,0.00156828
1963.073,0.00386688,0.00383671,9.44652,0.00147628
1963.084,0.00347377,0.00380621,9.3039,0.00140816
1963.095,0.00345806,0.00357853,9.28588,0.00142258
1963.107,0.0037138,0.00372213,9.57127,0.00157702
1963.118,0.00449168,0.00396137,9.53561,0.00151638
1963.13,0.00483468,0.00418745,9.41135,0.00155259
1963.141,0.00350477,0.00388423,9.06516,0.00150054
1963.152,0.00397363,0.00426278,9.1668,0.00164828
1963.164,0.00439206,0.00400741,8.95988,0.00132826
1963.175,0.00474157,0.00427418,9.17858,0.00137746
1963.187,0.00457141,0.00485148,9.41245,0.00151113
1963.198,0.00472288,0.004471,9.36536,0.00153064
1963.209,0.00444627,0.00477967,9.01592,0.00146388
1963.221,0.00463335,0.00478901,9.4653,0.00163785
1963.232,0.00392365,0.00462057,8.73894,0.00127476
1963.244,0.00515495,0.00520296,8.94,0.00121086
1963.255,0.00476485,0.00527394,9.42896,0.0015605
1963.266,0.00490954,0.00497259,9.5349,0.00167495
1963.278,0.00565646,0.0053792,9.06156,0.0015859
1963.289,0.00573189,0.00608979,9.15504,0.00141532
1963.301,0.00633621,0.00555552,9.10234,0.00136376
1963.312,0.00556481,0.00565845,8.96651,0.00137528
1963.323,0.00547181,0.00577976,9.45188,0.00184285
1963.335,0.00583074,0.00581706,9.6876,0.00177045
1963.346,0.00578062,0.00571418,8.96483,0.00140243
1963.358,0.00636411,0.0063203,9.21498,0.00136835
1963.369,0.00527725,0.00541859,9.34539,0.00158929
1963.38,0.00539966,0.00541132,9.43009,0.00160625
1963.392,0.00522597,0.00560478,9.29792,0.00151297
1963.403,0.00527254,0.00542792,9.56023,0.00167403
1963.415,0.00591576,0.00624163,9.33288,0.00162794
1963.426,0.00683619,0.0069462,8.80453,0.00128191
1963.437,0.00681527,0.00637564,9.33249,0.0015995
1963.449,0.0055902,0.00555307,9.41783,0.00170066
1963.46,0.00459382,0.00474858,9.4671,0.00171322
1963.472,0.00579522,0.00576096,9.32028,0.00159848
1963.483,0.00528213,0.0056881,9.22365,0.00163786
1963.494,0.00520524,0.00474385,9.87033,0.00175602
1963.506,0.00430504,0.0043375,9.65393,0.00168486
1963.517,0.00433875,0.00496281,9.33124,0.00148661
1963.529,0.00543339,0.00510672,9.13357,0.00141221
1963.54,0.00457332,0.00472303,9.49946,0.00146229
1963.551,0.00375308,0.00413094,9.99569,0.00170562
1963.563,0.00368354,0.00418823,9.74797,0.00166539
1963.574,0.00426477,0.00414111,9.77556,0.00176091
1963.586,0.00476333,0.00451298,10.00232,0.00179313
1963.597,0.00557091,0.00553141,9.55043,0.00147983
1963.608,0.00511383,0.00445975,9.73056,0.00175799
1963.62,0.00501946,0.00483454,9.49052,0.0017473
1963.631,0.00571092,0.00579877,9.42163,0.00165667
1963.643,0.00458948,0.0048306,9.25529,0.0016608
1963.654,0.00440411,0.00458728,9.64513,0.00166446
1963.665,0.00458774,0.0045103,9.23464,0.00155644
1963.677,0.00441334,0.0039754,9.61616,0.0016906
1963.688,0.00435481,0.00433018,9.37114,0.00156164
1963.7,0.00487243,0.00409523,9.40589,0.00172493
1963.711,0.00451412,0.00427424,9.55987,0.00163558
1963.722,0.00454672,0.00456621,9.73915,0.00156742
1963.734,0.00398593,0.00377513,9.71868,0.00167922
1963.745,0.00370187,0.0038764,9.75264,0.00171683
1963.757,0.00425274,0.00396331,9.73023,0.00161615
1963.768,0.00512458,0.00498029,9.23036,0.00144876
1963.779,0.00518482,0.0047815,9.46655,0.00154375
1963.791,0.0041889,0.00413933,9.60812,0.0017636
1963.802,0.00468805,0.00454248,9.42376,0.00166704
1963.814,0.00442905,0.00473879,9.48003,0.00159117
1963.825,0.00536309,0.00514472,9.55611,0.00154681
1963.836,0.00484736,0.00465717,9.63216,0.00157563
1963.848,0.00456876,0.00428924,9.49969,0.00162162
1963.859,0.00390607,0.00405273,9.4718,0.00163227
1963.871,0.00389547,0.00377064,9.44403,0.00163441
1963.882,0.00405457,0.00385047,9.83839,0.00180669
1963.893,0.00424672,0.00447275,9.27041,0.00146366
1963.905,0.00466966,0.00448344,9.67681,0.00149293
1963.916,0.00377022,0.00408689,9.66606,0.00163589
1963.928,0.00381749,0.00400062,9.60766,0.00156856
1963.939,0.00440578,0.00432456,9.30535,0.00151486
1963.95,0.00444735,0.00493713,8.99528,0.00129836
1963.962,0.00471028,0.00448814,9.1481,0.00135127
1963.973,0.0043955,0.00453061,9.14062,0.001368
1963.985,0.00461152,0.00451913,9.4384,0.00147575
1963.996,0.00441366,0.00429096,9.37365,0.00151045
1964.007,0.00513702,0.00412793,9.47534,0.00163862
1964.019,0.00446481,0.00487877,9.46715,0.00155944
1964.03,0.00529708,0.00485004,9.68386,0.00183809
1964.042,0.00486385,0.00497357,9.11055,0.00150313
1964.053,0.00431052,0.00439849,9.26663,0.00163443
1964.064,0.00513033,0.00448369,9.67491,0.00162565
1964.076,0.0051675,0.00456523,9.45852,0.00160132
1964.087,0.00471226,0.00453744,9.52806,0.00153986
1964.099,0.00457272,0.00432493,9.29362,0.00158208
1964.11,0.00462657,0.00470957,9.59051,0.00157534
1964.121,0.00420845,0.00445029,9.46657,0.00157826
1964.133,0.00502587,0.00491873,9.66704,0.00155983
1964.144,0.00485919,0.00455543,9.53674,0.00160786
