Age,LuminRange
1820,0.078
1821,0.113
1822,0.08
1823,0.065
1824,0.056
1825,0.103
1826,0.071
1827,0.117
1828,0.056
1829,0.079
1830,0.067
1831,0.109
1832,0.135
1833,0.06
1834,0.064
1835,0.064
1836,0.146
1837,0.095
1838,0.123
1839,0.095
1840,0.064
1841,0.126
1842,0.08
1843,0.083
1844,0.111
1845,0.12
1846,0.104
1847,0.128
1848,0.098
1849,0.11
1850,0.081
1851,0.155
1852,0.058
1853,0.09
1854,0.093
1855,0.144
1856,0.151
1857,0.214
1858,0.15
1859,0.095
1860,0.08
1861,0.055
1862,0.074
1863,0.109
1864,0.304
1865,0.095
1866,0.049
1867,0.053
1868,0.239
1869,0.315
1870,0.283
1871,0.198
1872,0.278
1873,0.126
1874,0.135
1875,0.117
1876,0.159
1877,0.084
1878,0.108
1879,0.106
1880,0.14
1881,0.122
1882,0.155
1883,0.153
1884,0.055
1885,0.085
1886,0.104
1887,0.224
1888,0.216
1889,0.088
1890,0.328
1891,0.126
1892,0.052
1893,0.277
1894,0.196
1895,0.084
1896,0.173
1897,0.043
1898,0.199
1899,0.091
1900,0.057
1901,0.143
1902,0.112
1903,0.044
1904,0.11
1905,0.136
1906,0.099
1907,0.094
1908,0.161
1909,0.038
1910,0.158
1911,0.109
1912,0.055
1913,0.07
1914,0.114
1915,0.068
1916,0.067
1917,0.186
1918,0.253
1919,0.125
1920,0.099
1921,0.059
1922,0.123
1923,0.067
1924,0.112
1925,0.094
1926,0.073
1927,0.218
1928,0.088
1929,0.212
1930,0.096
1931,0.108
1932,0.107
1933,0.125
1934,0.06
1935,0.163
1936,0.085
1937,0.128
1938,0.075
1939,0.12
1940,0.123
1941,0.113
1942,0.182
1943,0.108
1944,0.093
1945,0.146
1946,0.06
1947,0.105
1948,0.05
1949,0.053
1950,0.068
1951,0.115
1952,0.229
1953,0.081
1954,0.116
1955,0.086
1956,0.111
1957,0.172
1958,0.063
1959,0.158
1960,0.057
1961,0.111
1962,0.068
1963,0.108
1964,0.075
1965,0.07
1966,0.122
1967,0.067
1968,0.092
1969,0.086
1970,0.092
1971,0.156
1972,0.138
1973,0.048
1974,0.235
1975,0.075
1976,0.088
1977,0.197
1978,0.097
1979,0.144
1980,0.055
1981,0.135
1982,0.068
1983,0.182
1984,0.06
1985,0.072
1986,0.06
1987,0.125
1988,0.138
1989,0.238
1990,0.088
1991,0.057
