Age,LuminRange
1881,0.173
1882,0.286
1883,0.16
1884,0.202
1885,0.091
1886,0.109
1887,0.142
1888,0.19
1889,0.234
1890,0.272
1891,0.204
1892,0.122
1893,0.259
1894,0.166
1895,0.123
1896,0.181
1897,0.064
1898,0.263
1899,0.142
1900,0.135
1901,0.211
1902,0.182
1903,0.195
1904,0.209
1905,0.135
1906,0.143
1907,0.113
1908,0.144
1909,0.158
1910,0.177
1911,0.128
1912,0.302
1913,0.199
1914,0.401
1915,0.142
1916,0.135
1917,0.152
1918,0.271
1919,0.199
1920,0.106
1921,0.096
1922,0.185
1923,0.085
1924,0.065
1925,0.105
1926,0.045
1927,0.144
1928,0.171
1929,0.092
1930,0.176
1931,0.089
1932,0.109
1933,0.074
1934,0.141
1935,0.077
1936,0.151
1937,0.131
1938,0.107
1939,0.076
1940,0.154
1941,0.149
1942,0.04
1943,0.132
1944,0.177
1945,0.127
1946,0.135
1947,0.114
1948,0.206
1949,0.1
1950,0.002
1951,0.051
1952,0.054
1953,0.155
1954,0.213
1955,0.247
1956,0.132
1957,0.072
1958,0.255
1959,0.118
1960,0.119
1961,0.053
1962,0.098
1963,0.103
1964,0.091
1965,0.075
1966,0.079
1967,0.151
1968,0.267
1969,0.067
1970,0.138
1971,0.26
1972,0.209
1973,0.209
1974,0.358
1975,0.167
1976,0.155
1977,0.161
1978,0.067
1979,0.317
1980,0.046
1981,0.238
1982,0.045
1983,0.091
1984,0.069
