Age,BaCa,MgCa,SrCa,UCa,YCa
2004.76,0.0172617,3.9315,9.0722,0.0013048,4.67E-05
2004.8,0.0166676,4.0223,9.0017,0.0012744,4.49E-05
2004.84,0.0171768,4.0386,9.0203,0.0013386,4.88E-05
2004.89,0.0166973,4.0385,9.0275,0.0013298,4.94E-05
2004.93,0.0158965,4.1315,9.0179,0.0013024,4.78E-05
2004.97,0.0152771,4.3648,8.9541,0.0012257,4.70E-05
2005.01,0.0140803,4.0452,8.9899,0.0012853,4.43E-05
2005.06,0.0141941,4.1335,8.9707,0.0013115,4.73E-05
2005.1,0.0136055,4.4302,8.8905,0.0012069,4.40E-05
2005.17,0.0145959,4.3931,8.9105,0.0012411,4.73E-05
2005.24,0.0160171,4.3595,8.9574,0.0012412,4.61E-05
2005.31,0.0185157,4.0898,9.083,0.0013351,4.64E-05
2005.38,0.0196555,3.9002,9.1842,0.0013769,4.71E-05
2005.45,0.0195972,3.9285,9.2173,0.0013821,5.00E-05
2005.53,0.019839,3.7907,9.2645,0.0014032,5.01E-05
2005.6,0.0216556,3.7292,9.2744,0.0014372,5.41E-05
2005.64,0.0204451,4.0316,9.2237,0.0013386,4.72E-05
2005.69,0.0199264,4.12,9.2397,0.001406,5.39E-05
2005.73,0.0186498,3.9545,9.2197,0.0013805,4.44E-05
2005.78,0.0187359,4.0418,9.1652,0.0013829,5.39E-05
2005.82,0.0179625,4.0695,9.1408,0.0013667,4.72E-05
2005.87,0.0186957,4.0508,8.9776,0.0013968,8.72E-05
2005.91,0.0179976,4.0554,9.0711,0.0013608,4.76E-05
2005.96,0.0168243,4.1959,9.0129,0.0013187,5.13E-05
2006.01,0.0156302,3.9509,9.1198,0.0014032,5.28E-05
2006.05,0.0147869,4.1082,9.02,0.0013187,4.94E-05
2006.1,0.0133575,4.0488,8.9682,0.0013022,4.61E-05
2006.15,0.0143359,4.1873,8.9865,0.0013068,4.82E-05
2006.21,0.0149954,3.9981,9.078,0.0013669,5.77E-05
2006.26,0.015799,3.8493,9.1916,0.0014099,5.80E-05
2006.32,0.0153866,3.8629,9.0948,0.001381,4.66E-05
2006.37,0.0162194,4.0142,9.1653,0.0014026,4.40E-05
2006.43,0.0176792,4.0661,9.2058,0.0013989,4.76E-05
2006.48,0.0199681,4.0224,9.2443,0.0013935,5.28E-05
2006.54,0.0192776,4.1081,9.1965,0.0013652,5.38E-05
2006.59,0.0195185,3.7812,9.2999,0.0014662,5.57E-05
2006.64,0.0207602,4.0232,9.2407,0.0013873,5.41E-05
2006.68,0.0213018,4.0873,9.2137,0.0013761,4.74E-05
2006.72,0.0206759,3.8964,9.2632,0.0014232,4.77E-05
2006.76,0.0196185,4.1622,9.1619,0.0013295,4.73E-05
2006.8,0.0188292,4.0821,9.1209,0.0013185,4.87E-05
2006.85,0.0214137,3.9471,9.2046,0.001418,5.03E-05
2006.89,0.0205249,4.1299,9.1085,0.0013495,4.98E-05
2006.93,0.0183896,4.2735,9.062,0.0013099,4.41E-05
2006.97,0.017629,4.2634,8.9547,0.00129,4.24E-05
2007.01,0.0162672,4.3146,8.9236,0.0012355,4.29E-05
2007.05,0.0160092,4.405,8.8938,0.0012129,4.30E-05
2007.12,0.0155604,4.2529,8.9696,0.0012853,4.59E-05
2007.19,0.0156414,4.4341,8.9437,0.001256,4.19E-05
2007.26,0.0169482,4.1296,9.0763,0.0013457,4.48E-05
2007.32,0.0182575,4.2806,9.0848,0.0013103,4.65E-05
2007.39,0.0188988,4.3276,9.1246,0.0013006,4.35E-05
2007.46,0.0174008,4.2374,9.1006,0.0012955,4.61E-05
2007.52,0.0176462,4.0415,9.1469,0.0013567,4.66E-05
2007.59,0.0184831,4.0025,9.2282,0.0013883,6.05E-05
2007.65,0.0201642,4.0689,9.2201,0.0013719,4.53E-05
2007.71,0.0191765,4.1034,9.1776,0.0013322,4.40E-05
2007.77,0.0179834,4.1325,9.1654,0.0013238,5.04E-05
2007.83,0.017562,4.1352,9.0793,0.0012954,4.84E-05
2007.89,0.017985,4.2644,9.0168,0.0012651,4.22E-05
2007.95,0.0170186,4.374,9.0035,0.0012438,4.92E-05
2008.01,0.01627,4.4287,8.8237,0.001236,4.43E-05
2008.12,0.0145629,4.7039,8.8959,0.0011294,5.35E-05
2008.17,0.014762,4.6488,8.8569,0.0011506,5.56E-05
2008.22,0.0141566,4.3838,8.9272,0.0012266,5.52E-05
2008.27,0.0154007,4.1914,8.9923,0.0012989,5.71E-05
2008.32,0.0164896,4.5003,8.9609,0.0012285,5.43E-05
2008.37,0.0163677,4.5609,8.988,0.0012455,5.41E-05
2008.42,0.017002,4.1949,9.079,0.001358,5.67E-05
2008.47,0.0186665,4.1702,9.1477,0.0014206,5.97E-05
2008.52,0.0189731,3.8873,9.23,0.0014757,8.47E-05
2008.57,0.0186713,3.8031,9.2014,0.0015087,7.95E-05
2008.63,0.0191876,3.5769,9.3356,0.0015182,8.37E-05
2008.65,0.0179195,3.878,9.2845,0.0014638,8.60E-05
2008.67,0.0205016,3.7075,9.3189,0.0014865,8.54E-05
2008.69,0.0206152,3.8153,9.2282,0.0013964,9.67E-05
2008.71,0.019893,3.6804,9.2159,0.0014805,8.14E-05
2008.73,0.0179876,3.6238,9.2719,0.0015152,8.12E-05
2008.75,0.0175436,3.6571,9.2682,0.0014356,9.59E-05
2008.77,0.0168424,3.758,9.2403,0.0014472,8.79E-05
2008.79,0.0168465,4.1205,9.0807,0.0013143,0.0002061
2008.81,0.0164378,4.1224,9.0763,0.0013139,0.0007666
2008.83,0.0176786,4.1057,9.0757,0.0013432,0.000228
2008.85,0.0181012,3.8545,9.1586,0.001407,0.0004438
2008.87,0.0171656,4.0723,9.0149,0.0013006,0.0002149
2008.91,0.0132744,4.0989,8.9548,0.0012761,0.0003326
2008.93,0.0119048,4.1643,8.8865,0.0012161,0.0002859
2008.98,0.0125437,4.2088,8.912,0.0012363,0.0003563
2009.02,0.0133906,4.4335,8.9359,0.0012105,8.43E-05
2009.06,0.0145454,4.4093,8.945,0.0012327,5.83E-05
2009.11,0.0157626,4.3652,8.9726,0.0012575,5.81E-05
2009.24,0.0183006,4.8713,8.9886,0.0013428,5.81E-05
2009.28,0.0172771,4.1468,9.0807,0.0013148,5.96E-05
2009.32,0.0184449,4.1398,9.1244,0.0013289,6.10E-05
2009.37,0.0167278,4.0521,9.1359,0.001358,5.97E-05
2009.41,0.0181015,3.9114,9.2372,0.0014429,6.19E-05
2009.45,0.0210294,4.0063,9.205,0.0014457,6.20E-05
2009.54,0.0197254,4.0352,9.2145,0.0014897,6.92E-05
2009.58,0.0202741,3.9161,9.2854,0.0015018,6.70E-05
2009.65,0.0167438,4.1315,9.0768,0.0013703,6.27E-05
2009.72,0.0176652,4.1736,9.0448,0.0013542,6.36E-05
2009.79,0.0148103,4.1517,9.02,0.0013822,6.54E-05
2009.93,0.0144807,4.2257,9.0327,0.0015323,6.87E-05
2010,0.0141879,4.2604,9.0088,0.0013141,5.97E-05
2010.07,0.0134065,4.4551,8.9633,0.0012284,5.30E-05
2010.14,0.0136932,4.3444,8.9341,0.0012247,5.22E-05
2010.18,0.0135319,4.3439,8.9448,0.0012438,5.27E-05
2010.22,0.0137391,4.3619,8.9508,0.0012538,5.35E-05
2010.27,0.0168037,4.2892,9.0117,0.0012959,5.30E-05
2010.31,0.0176552,4.2996,9.0096,0.0013002,5.49E-05
2010.35,0.0158285,4.3117,9.0392,0.0012808,5.48E-05
2010.39,0.0156261,4.243,9.061,0.0013061,5.58E-05
2010.43,0.0175023,4.1438,9.1212,0.0013718,5.50E-05
2010.47,0.0161679,4.1206,9.1357,0.0013681,5.70E-05
2010.52,0.0153167,3.978,9.1196,0.0013926,5.70E-05
2010.56,0.0152379,4.015,9.0891,0.0013246,5.48E-05
2010.6,0.0158792,4.0779,9.154,0.0013883,5.81E-05
2010.65,0.0158023,4.329,9.1266,0.0013904,5.80E-05
2010.71,0.0162707,4.1311,9.1347,0.0014029,5.87E-05
2010.76,0.0159252,4.0969,9.1224,0.0014045,5.63E-05
2010.81,0.0151631,4.0997,9.0774,0.0013683,5.76E-05
2010.86,0.0155129,4.07,9.0699,0.0014004,5.67E-05
2010.92,0.0145081,4.0639,9.0107,0.001375,5.86E-05
2010.97,0.0135515,4.1356,9.0002,0.0013189,5.55E-05
2011.02,0.0124438,4.1584,8.9321,0.0012929,6.35E-05
2011.07,0.0143134,3.8549,9.1004,0.0013753,5.91E-05
2011.12,0.0130153,3.9909,9.0452,0.0013199,5.60E-05
2011.17,0.0119341,4.556,9.0848,0.0013316,6.14E-05
2011.22,0.0135988,3.7259,9.1464,0.0013598,5.66E-05
2011.27,0.0140925,4.1994,9.0692,0.0012869,5.86E-05
2011.31,0.0170148,4.1785,9.1657,0.0013201,5.88E-05
2011.36,0.018068,3.9925,9.2075,0.0013435,5.90E-05
2011.46,0.0185535,4.0103,9.2472,0.0013703,5.57E-05
2011.51,0.0182285,4.0503,9.2172,0.0013675,6.12E-05
2011.56,0.0196812,3.9208,9.2957,0.0014604,6.47E-05
2011.61,0.0188919,3.9784,9.2767,0.0014407,6.41E-05
2011.67,0.0173986,4.197,9.1277,0.0013452,6.40E-05
2011.73,NA,4.0099,9.1872,0.0014253,6.71E-05
2011.78,0.0176426,4.2168,9.0574,0.001344,6.09E-05
2011.84,0.0170841,4.6179,8.981,0.0012464,5.88E-05
2011.89,0.0152428,4.4966,9.0009,0.0012473,5.85E-05
2011.95,0.0166799,4.1828,9.0605,0.0013499,6.09E-05
2012,0.0184973,4.1134,9.0363,0.0013465,6.03E-05
2012.06,0.0190992,4.3684,8.9881,0.0012379,5.73E-05
2012.14,0.0215846,4.4026,9.0458,0.0012457,5.56E-05
2012.22,0.0243739,4.3163,9.0597,0.0012614,6.03E-05
2012.31,0.0222333,4.2908,9.0961,0.0012763,5.97E-05
2012.39,0.0224714,4.1038,9.1176,0.0013298,5.75E-05
2012.47,0.0255987,4.0815,9.1734,0.0013586,5.91E-05
2012.55,0.0238739,3.9806,9.1921,0.0014539,6.54E-05
2012.62,0.0215217,4.095,9.1675,0.0014209,6.87E-05
2012.68,0.0207237,4.1454,9.0901,0.0013861,6.56E-05
2012.75,0.0228736,4.0696,9.1208,0.001418,6.36E-05
2012.81,0.0241537,4.1255,9.0384,0.0013643,6.50E-05
2012.87,0.0262788,4.2707,8.9452,0.0013018,6.07E-05
2012.94,0.0228781,4.3781,8.8606,0.0012534,6.09E-05
2013,0.0276554,4.461,8.847,0.0012417,6.22E-05
2013.06,0.0178556,4.4057,8.8399,0.0012172,6.22E-05
2013.13,0.0179482,4.7527,8.8092,0.0011858,6.06E-05
