Age,BaCa,MgCa,SrCa,UCa,YCa
2001.55,0.0168465,3.9165,9.1264,0.0013214,5.93E-05
2001.59,0.0174204,3.3923,9.3377,0.0014678,6.58E-05
2001.64,0.0172542,3.3761,9.3019,0.0014588,6.37E-05
2001.68,0.017467,3.8362,9.1986,0.0013535,6.47E-05
2001.73,0.016079,4.1009,9.1191,0.001286,6.16E-05
2001.77,0.0158473,4.1718,9.1274,0.0012855,5.96E-05
2001.82,0.0167644,4.0489,9.1278,0.0013223,6.49E-05
2001.86,0.0168382,4.1726,9.0771,0.0013112,0.000146
2001.95,0.0149448,4.3032,9.0086,0.0012733,0.000305
2002,0.014722,4.2649,9.0266,0.0012911,0.000227
2002.05,0.0131795,4.4808,8.953,0.0012448,0.0002457
2002.09,0.0125601,4.2494,8.9134,0.0012824,0.0001689
2002.14,0.0123013,4.0501,8.9967,0.0013155,0.000187
2002.2,0.0122172,3.9119,8.9851,0.001329,0.0001764
2002.25,0.0113047,3.7016,9.0096,0.0013673,0.0002475
2002.31,0.0115634,3.7393,9.0544,0.0013688,0.0001829
2002.36,0.0136243,4.0256,9.0948,0.0013164,5.45E-05
2002.47,0.017023,4.1547,9.1243,0.0012387,5.08E-05
2002.52,0.0159666,4.2541,9.0501,0.0012839,0.0001799
2002.57,0.0158507,4.4194,9.1041,0.0011934,5.34E-05
2002.63,0.0171761,4.0805,9.1254,0.0012977,6.58E-05
2002.68,0.0163667,4.4649,9.0527,0.0011825,5.29E-05
2002.74,0.0163196,4.2087,9.0668,0.0012654,5.46E-05
2002.79,0.0169815,4.402,9.0258,0.0012711,5.39E-05
2002.85,0.0172986,4.5526,9.0011,0.0012288,5.46E-05
2002.9,0.0155184,4.549,8.9524,0.001214,4.91E-05
2002.96,0.0156892,4.4122,8.9821,0.0012567,5.51E-05
2003.02,0.0146952,4.4385,8.9604,0.001273,5.46E-05
2003.07,0.0136901,4.4788,8.9555,0.0012518,5.64E-05
2003.13,0.0149203,4.5231,8.9278,0.0012292,4.98E-05
2003.16,0.0139361,4.4343,8.9458,0.001245,5.32E-05
2003.2,0.0144149,4.3504,9.038,0.0012801,5.51E-05
2003.24,0.013845,4.3368,8.9831,0.001248,5.10E-05
2003.28,0.0155665,4.1603,9.0763,0.0013029,5.70E-05
2003.32,0.0167254,4.0954,9.1138,0.0013199,5.82E-05
2003.36,0.0174224,4.1614,8.9942,0.0012796,5.10E-05
2003.43,0.0196614,4.0319,9.1737,0.0013321,5.56E-05
2003.47,0.0192991,4.009,9.1534,0.0012932,5.38E-05
2003.55,0.0174126,4.126,9.1823,0.001323,5.29E-05
2003.62,0.0175373,4.0613,9.1792,0.0013204,5.36E-05
2003.75,0.0169738,4.2922,9.1299,0.0013318,5.85E-05
2003.82,0.0188117,4.1915,9.1773,0.0013648,5.84E-05
2003.88,0.0170401,4.3308,9.0375,0.0013114,5.43E-05
2003.95,0.0158938,4.4319,8.9305,0.0012378,4.47E-05
2004.02,0.0153519,4.4891,8.9634,0.0012519,4.63E-05
2004.08,0.0136952,4.3059,8.8666,0.0012403,4.12E-05
2004.13,0.0128209,4.2782,8.929,0.0012791,5.04E-05
2004.17,0.0126248,4.2868,8.9067,0.0012551,4.75E-05
2004.21,0.0115871,4.4098,8.8982,0.0012181,3.90E-05
2004.25,0.0130609,3.8802,9.0185,0.0013556,4.46E-05
2004.29,0.0144607,4.1902,9.0515,0.0013861,6.46E-05
2004.34,0.0152661,3.9134,9.0972,0.0013323,4.66E-05
2004.38,0.0163685,4.1574,9.0569,0.0013246,4.32E-05
2004.42,0.0168494,3.9569,9.1357,0.0013573,4.42E-05
2004.46,0.0182392,4.229,9.1761,0.0012878,4.10E-05
2004.5,0.0207834,4.0537,9.1519,0.0013171,4.31E-05
2004.54,0.0215708,4.0129,9.1785,0.0013089,4.11E-05
2004.59,0.0201444,4.0094,9.1504,0.0013023,4.22E-05
2004.63,0.0173475,3.9067,9.1722,0.0013023,4.52E-05
2004.67,0.0170087,5.6865,9.0623,0.0012471,4.60E-05
2004.71,0.0166756,3.7564,9.1364,0.0013582,4.52E-05
