Age,BaCa,SrCa,UCa
1960.107,0.0020917,8.05821,0.00103206
1960.12,0.00200998,8.42366,0.00111885
1960.134,0.00222803,8.32649,0.00126007
1960.147,0.00265886,8.44273,0.00128627
1960.16,0.00251513,8.78311,0.00128605
1960.174,0.00273052,8.61589,0.00121881
1960.187,0.00269728,8.57787,0.00116017
1960.2,0.0027805,8.73791,0.00120064
1960.214,0.0026802,8.75621,0.00119081
1960.227,0.00273042,8.45247,0.00126341
1960.24,0.00272689,8.53395,0.00124584
1960.253,0.00247782,8.44547,0.00119216
1960.267,0.00224519,8.81589,0.00134387
1960.28,0.0024199,8.74707,0.00135625
1960.293,0.00206684,8.4472,0.00128411
1960.307,0.00212632,8.88911,0.00135426
1960.32,0.00205516,8.45892,0.00128945
1960.333,0.00220785,8.60289,0.00125863
1960.347,0.00225858,8.63859,0.00129655
1960.36,0.00196516,8.39504,0.00123108
1960.373,0.00213894,8.51085,0.00125427
1960.387,0.00246678,8.40144,0.00124139
1960.4,0.00219634,8.85589,0.00137714
1960.413,0.00217508,8.85713,0.00141785
1960.427,0.00233189,8.71678,0.00132393
1960.44,0.00241778,8.66808,0.00125639
1960.453,0.00189019,8.54049,0.00130817
1960.467,0.00215009,8.71581,0.00135772
1960.48,0.0024735,8.81174,0.00130442
1960.493,0.00245109,8.65957,0.00131214
1960.506,0.00201829,8.51763,0.00133214
1960.52,0.00214838,8.88402,0.00133533
1960.533,0.00207991,8.85825,0.00139984
1960.546,0.00191778,8.676,0.00135822
1960.56,0.00242863,8.89251,0.00141274
1960.573,0.00216946,8.8064,0.00149205
1960.586,0.0017196,8.92952,0.00152341
1960.6,0.00182496,8.91142,0.00152103
1960.613,0.00193699,8.64322,0.00142233
1960.644,0.00253954,9.10607,0.00138345
1960.675,0.00248444,8.92819,0.00137208
1960.706,0.00248428,8.82444,0.0014716
1960.736,0.00231191,8.7451,0.001325
1960.767,0.00214081,8.72569,0.00128902
1960.798,0.0020178,8.55492,0.00126041
1960.829,0.00204423,8.58284,0.00119027
1960.86,0.0022141,8.4708,0.00121458
1960.891,0.00248432,8.67147,0.00125754
1960.922,0.00277649,8.50836,0.00123198
1960.953,0.00254702,8.55132,0.00131177
1960.984,0.00219099,8.60254,0.00132298
1961.014,0.00194112,8.3572,0.00122639
1961.045,0.00193219,8.34881,0.00118312
1961.076,0.00168226,8.35825,0.00116967
1961.107,0.00190347,8.29548,0.00116455
1961.12,0.00202989,8.37251,0.00110095
1961.133,0.00221923,8.3503,0.00114218
1961.146,0.00225227,8.5315,0.00123745
1961.159,0.00248164,8.61256,0.0013638
1961.172,0.00209483,8.40164,0.001116
1961.185,0.00224921,8.30041,0.00117112
1961.198,0.00274863,8.8701,0.00126208
1961.211,0.00268265,8.71084,0.0012831
