Age,BCa,LiCa,MgCa,SrCa,UCa
1897.041667,0.985663,0.00947,7.11554,8.034174,0.00158
1897.124997,0.626054,0.00903,3.708992,9.034607,0.00135
1897.208326,0.634561,0.00683,3.835424,9.035572,0.00141
1897.291656,0.619896,0.00658,3.564781,9.244429,0.00149
1897.374986,0.641666,0.00621,3.424264,8.960257,0.00136
1897.458316,0.65442,0.00646,3.312356,9.458095,0.00158
1897.541646,0.657952,0.00647,3.113233,9.572637,0.00163
1897.624976,0.672145,0.00657,3.383867,9.172852,0.00155
1897.708306,0.631805,0.00667,3.542759,8.960901,0.00138
1897.791636,0.623083,0.00638,3.627406,9.180217,0.00139
1897.874965,0.62225,0.00639,3.651627,9.097115,0.00137
1897.958295,0.575823,0.00625,3.333005,9.258626,0.00143
1898.041625,0.570577,0.00605,3.504912,9.119881,0.00135
1898.124955,0.596964,0.00607,3.398287,9.142291,0.00139
1898.208285,0.586746,0.0061,3.228442,9.085631,0.00137
1898.291615,0.607,0.00609,3.26902,9.08918,0.00138
1898.374945,0.632098,0.00631,3.065888,9.368056,0.00147
1898.458275,0.643924,0.00636,2.813782,9.230844,0.00156
1898.541604,0.641088,0.0062,2.806888,9.416801,0.00162
1898.624934,0.665242,0.0063,2.943286,9.416006,0.00157
1898.708264,0.618008,0.00646,3.021022,9.358232,0.0015
1898.791594,0.609182,0.00618,3.323223,9.154257,0.00139
1898.874924,0.597304,0.00618,3.26006,9.046148,0.00133
1898.958254,0.589011,0.00621,3.201704,9.058557,0.00132
1899.041584,0.600692,0.00621,3.256281,9.261184,0.00135
1899.124914,0.606368,0.00608,3.109093,9.106753,0.00141
1899.208243,0.581588,0.0061,3.195028,9.121929,0.00133
1899.291573,0.596797,0.00624,3.034051,9.238361,0.00141
1899.374903,0.59168,0.00624,2.845446,9.27103,0.00148
1899.458233,0.584931,0.00619,2.724181,9.277999,0.00149
1899.541563,0.631977,0.00636,2.592257,9.623302,0.00165
1899.624893,0.651179,0.00649,2.693721,9.738796,0.00165
1899.708223,0.636841,0.00643,2.894591,9.353243,0.00148
1899.791553,0.601642,0.00634,3.04849,9.187917,0.00141
1899.874883,0.562533,0.00619,3.227867,9.131364,0.00137
1899.958212,0.53641,0.00615,3.237588,9.030887,0.00135
1900.041542,0.512084,0.00589,3.162677,8.960969,0.00129
1900.124872,0.553944,0.00596,3.246733,9.355051,0.00132
1900.208202,0.562712,0.00623,3.253246,9.043765,0.00136
1900.291532,0.553859,0.00618,3.304897,8.980901,0.0013
1900.374862,0.54459,0.00617,3.250024,9.160057,0.00136
1900.458192,0.55294,0.00616,3.005799,9.470426,0.00152
1900.541522,0.559551,0.00641,2.980804,9.370758,0.00151
1900.624851,0.606187,0.00669,3.092047,9.457516,0.00168
1900.708181,0.646595,0.00639,2.830539,9.393154,0.00161
1900.791511,0.60986,0.00646,3.130452,9.242962,0.00148
1900.874841,0.595591,0.00613,3.165714,9.078978,0.00139
1900.958171,0.567443,0.00624,3.588467,8.975679,0.0013
1901.041501,0.579837,0.00655,3.599159,9.1139,0.00137
