Age,BaCa,Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Y,Yb,Zr
2002.415068,0.0035,9.19,4.16,2.97,0.58,3.35,0.98,10.6,0.52,7.93,1.88,1.67,0.46,0.52,90.35,3.36,0.41
2002.49726,0.00318,10.82,4.35,3.35,0.79,3.46,1.04,11.61,0.61,10.07,2.18,2.42,0.55,0.52,100.86,3.5,0.96
2002.582192,0.00281,9.39,4.08,2.79,0.65,3.62,0.9,10.73,0.52,7.77,2.05,2.31,0.49,0.43,88.29,3.44,0.15
2002.620548,0.00289,10.27,3.81,2.78,0.68,2.98,0.96,11.45,0.54,7.8,1.9,2.01,0.53,0.4,98.09,3.12,0.79
2002.667123,0.00267,10.68,2.94,2.54,0.75,2.91,0.75,10.01,0.45,6.67,1.85,1.96,0.51,0.35,87.94,2.91,1.4
2002.749315,0.00242,8.68,3.25,1.75,0.47,1.87,0.69,8.09,0.41,5.55,1.49,1.86,0.37,0.4,77.58,1.91,3.48
2002.787671,0.0025,8.38,2.85,2.25,0.46,2.71,0.67,8.32,0.42,7.02,1.62,1.26,0.38,0.33,74.34,2.46,0.97
2002.834247,0.00669,9.59,3.33,2.63,0.75,3.34,0.76,9.8,0.4,7.79,1.8,2.06,0.47,0.42,84.24,2.86,0.35
2002.916438,0.0025,10.84,3.87,2.81,0.54,3.06,0.83,10.22,0.57,7.41,2.01,2.04,0.51,0.4,85.7,3.12,1.08
2002.954795,0.00241,11.99,4.49,3.28,0.72,4.03,1.06,12.69,0.66,9.71,2.28,2.66,0.58,0.61,102.34,3.84,1.01
2003.00137,0.00269,9.71,3.84,2.82,0.64,3.23,0.95,11.12,0.58,8.26,1.97,1.95,0.56,0.42,86.37,3.02,1.05
2003.039726,0.00288,11.81,4.54,3.6,0.7,3.93,1.07,14.17,0.65,9.72,2.47,2.46,0.63,0.61,103.52,4.04,0.32
2003.086301,0.00294,12.72,4.56,3.68,0.76,3.79,1.3,13.97,0.71,9.96,2.67,2.33,0.64,0.57,107.65,4.69,0.4
2003.124658,0.00303,10.51,4.5,3.64,0.78,3.9,1.07,13.39,0.72,11.19,2.31,2.48,0.7,0.61,97.04,3.47,0.16
2003.163014,0.00328,11.47,5.15,3.23,0.77,3.85,1.19,14.25,0.72,10.01,2.45,2.99,0.64,0.61,96.96,3.29,1.45
2003.20137,0.00318,11.51,5.03,3.38,0.7,3.77,1.15,13.97,0.63,10.01,2.64,2.71,0.68,0.6,94.6,3.54,0.65
2003.247945,0.0033,11.27,4.95,3.72,0.6,4.17,1.18,14.25,0.65,10.6,2.64,3.02,0.65,0.67,98.22,3.93,1.75
2003.286301,0.00319,11.16,4.08,3.08,0.65,3.52,1.15,13.33,0.68,9.45,2.36,2.22,0.62,0.53,93.31,3.12,0.26
2003.330137,0.00315,19.93,5.06,3.85,0.86,4.99,1.36,18.65,0.62,14.1,3.51,3.8,0.76,0.62,101.2,4.17,1.08
2003.368493,0.00293,18.79,4.9,3.73,0.85,4.04,1.21,15.63,0.71,11.58,2.94,2.78,0.63,0.6,102.68,4.03,1.6
2003.415068,0.00296,13.38,4.4,3.61,0.78,3.47,1.04,14.66,0.69,10,2.55,3.04,0.59,0.53,98.9,3.63,2.71
2003.453425,0.00297,10.17,3.47,2.9,0.52,2.69,1.03,12.04,0.55,8.51,1.97,2.05,0.51,0.54,86.51,3.22,0.82
2003.49726,0.00277,10.84,3.39,2.96,0.66,3.09,0.92,12.43,0.54,8.76,2.14,2.63,0.57,0.43,87.01,3.1,0.98
2003.535616,0.00283,8.89,3.3,2.14,0.57,2.8,0.73,8.92,0.45,7.45,1.65,1.77,0.43,0.39,80.77,2.26,0.12
2003.582192,0.0026,10.43,3.17,2.37,0.55,2.39,0.86,9.43,0.44,7.4,1.82,1.83,0.45,0.47,87.41,2.26,0.72
2003.620548,0.00228,9.58,2.94,2.1,0.53,2.73,0.79,9.76,0.4,6.36,1.65,1.93,0.36,0.42,81.12,2.31,0.18
2003.667123,0.00207,10.6,2.83,2.39,0.48,2.63,0.82,10.4,0.41,7.34,1.8,2.15,0.42,0.42,83.77,2.39,2.32
2003.749315,0.0021,7.92,2.8,2.23,0.54,2.19,0.63,8.43,0.4,6.25,1.58,1.78,0.43,0.29,72.51,2.34,0.08
2003.834247,0.00242,8.36,2.78,1.96,0.51,2.35,0.67,8.39,0.4,6.03,1.64,1.39,0.37,0.34,71.94,2.38,0.44
2003.916438,0.00237,10.88,3.15,2.95,0.82,3.58,1.01,11.71,0.53,8.56,2.24,1.78,0.55,0.47,93.47,3.29,0
2003.954795,0.00256,12.53,4.57,3.38,0.74,3.9,1.04,13.59,0.58,9,2.49,2.02,0.58,0.47,100.04,3.84,1.28
2004.001366,0.00312,31.52,4.64,3.15,0.8,4.06,1.06,12.93,0.63,10.41,2.46,3.01,0.55,0.54,94.25,4.09,6.84
2004.039617,0.00251,30.55,4.65,3.72,0.7,4.44,1.26,15.4,0.8,10.92,2.59,2.98,1.7,0.61,103.19,4.26,0.33
2004.086066,0.00256,10.06,3.96,2.87,0.66,3.5,0.88,12.39,0.63,8.88,2.3,1.79,0.5,0.46,85.36,3.05,0.88
2004.124317,0.00267,9.69,3.33,2.81,0.5,3.09,0.88,11.34,0.6,7.95,2.02,2.05,0.61,0.45,79.43,3.95,2.93
2004.165301,0.00281,9.73,3.6,3.06,0.53,2.98,0.88,11.05,0.59,8.65,1.92,1.69,0.52,0.45,76.66,3.41,0.37
2004.203552,0.00307,10.12,3.83,3.62,0.71,3.67,0.89,12.01,0.64,8.21,2.15,1.93,0.48,0.45,88.58,3.47,1.3
2004.25,0.00316,13.19,4,4.02,0.65,3.03,0.96,13,0.67,8.49,2.16,1.99,0.56,0.51,88.09,3.85,1.65
2004.331967,0.00315,14.34,3.36,4.37,0.79,2.93,0.91,11.56,0.51,8.29,2.13,1.91,0.49,0.44,83.35,2.92,1.7
2004.416667,0.00278,11.35,3.75,3.15,0.55,2.73,0.95,11.29,0.51,7.44,1.82,1.82,0.4,0.49,80.45,3.16,1.28
2004.498634,0.0026,10.09,3.42,2.63,0.6,2.98,0.81,10.41,0.58,7.13,1.85,2.37,0.49,0.38,75.8,2.84,1
2004.583333,0.00258,9.48,3.2,2.26,0.62,2.86,0.89,10.3,0.45,7.24,1.91,1.74,0.51,0.41,74.83,2.62,0.95
2004.621585,0.00279,13.52,2.98,3.17,0.55,2.79,0.7,11.78,0.45,7.66,1.99,2.01,0.47,0.39,75.79,2.19,1.94
2004.668033,0.00218,14.95,2.51,2.71,0.67,2.8,0.72,11.34,0.38,7.47,1.85,1.51,0.4,0.3,75.09,2.15,1.53
2004.706284,0.00203,12.5,3.07,2.64,0.62,2.71,0.75,10.1,0.41,7.11,1.75,2.11,0.48,0.4,78.75,2.52,1.25
2004.75,0.0019,12.72,3.79,3.02,0.59,2.88,0.91,11.83,0.52,9.48,2.2,1.78,0.51,0.44,92.26,2.68,1.29
2004.788251,0.0022,11.74,3.09,2.91,0.53,2.76,0.74,9.48,0.41,6.86,1.63,1.41,0.39,0.37,71.12,2.43,1.33
2004.834699,0.00295,12.18,3.68,2.99,0.92,3.24,0.91,12.1,0.6,8.77,1.99,2.13,0.6,0.52,88.94,2.94,1.32
2004.872951,0.00318,13.26,3.91,2.88,0.72,3.34,0.93,12.48,0.6,8.78,2.01,2.15,0.45,0.48,88.69,3.34,1.46
2004.916667,0.0026,10.48,3.92,3.18,0.73,3.23,1.01,12.52,0.61,9,2.17,2.25,0.55,0.45,91.13,3.73,0.87
2004.954918,0.00258,10.42,4.06,3.2,0.6,3.36,0.93,11.55,0.54,8.64,2,1.95,0.46,0.52,82.17,3.09,0.86
2005.00137,0.00265,11.41,3.04,3.42,0.7,2.93,0.77,9.99,0.5,6.61,1.84,1.92,0.44,0.47,73.07,2.91,1.11
2005.039726,0.00249,11.15,3.92,3.02,0.53,3.27,0.84,11.62,0.57,8.2,1.97,1.92,0.52,0.5,81.03,3.48,1.03
2005.086301,0.0026,11.44,3.74,3.44,0.68,3.02,1.14,13.56,0.67,9.24,2.27,2.22,0.61,0.65,87.71,3.37,1.26
2005.124658,0.00272,11.12,4.72,3.95,0.63,4.13,1.11,14.07,0.73,10.49,2.3,2.27,0.76,0.58,91.51,4.5,1.42
2005.163014,0.00249,12.77,4.06,3.91,0.6,3.13,0.94,13.07,0.67,8.46,2.22,1.87,0.5,0.45,82.74,3.66,1.59
2005.20137,0.00254,11.11,4.07,3.3,0.66,3.78,1.01,12.36,0.64,9.82,2.24,2.07,0.67,0.57,84.23,3.75,1.45
2005.247945,0.00288,14.4,5.05,4.41,1.03,4.57,1.36,17.79,0.82,12.64,3.05,2.81,0.81,0.71,100.81,4.7,1.2
2005.286301,0.00305,22.9,4.52,10.67,0.65,4.29,1.02,16.9,0.64,11.58,2.83,2.76,0.65,0.56,87.23,3.92,6.29
2005.330137,0.00284,22.08,4.54,4.27,0.8,3.93,1.04,16.01,0.66,11.88,2.88,2.61,0.72,0.55,93.73,4.54,1.3
2005.415068,0.00279,12.19,4.04,3.3,0.79,3.95,0.9,14.71,0.64,9.89,2.39,1.9,0.53,0.5,86.88,3.21,1.05
2005.49726,0.00258,15.13,4,9.11,0.79,3.56,1,12.59,0.62,9.32,2.35,2.37,0.58,0.46,85.64,3.44,3.46
2005.582192,0.00251,12.43,4.04,3.85,0.55,3.48,0.93,11.71,0.48,9.14,2.22,2.29,0.53,0.41,77.19,3.29,1.58
2005.620548,0.0022,12.14,3.4,2.64,0.51,2.9,0.79,10.02,0.41,7.35,1.8,1.76,0.46,0.39,75.17,2.77,1.31
2005.667123,0.00254,12.46,3.07,2.63,0.68,2.87,0.75,10.26,0.39,8.21,1.87,1.72,0.47,0.42,71.49,2.62,1.2
2005.705479,0.00211,12.94,3.71,3.09,0.64,3.31,0.78,11.9,0.49,8.13,2.02,2.36,0.44,0.37,83.28,2.85,1.59
2005.749315,0.00199,14.05,3.51,3.41,0.69,3.59,0.95,11.29,0.51,8.11,2.09,2.05,0.52,0.53,85.14,3.19,1.77
2005.787671,0.00193,14.93,4.1,4.41,0.65,3.19,0.79,11.1,0.5,8.83,2.12,2.47,0.48,0.4,82.37,3.1,2.01
2005.834247,0.00192,12.08,3.87,3.32,0.58,2.64,0.8,10.17,0.59,7.97,1.82,1.87,0.44,0.47,77.72,2.89,1.61
2005.872603,0.0044,14.87,4.26,3.93,0.7,3.62,1.06,13.86,0.59,9.64,2.28,2.72,0.6,0.5,86.92,3.45,2.01
2005.916438,0.00213,16.18,4.61,4.65,0.79,4.16,1.1,15.01,0.71,10.86,2.52,2.77,0.71,0.54,95.18,3.93,2.81
2005.954795,0.00222,14.83,4.4,3.59,0.61,4.21,1.06,13.66,0.69,9.5,2.49,2.71,0.63,0.56,90.73,4.27,1.84
2006.00137,0.00229,14.03,4.97,4.16,0.88,4.47,1.19,14.92,0.75,10.96,2.9,2.81,0.66,0.61,94.17,4.29,1.96
2006.039726,0.00258,10.02,4.72,3.47,0.54,3.45,1.04,13.41,0.68,10.59,2.43,2.37,0.59,0.59,84.37,3.94,1.27
2006.086301,0.0032,20.24,4.34,4.27,0.65,3.93,1.07,14.49,0.66,10.69,2.57,2.42,0.64,0.58,86.5,4.1,1.66
2006.124658,0.00318,15.5,5.44,5.19,1,4.72,1.35,18.36,0.96,13.46,3.06,2.3,0.76,0.77,102.73,5.49,2.03
2006.163014,0.00326,15.93,5.25,5.29,0.78,4.48,1.27,16.04,0.82,11.9,2.82,2.71,0.69,0.64,97.95,4.8,1.72
2006.20137,0.00298,23.99,4.8,8.31,0.78,4.38,1.19,15.32,0.84,9.86,2.42,2.48,0.65,0.59,97.3,4.33,2.58
2006.247945,0.00313,10.91,3.99,3.72,0.74,3.67,1.1,13.27,0.69,9.34,2.42,2.43,0.61,0.52,87.61,3.13,1.95
2006.330137,0.0031,10.16,3.9,2.95,0.61,2.86,0.86,11.2,0.59,8.36,1.96,2.49,0.46,0.44,78.37,3.09,1.12
2006.368493,0.00347,17.56,3.31,3.36,0.7,3.08,0.84,14.44,0.48,8.8,2.38,2.17,0.53,0.46,77.56,2.89,1.57
2006.415068,0.00252,9.78,3.42,3.02,0.68,3.02,1.03,11.05,0.53,8.38,1.75,2.05,0.55,0.47,79.17,2.89,1.66
2006.453425,0.00275,11.45,3.54,3.4,0.63,2.95,0.93,10.7,0.53,7.41,1.89,1.73,0.5,0.41,78.55,2.94,1.85
