Age,BaCa,Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Y,Yb,Zr
2001.330137,0.00328,11.04,5.14,3.97,0.64,3.57,1.2,12.49,0.67,10.53,2.16,2.8,0.63,0.58,98.86,3.79,0.55
2001.368493,0.00293,10.28,4.34,3.51,0.6,3.71,1.21,12.76,0.64,9.36,2.36,2.52,0.66,0.58,104.67,3.96,0.82
2001.415068,0.00279,10.76,4.18,3.48,0.75,3.75,1.01,12.26,0.53,8.98,2.19,2.02,0.68,0.49,93.91,3.52,0.99
2001.49726,0.00276,10.16,3.79,3.37,0.66,3.52,1,10.39,0.53,8.21,2.16,2.01,0.62,0.51,101.47,3.2,1.74
2001.582192,0.00225,12.1,3.46,2.97,0.65,3.52,0.97,11.02,0.6,9.84,2.21,1.61,0.51,0.51,105.05,3.77,0.68
2001.667123,0.00219,10.56,3.77,3.03,0.88,3.23,1.01,10.88,0.63,8.07,1.98,2.17,0.56,0.47,98.82,2.9,0.42
2001.749315,0.00211,9.09,4.03,3.11,0.65,3.65,0.87,10.85,0.57,8.37,2.13,2.28,0.45,0.53,93.31,3.31,0.7
2001.834247,0.00211,9.44,3.44,2.6,0.69,3.09,0.94,10.43,0.59,7.36,2.1,1.76,0.58,0.41,92.27,3.34,1.34
2001.872603,0.00235,9.63,3.59,2.87,0.52,3.71,0.9,10.47,0.56,7.65,1.94,1.68,0.55,0.57,88.36,2.97,0.34
2001.916438,0.00265,10.05,4.06,3.18,0.88,3.54,1.01,12,0.61,8.42,2.14,2.4,0.67,0.61,103.22,3.54,0.69
2001.954795,0.00284,9.27,3.51,2.83,0.56,3.33,0.94,10.32,0.62,7.88,2.05,1.96,0.61,0.43,88.6,2.99,0.45
2002.00137,0.00295,9.77,3.88,3.88,0.81,3.4,1.2,12.01,0.69,9.52,2.25,2.75,0.67,0.53,106.16,3.79,0.65
2002.039726,0.00303,9.27,4.02,3,0.57,2.88,0.89,10.99,0.55,7.78,1.77,1.57,0.5,0.54,91.74,3.76,0.5
2002.086301,0.00337,8.59,2.89,2.71,0.56,2.99,0.84,10.09,0.58,6.57,1.78,2.09,0.44,0.47,82.04,3.36,0.59
2002.124658,0.00339,8.92,3.53,3.1,0.72,2.85,0.85,10.44,0.55,7.39,1.87,2.18,0.5,0.48,87.35,3.21,1.24
2002.163014,0.00377,9.81,4.22,2.82,0.61,3.14,1.02,11.55,0.66,8.35,2.02,1.92,0.53,0.4,92.03,3.54,0.66
2002.20137,0.00353,8.47,3.65,3.1,0.62,3.08,0.93,10.89,0.53,8.12,2.16,2.25,0.59,0.48,95.52,3.32,1.44
2002.247945,0.0046,7.59,3.26,2.42,0.7,2.32,0.89,9.07,0.47,7.44,1.61,1.84,0.49,0.39,83.5,2.46,2.32
2002.286301,0.00311,8.97,4.56,3.24,0.62,2.94,0.88,10.29,0.58,7.54,1.77,1.92,0.53,0.37,91.47,2.95,0
2002.330137,0.0033,8.9,3.12,2.66,0.64,3.05,0.88,10.25,0.47,7.7,2.03,1.92,0.54,0.4,85.2,3.27,0.51
2002.368493,0.00467,10.58,4.49,2.93,0.93,3.14,1.02,11.34,0.6,9.11,1.98,2.04,0.53,0.47,95.69,3.51,1.32
