Age,d13C,d18O,Density,Dist
1969.62,-0.58,-4.57,1.63,4.1
1969.83,-0.56,-5.01,1.59,5.3
1970.12,-0.93,-5.49,1.56,6.9
1970.47,-0.86,-4.92,1.66,11.3
1970.62,0.35,-4.57,1.68,13.1
1971.12,-0.71,-5.05,1.52,16.4
1971.31,-0.49,-4.84,1.63,18.3
1971.62,-0.59,-4.26,1.62,21.3
1972.12,-0.28,-5.29,1.59,22.5
1972.42,-1.11,-5.04,1.5,25.3
1972.62,-0.72,-4.88,1.54,27.2
1972.87,-0.37,-5.1,1.59,29.2
1973.12,-0.28,-5.66,1.53,31.2
1973.43,-0.45,-5.14,1.39,34.2
1973.62,-0.62,-4.93,1.47,36
1973.78,-0.35,-4.93,1.38,38.6
1974.03,-0.64,-5.26,1.36,42.8
1974.12,-0.46,-5.55,1.47,44.3
1974.62,-0.77,-4.85,1.59,46.5
1974.8,-0.51,-4.9,1.6,50
1975.12,-1.1,-5.47,1.48,56.3
1975.39,-1.36,-4.89,1.53,59.4
1975.62,-0.85,-4.73,1.59,62.1
1975.91,-0.75,-5.25,1.53,67.2
1976.12,-0.99,-5.45,1.44,70.8
1976.62,-0.72,-4.56,1.61,74.3
1976.72,-0.51,-5.44,1.57,75.6
1976.97,-0.66,-5.31,1.47,78.8
1977.12,-0.96,-5.83,1.49,80.7
1977.62,-0.86,-5.04,1.52,83.8
1977.78,-1.17,-5.07,1.6,87.3
1977.94,-0.38,-5.24,1.46,90.6
1978.12,-0.97,-5.83,1.43,94.5
1978.62,-1.09,-4.62,1.51,97.8
1978.77,-1.01,-4.93,1.57,100.5
1978.99,-0.97,-5.17,1.37,104.4
1979.12,-1.01,-5.51,1.34,106.7
1979.62,-1.22,-4.76,1.51,110.7
1979.79,-1.04,-4.91,1.56,112.7
1980.12,-1.29,-5.08,1.38,116.7
1980.62,-1.46,-4.78,1.41,121.5
1980.81,-1.45,-4.96,1.33,124.3
1981.01,-1.16,-4.9,1.49,127.4
1981.12,-1.41,-5.43,1.42,129
1981.29,-1.54,-5.27,1.25,132.1
1981.41,-1.47,-5.24,1.26,134.2
1981.62,-1.06,-4.59,1.44,138
1981.76,-0.91,-5.26,1.41,140.5
1981.97,-0.98,-5.3,1.34,144.3
1982.12,-1.25,-5.66,1.3,147.1
1982.59,-1.25,-4.81,1.42,150.9
1983.12,-1,-5.46,1.55,155.1
1983.38,-1.23,-5.04,1.38,160.5
1983.62,-1.21,-4.5,1.41,165.3
1983.84,-1.23,-5.06,1.28,168.3
1984.12,-1.11,-5.22,1.25,172
1984.62,-1.08,-4.58,1.35,174.8
1985.12,-0.77,-5.25,1.37,177.7
1985.29,-1.25,-5.1,1.33,181.2
1985.46,-1.02,-4.9,1.31,184.7
1985.62,-1.36,-4.33,1.42,188
1986.12,-0.97,-5.39,1.49,191.1
1986.31,-1.37,-5.29,1.42,196.2
1986.47,-1.27,-5.22,1.34,200.3
1986.62,-0.94,-4.64,1.45,204.3
